Time,Miami,Score,Golden State,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Yurtseven vs. K. Looney (K. Looney gains possession),0-0,,,1,0,0,0,0.0
11:36.0, ,0-0,Turnover by K. Looney (off goaltending),,1,0,0,0,24.0
11:22.0,K. Lowry misses 2-pt jump shot from 10 ft,0-0, ,,1,0,0,0,38.0
11:20.0,Offensive rebound by C. Martin,0-0, ,,1,0,0,0,40.0
11:19.0,C. Martin makes 2-pt layup at rim,2-0, ,,1,2,0,2,41.0
10:58.0, ,2-0,S. Curry misses 3-pt jump shot from 28 ft,,1,2,0,2,62.0
10:55.0,Defensive rebound by C. Martin,2-0, ,,1,2,0,2,65.0
10:38.0,O. Yurtseven misses 2-pt jump shot from 13 ft,2-0, ,,1,2,0,2,82.0
10:35.0, ,2-0,Defensive rebound by G. Payton,,1,2,0,2,85.0
10:28.0, ,2-3,A. Wiggins makes 3-pt jump shot from 26 ft (assist by D. Green),Lead change,1,2,3,-1,92.0
10:12.0,Turnover by T. Herro (lost ball; steal by G. Payton),2-3, ,,1,2,3,-1,108.0
10:07.0, ,2-6,A. Wiggins makes 3-pt jump shot from 24 ft (assist by S. Curry),,1,2,6,-4,113.0
9:44.0,Shooting foul by S. Curry (drawn by J. Butler),2-6, ,,1,2,6,-4,136.0
9:44.0,C. Silva enters the game for O. Yurtseven,2-6, ,,1,2,6,-4,136.0
9:44.0,J. Butler makes free throw 1 of 2,3-6, ,,1,3,6,-3,136.0
9:44.0,J. Butler makes free throw 2 of 2,4-6, ,,1,4,6,-2,136.0
9:31.0, ,4-6,Shooting foul by K. Lowry (drawn by A. Wiggins),,1,4,6,-2,149.0
9:31.0, ,4-7,A. Wiggins makes free throw 1 of 2,,1,4,7,-3,149.0
9:31.0, ,4-8,A. Wiggins makes free throw 2 of 2,,1,4,8,-4,149.0
9:18.0,Personal foul by S. Curry (drawn by C. Martin),4-8, ,,1,4,8,-4,162.0
9:18.0, ,4-8,J. Poole enters the game for S. Curry,,1,4,8,-4,162.0
9:04.0,C. Martin misses 2-pt jump shot from 20 ft,4-8, ,,1,4,8,-4,176.0
9:02.0, ,4-8,Defensive rebound by A. Wiggins,,1,4,8,-4,178.0
8:49.0, ,4-8,D. Green misses 3-pt jump shot from 26 ft,,1,4,8,-4,191.0
8:47.0,Defensive rebound by C. Silva,4-8, ,,1,4,8,-4,193.0
8:35.0,K. Lowry misses 3-pt jump shot from 26 ft,4-8, ,,1,4,8,-4,205.0
8:33.0, ,4-8,Defensive rebound by K. Looney,,1,4,8,-4,207.0
8:15.0, ,4-11,J. Poole makes 3-pt jump shot from 28 ft (assist by K. Looney),,1,4,11,-7,225.0
7:53.0,C. Silva makes 2-pt dunk from 4 ft (assist by K. Lowry),6-11, ,,1,6,11,-5,247.0
7:38.0, ,6-13,A. Wiggins makes 2-pt layup from 4 ft (assist by D. Green),,1,6,13,-7,262.0
7:19.0,T. Herro makes 2-pt layup from 6 ft,8-13, ,,1,8,13,-5,281.0
7:08.0, ,8-16,J. Poole makes 3-pt jump shot from 29 ft (assist by A. Wiggins),,1,8,16,-8,292.0
6:51.0,T. Herro misses 3-pt jump shot from 27 ft,8-16, ,,1,8,16,-8,309.0
6:46.0,Offensive rebound by Team,8-16, ,,1,8,16,-8,314.0
6:46.0, ,8-16,Golden State full timeout,,1,8,16,-8,314.0
6:46.0,K. Guy enters the game for T. Herro,8-16, ,,1,8,16,-8,314.0
6:44.0,J. Butler misses 2-pt jump shot from 15 ft,8-16, ,,1,8,16,-8,316.0
6:42.0, ,8-16,Defensive rebound by K. Looney,,1,8,16,-8,318.0
6:29.0, ,8-18,G. Payton makes 2-pt layup from 3 ft (assist by D. Green),,1,8,18,-10,331.0
6:16.0,J. Butler misses 2-pt jump shot from 14 ft,8-18, ,,1,8,18,-10,344.0
6:14.0,Offensive rebound by C. Silva,8-18, ,,1,8,18,-10,346.0
6:12.0,C. Silva makes 2-pt layup at rim,10-18, ,,1,10,18,-8,348.0
5:59.0, ,10-18,J. Poole misses 3-pt jump shot from 27 ft,,1,10,18,-8,361.0
5:57.0,Defensive rebound by J. Butler,10-18, ,,1,10,18,-8,363.0
5:48.0,Offensive foul by C. Silva (drawn by A. Wiggins),10-18, ,,1,10,18,-8,372.0
5:48.0,Turnover by C. Silva (offensive foul),10-18, ,,1,10,18,-8,372.0
5:48.0,P. Tucker enters the game for C. Martin,10-18, ,,1,10,18,-8,372.0
5:48.0, ,10-18,D. Lee enters the game for K. Looney,,1,10,18,-8,372.0
5:48.0, ,10-18,O. Porter enters the game for G. Payton,,1,10,18,-8,372.0
5:38.0, ,10-21,O. Porter makes 3-pt jump shot from 27 ft (assist by J. Poole),,1,10,21,-11,382.0
5:36.0,Miami full timeout,10-21, ,,1,10,21,-11,384.0
5:15.0,K. Lowry makes 3-pt jump shot from 29 ft (assist by J. Butler),13-21, ,,1,13,21,-8,405.0
4:48.0, ,13-21,O. Porter misses 3-pt jump shot from 26 ft,,1,13,21,-8,432.0
4:46.0,Defensive rebound by C. Silva,13-21, ,,1,13,21,-8,434.0
4:39.0,Shooting foul by D. Lee (drawn by C. Silva),13-21, ,,1,13,21,-8,441.0
4:39.0,C. Silva makes free throw 1 of 2,14-21, ,,1,14,21,-7,441.0
4:39.0,T. Herro enters the game for K. Lowry,14-21, ,,1,14,21,-7,441.0
4:39.0,C. Silva makes free throw 2 of 2,15-21, ,,1,15,21,-6,441.0
4:24.0, ,15-21,A. Wiggins misses 2-pt jump shot from 18 ft,,1,15,21,-6,456.0
4:19.0,Defensive rebound by P. Tucker,15-21, ,,1,15,21,-6,461.0
4:04.0,P. Tucker misses 2-pt jump shot from 6 ft,15-21, ,,1,15,21,-6,476.0
4:02.0,Offensive rebound by J. Butler,15-21, ,,1,15,21,-6,478.0
4:00.0,J. Butler misses 2-pt layup at rim,15-21, ,,1,15,21,-6,480.0
3:58.0, ,15-21,Defensive rebound by D. Lee,,1,15,21,-6,482.0
3:58.0, ,15-23,J. Poole makes 2-pt layup from 5 ft (assist by D. Green),,1,15,23,-8,482.0
3:58.0,Violation by Team (def goaltending),15-23, ,,1,15,23,-8,482.0
3:41.0,T. Herro misses 2-pt jump shot from 13 ft,15-23, ,,1,15,23,-8,499.0
3:38.0, ,15-23,Defensive rebound by A. Wiggins,,1,15,23,-8,502.0
3:29.0, ,15-26,J. Poole makes 3-pt jump shot from 23 ft (assist by D. Green),,1,15,26,-11,511.0
3:15.0,Turnover by T. Herro (lost ball; steal by D. Green),15-26, ,,1,15,26,-11,525.0
3:10.0, ,15-28,A. Wiggins makes 2-pt dunk from 3 ft (assist by O. Porter),,1,15,28,-13,530.0
2:57.0,K. Guy makes 3-pt jump shot from 23 ft (assist by T. Herro),18-28, ,,1,18,28,-10,543.0
2:42.0, ,18-28,J. Poole misses 2-pt jump shot from 9 ft,,1,18,28,-10,558.0
2:40.0,Defensive rebound by C. Silva,18-28, ,,1,18,28,-10,560.0
2:29.0,Shooting foul by D. Green (drawn by J. Butler),18-28, ,,1,18,28,-10,571.0
2:29.0,J. Butler makes free throw 1 of 2,19-28, ,,1,19,28,-9,571.0
2:29.0,C. Martin enters the game for C. Silva,19-28, ,,1,19,28,-9,571.0
2:29.0, ,19-28,J. Kuminga enters the game for A. Wiggins,,1,19,28,-9,571.0
2:29.0,J. Butler makes free throw 2 of 2,20-28, ,,1,20,28,-8,571.0
2:12.0, ,20-28,O. Porter misses 3-pt jump shot from 23 ft,,1,20,28,-8,588.0
2:10.0,Defensive rebound by K. Guy,20-28, ,,1,20,28,-8,590.0
1:54.0,Turnover by J. Butler (bad pass),20-28, ,,1,20,28,-8,606.0
1:54.0, ,20-28,N. Bjelica enters the game for D. Green,,1,20,28,-8,606.0
1:54.0, ,20-28,S. Curry enters the game for D. Lee,,1,20,28,-8,606.0
1:39.0, ,20-30,N. Bjelica makes 2-pt layup from 5 ft (assist by J. Poole),,1,20,30,-10,621.0
1:26.0,K. Guy makes 3-pt jump shot from 26 ft (assist by P. Tucker),23-30, ,,1,23,30,-7,634.0
1:09.0, ,23-30,S. Curry misses 3-pt jump shot from 26 ft,,1,23,30,-7,651.0
1:06.0,Defensive rebound by C. Martin,23-30, ,,1,23,30,-7,654.0
1:01.0,Turnover by C. Martin (lost ball; steal by J. Kuminga),23-30, ,,1,23,30,-7,659.0
0:59.0, ,23-32,J. Poole makes 2-pt layup from 4 ft (assist by O. Porter),,1,23,32,-9,661.0
0:59.0, ,23-32,Shooting foul by T. Herro (drawn by J. Poole),,1,23,32,-9,661.0
0:59.0,K. Lowry enters the game for J. Butler,23-32, ,,1,23,32,-9,661.0
0:59.0, ,23-33,J. Poole makes free throw 1 of 1,,1,23,33,-10,661.0
0:50.0,K. Guy misses 3-pt jump shot from 26 ft,23-33, ,,1,23,33,-10,670.0
0:47.0, ,23-33,Defensive rebound by J. Kuminga,,1,23,33,-10,673.0
0:36.0, ,23-33,Offensive foul by O. Porter (drawn by C. Martin),,1,23,33,-10,684.0
0:36.0, ,23-33,Turnover by O. Porter (offensive foul),,1,23,33,-10,684.0
0:36.0, ,23-33,G. Payton enters the game for N. Bjelica,,1,23,33,-10,684.0
0:23.0,C. Martin makes 2-pt layup from 3 ft (assist by K. Lowry),25-33, ,,1,25,33,-8,697.0
0:00.0, ,25-33,J. Poole misses 3-pt jump shot from 29 ft,,1,25,33,-8,720.0
0:00.0, ,25-33,Offensive rebound by Team,,1,25,33,-8,720.0
0:00.0,End of 1st quarter,25-33,,,1,25,33,-8,720.0
12:00.0,Start of 2nd quarter,25-33,,,2,25,33,-8,720.0
11:48.0,Turnover by K. Lowry (bad pass; steal by O. Porter),25-33, ,,2,25,33,-8,732.0
11:25.0, ,25-33,N. Bjelica misses 2-pt jump shot from 19 ft,,2,25,33,-8,755.0
11:22.0,Defensive rebound by P. Tucker,25-33, ,,2,25,33,-8,758.0
11:20.0,Offensive foul by K. Lowry (drawn by J. Kuminga),25-33, ,,2,25,33,-8,760.0
11:20.0,Turnover by K. Lowry (offensive foul),25-33, ,,2,25,33,-8,760.0
11:20.0, ,25-33,G. Payton enters the game for J. Poole,,2,25,33,-8,760.0
11:08.0, ,25-33,G. Payton misses 3-pt jump shot from 27 ft,,2,25,33,-8,772.0
11:05.0, ,25-33,Offensive rebound by O. Porter,,2,25,33,-8,775.0
11:03.0, ,25-33,G. Payton misses 2-pt layup from 4 ft,,2,25,33,-8,777.0
11:00.0, ,25-33,Offensive rebound by N. Bjelica,,2,25,33,-8,780.0
11:00.0, ,25-35,N. Bjelica makes 2-pt layup at rim,,2,25,35,-10,780.0
10:55.0,Turnover by K. Lowry (bad pass; steal by O. Porter),25-35, ,,2,25,35,-10,785.0
10:44.0, ,25-37,J. Kuminga makes 2-pt layup from 3 ft (assist by S. Curry),,2,25,37,-12,796.0
10:19.0,K. Lowry makes 2-pt layup from 4 ft,27-37, ,,2,27,37,-10,821.0
10:19.0,Shooting foul by N. Bjelica (drawn by K. Lowry),27-37, ,,2,27,37,-10,821.0
10:19.0,O. Yurtseven enters the game for P. Tucker,27-37, ,,2,27,37,-10,821.0
10:19.0,K. Lowry makes free throw 1 of 1,28-37, ,,2,28,37,-9,821.0
10:14.0, ,28-40,N. Bjelica makes 3-pt jump shot from 27 ft (assist by S. Curry),,2,28,40,-12,826.0
10:13.0,Miami full timeout,28-40, ,,2,28,40,-12,827.0
9:56.0,C. Martin misses 3-pt jump shot from 23 ft,28-40, ,,2,28,40,-12,844.0
9:53.0,Offensive rebound by K. Lowry,28-40, ,,2,28,40,-12,847.0
9:44.0,K. Lowry makes 2-pt layup from 4 ft,30-40, ,,2,30,40,-10,856.0
9:30.0, ,30-40,J. Kuminga misses 2-pt jump shot from 9 ft,,2,30,40,-10,870.0
9:27.0,Defensive rebound by C. Martin,30-40, ,,2,30,40,-10,873.0
9:21.0,T. Herro makes 3-pt jump shot from 26 ft (assist by C. Martin),33-40, ,,2,33,40,-7,879.0
9:11.0, ,33-40,S. Curry misses 2-pt jump shot from 14 ft,,2,33,40,-7,889.0
9:09.0,Defensive rebound by C. Martin,33-40, ,,2,33,40,-7,891.0
8:56.0,O. Yurtseven makes 2-pt layup from 2 ft (assist by K. Lowry),35-40, ,,2,35,40,-5,904.0
8:44.0, ,35-40,S. Curry misses 2-pt layup from 5 ft,,2,35,40,-5,916.0
8:42.0,Defensive rebound by O. Yurtseven,35-40, ,,2,35,40,-5,918.0
8:33.0,T. Herro misses 2-pt jump shot from 7 ft,35-40, ,,2,35,40,-5,927.0
8:30.0, ,35-40,Defensive rebound by G. Payton,,2,35,40,-5,930.0
8:27.0, ,35-40,O. Porter misses 3-pt jump shot from 26 ft,,2,35,40,-5,933.0
8:25.0,Defensive rebound by O. Yurtseven,35-40, ,,2,35,40,-5,935.0
8:11.0,K. Guy misses 2-pt layup from 5 ft,35-40, ,,2,35,40,-5,949.0
8:08.0, ,35-40,Defensive rebound by J. Kuminga,,2,35,40,-5,952.0
8:04.0, ,35-40,S. Curry misses 3-pt jump shot from 28 ft,,2,35,40,-5,956.0
8:02.0,Defensive rebound by K. Lowry,35-40, ,,2,35,40,-5,958.0
7:57.0,T. Herro makes 2-pt layup from 2 ft (assist by K. Lowry),37-40, ,,2,37,40,-3,963.0
7:57.0, ,37-40,Golden State full timeout,,2,37,40,-3,963.0
7:57.0,J. Butler enters the game for K. Guy,37-40, ,,2,37,40,-3,963.0
7:57.0, ,37-40,D. Green enters the game for N. Bjelica,,2,37,40,-3,963.0
7:57.0, ,37-40,K. Looney enters the game for J. Kuminga,,2,37,40,-3,963.0
7:57.0, ,37-40,A. Wiggins enters the game for O. Porter,,2,37,40,-3,963.0
7:45.0, ,37-43,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),,2,37,43,-6,975.0
7:27.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by T. Herro),40-43, ,,2,40,43,-3,993.0
7:13.0, ,40-43,S. Curry misses 3-pt jump shot from 28 ft,,2,40,43,-3,1007.0
7:10.0,Defensive rebound by O. Yurtseven,40-43, ,,2,40,43,-3,1010.0
6:55.0,C. Martin makes 3-pt jump shot from 23 ft (assist by T. Herro),43-43, ,Tie,2,43,43,0,1025.0
6:43.0, ,43-43,Offensive foul by K. Looney (drawn by C. Martin),,2,43,43,0,1037.0
6:43.0, ,43-43,Turnover by K. Looney (offensive foul),,2,43,43,0,1037.0
6:19.0,C. Martin makes 3-pt jump shot from 25 ft (assist by J. Butler),46-43, ,Lead change,2,46,43,3,1061.0
6:04.0, ,46-45,S. Curry makes 2-pt jump shot from 20 ft,,2,46,45,1,1076.0
5:57.0,K. Lowry misses 3-pt jump shot from 26 ft,46-45, ,,2,46,45,1,1083.0
5:53.0,Offensive rebound by C. Martin,46-45, ,,2,46,45,1,1087.0
5:48.0,K. Lowry misses 3-pt jump shot from 25 ft,46-45, ,,2,46,45,1,1092.0
5:44.0,Offensive rebound by J. Butler,46-45, ,,2,46,45,1,1096.0
5:41.0,T. Herro misses 2-pt jump shot from 18 ft,46-45, ,,2,46,45,1,1099.0
5:38.0, ,46-45,Defensive rebound by D. Green,,2,46,45,1,1102.0
5:33.0, ,46-47,S. Curry makes 2-pt layup from 4 ft (assist by D. Green),Lead change,2,46,47,-1,1107.0
5:26.0,T. Herro misses 3-pt jump shot from 26 ft,46-47, ,,2,46,47,-1,1114.0
5:24.0,Offensive rebound by J. Butler,46-47, ,,2,46,47,-1,1116.0
5:15.0,O. Yurtseven misses 2-pt jump shot from 6 ft,46-47, ,,2,46,47,-1,1125.0
5:13.0, ,46-47,Defensive rebound by A. Wiggins,,2,46,47,-1,1127.0
5:00.0, ,46-49,A. Wiggins makes 2-pt layup from 6 ft (assist by D. Green),,2,46,49,-3,1140.0
4:49.0,T. Herro misses 2-pt layup from 6 ft (block by S. Curry),46-49, ,,2,46,49,-3,1151.0
4:48.0,Offensive rebound by Team,46-49, ,,2,46,49,-3,1152.0
4:48.0,K. Guy enters the game for T. Herro,46-49, ,,2,46,49,-3,1152.0
4:48.0,P. Tucker enters the game for C. Martin,46-49, ,,2,46,49,-3,1152.0
4:35.0,J. Butler misses 3-pt jump shot from 23 ft,46-49, ,,2,46,49,-3,1165.0
4:32.0, ,46-49,Defensive rebound by A. Wiggins,,2,46,49,-3,1168.0
4:22.0, ,46-49,K. Looney misses 2-pt layup from 4 ft,,2,46,49,-3,1178.0
4:19.0,Defensive rebound by K. Lowry,46-49, ,,2,46,49,-3,1181.0
4:13.0,K. Guy misses 3-pt jump shot from 23 ft,46-49, ,,2,46,49,-3,1187.0
4:10.0, ,46-49,Defensive rebound by D. Green,,2,46,49,-3,1190.0
4:10.0,T. Herro enters the game for K. Lowry,46-49, ,,2,46,49,-3,1190.0
4:08.0,Jump ball: D. Green vs. O. Yurtseven (A. Wiggins gains possession),46-49,,,2,46,49,-3,1192.0
3:58.0, ,46-51,A. Wiggins makes 2-pt jump shot from 9 ft,,2,46,51,-5,1202.0
3:44.0,J. Butler makes 2-pt jump shot from 15 ft,48-51, ,,2,48,51,-3,1216.0
3:30.0, ,48-53,G. Payton makes 2-pt layup from 4 ft,,2,48,53,-5,1230.0
3:17.0,J. Butler makes 2-pt jump shot from 6 ft,50-53, ,,2,50,53,-3,1243.0
3:06.0, ,50-55,K. Looney makes 2-pt dunk from 2 ft (assist by S. Curry),,2,50,55,-5,1254.0
2:56.0,T. Herro misses 3-pt jump shot from 26 ft,50-55, ,,2,50,55,-5,1264.0
2:53.0, ,50-55,Defensive rebound by D. Green,,2,50,55,-5,1267.0
2:49.0, ,50-55,A. Wiggins misses 3-pt jump shot from 27 ft,,2,50,55,-5,1271.0
2:47.0,Defensive rebound by O. Yurtseven,50-55, ,,2,50,55,-5,1273.0
2:33.0,J. Butler makes 2-pt layup from 3 ft,52-55, ,,2,52,55,-3,1287.0
2:16.0, ,52-55,S. Curry misses 2-pt jump shot from 19 ft,,2,52,55,-3,1304.0
2:13.0,Defensive rebound by T. Herro,52-55, ,,2,52,55,-3,1307.0
2:06.0,P. Tucker misses 3-pt jump shot from 22 ft (block by D. Green),52-55, ,,2,52,55,-3,1314.0
2:05.0,Offensive rebound by Team,52-55, ,,2,52,55,-3,1315.0
2:05.0,K. Lowry enters the game for K. Guy,52-55, ,,2,52,55,-3,1315.0
2:05.0, ,52-55,J. Poole enters the game for G. Payton,,2,52,55,-3,1315.0
1:54.0,Shooting foul by S. Curry (drawn by J. Butler),52-55, ,,2,52,55,-3,1326.0
1:54.0,J. Butler makes free throw 1 of 2,53-55, ,,2,53,55,-2,1326.0
1:54.0, ,53-55,G. Payton enters the game for S. Curry,,2,53,55,-2,1326.0
1:54.0,J. Butler makes free throw 2 of 2,54-55, ,,2,54,55,-1,1326.0
1:41.0, ,54-55,Offensive foul by A. Wiggins (drawn by J. Butler),,2,54,55,-1,1339.0
1:41.0, ,54-55,Turnover by A. Wiggins (offensive foul),,2,54,55,-1,1339.0
1:25.0,J. Butler misses 2-pt jump shot from 16 ft,54-55, ,,2,54,55,-1,1355.0
1:23.0, ,54-55,Defensive rebound by J. Poole,,2,54,55,-1,1357.0
1:09.0, ,54-57,G. Payton makes 2-pt dunk from 3 ft (assist by D. Green),,2,54,57,-3,1371.0
1:00.0,Turnover by K. Lowry (bad pass; steal by G. Payton),54-57, ,,2,54,57,-3,1380.0
0:55.0, ,54-57,G. Payton misses 2-pt dunk from 4 ft,,2,54,57,-3,1385.0
0:53.0,Defensive rebound by J. Butler,54-57, ,,2,54,57,-3,1387.0
0:41.0,Turnover by T. Herro (bad pass),54-57, ,,2,54,57,-3,1399.0
0:41.0,C. Martin enters the game for K. Lowry,54-57, ,,2,54,57,-3,1399.0
0:41.0, ,54-57,O. Porter enters the game for G. Payton,,2,54,57,-3,1399.0
0:35.0, ,54-57,J. Poole misses 3-pt jump shot from 23 ft,,2,54,57,-3,1405.0
0:33.0,Defensive rebound by O. Yurtseven,54-57, ,,2,54,57,-3,1407.0
0:21.0,C. Martin misses 2-pt layup from 4 ft,54-57, ,,2,54,57,-3,1419.0
0:18.0, ,54-57,Defensive rebound by K. Looney,,2,54,57,-3,1422.0
0:02.0, ,54-59,K. Looney makes 2-pt dunk from 3 ft (assist by J. Poole),,2,54,59,-5,1438.0
0:00.0,T. Herro misses 3-pt jump shot from 49 ft,54-59, ,,2,54,59,-5,1440.0
0:00.0,Offensive rebound by Team,54-59, ,,2,54,59,-5,1440.0
0:00.0,End of 2nd quarter,54-59,,,2,54,59,-5,1440.0
12:00.0,Start of 3rd quarter,54-59,,,3,54,59,-5,1440.0
11:44.0,Turnover by K. Lowry (bad pass),54-59, ,,3,54,59,-5,1456.0
11:32.0, ,54-59,S. Curry misses 3-pt jump shot from 26 ft,,3,54,59,-5,1468.0
11:30.0,Defensive rebound by O. Yurtseven,54-59, ,,3,54,59,-5,1470.0
11:21.0,J. Butler makes 3-pt jump shot from 26 ft (assist by K. Lowry),57-59, ,,3,57,59,-2,1479.0
11:10.0, ,57-61,A. Wiggins makes 2-pt dunk from 2 ft (assist by D. Green),,3,57,61,-4,1490.0
10:58.0,K. Lowry misses 3-pt jump shot from 29 ft,57-61, ,,3,57,61,-4,1502.0
10:55.0, ,57-61,Defensive rebound by K. Looney,,3,57,61,-4,1505.0
10:45.0, ,57-63,G. Payton makes 2-pt layup from 2 ft (assist by S. Curry),,3,57,63,-6,1515.0
10:27.0,Personal foul by D. Green (drawn by J. Butler),57-63, ,,3,57,63,-6,1533.0
10:13.0,K. Lowry misses 3-pt jump shot from 31 ft,57-63, ,,3,57,63,-6,1547.0
10:11.0, ,57-63,Defensive rebound by K. Looney,,3,57,63,-6,1549.0
10:00.0, ,57-63,K. Looney misses 2-pt layup from 1 ft,,3,57,63,-6,1560.0
10:00.0, ,57-63,Offensive rebound by Team,,3,57,63,-6,1560.0
