Time,Miami,Score,Orlando,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. W. Carter (J. Butler gains possession),0-0,,,1,0,0,0,0.0
11:32.0,C. Martin misses 3-pt jump shot from 23 ft,0-0, ,,1,0,0,0,28.0
11:30.0, ,0-0,Defensive rebound by F. Wagner,,1,0,0,0,30.0
11:12.0, ,0-2,P. Banchero makes 2-pt layup from 2 ft (assist by W. Carter),,1,0,2,-2,48.0
11:04.0,Turnover by G. Vincent (lost ball; steal by G. Harris),0-2, ,,1,0,2,-2,56.0
10:59.0, ,0-2,M. Fultz misses 2-pt jump shot from 3 ft,,1,0,2,-2,61.0
10:56.0,Defensive rebound by B. Adebayo,0-2, ,,1,0,2,-2,64.0
10:44.0,B. Adebayo makes 2-pt layup from 5 ft,2-2, ,Tie,1,2,2,0,76.0
10:29.0, ,2-4,P. Banchero makes 2-pt layup from 3 ft (assist by M. Fultz),,1,2,4,-2,91.0
10:19.0,T. Herro misses 2-pt jump shot from 21 ft,2-4, ,,1,2,4,-2,101.0
10:15.0, ,2-4,Defensive rebound by G. Harris,,1,2,4,-2,105.0
10:13.0, ,2-4,G. Harris misses 3-pt jump shot from 27 ft,,1,2,4,-2,107.0
10:08.0,Defensive rebound by B. Adebayo,2-4, ,,1,2,4,-2,112.0
10:00.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Adebayo),4-4, ,Tie,1,4,4,0,120.0
9:53.0, ,4-6,F. Wagner makes 2-pt layup from 2 ft (assist by M. Fultz),,1,4,6,-2,127.0
9:53.0, ,4-6,Shooting foul by T. Herro (drawn by F. Wagner),,1,4,6,-2,127.0
9:53.0, ,4-6,F. Wagner misses free throw 1 of 1,,1,4,6,-2,127.0
9:49.0,Defensive rebound by C. Martin,4-6, ,,1,4,6,-2,131.0
9:32.0,J. Butler misses 2-pt jump shot from 6 ft,4-6, ,,1,4,6,-2,148.0
9:29.0, ,4-6,Defensive rebound by P. Banchero,,1,4,6,-2,151.0
9:17.0, ,4-9,W. Carter makes 3-pt jump shot from 25 ft (assist by P. Banchero),,1,4,9,-5,163.0
8:59.0,Shooting foul by W. Carter (drawn by B. Adebayo),4-9, ,,1,4,9,-5,181.0
8:59.0,B. Adebayo makes free throw 1 of 2,5-9, ,,1,5,9,-4,181.0
8:59.0,B. Adebayo makes free throw 2 of 2,6-9, ,,1,6,9,-3,181.0
8:49.0, ,6-9,G. Harris misses 2-pt jump shot from 21 ft,,1,6,9,-3,191.0
8:47.0,Defensive rebound by B. Adebayo,6-9, ,,1,6,9,-3,193.0
8:38.0,B. Adebayo makes 2-pt jump shot from 8 ft,8-9, ,,1,8,9,-1,202.0
8:25.0, ,8-12,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Fultz),,1,8,12,-4,215.0
8:02.0,B. Adebayo misses 2-pt layup from 3 ft,8-12, ,,1,8,12,-4,238.0
7:59.0,Offensive rebound by G. Vincent,8-12, ,,1,8,12,-4,241.0
7:54.0,T. Herro misses 3-pt jump shot from 25 ft,8-12, ,,1,8,12,-4,246.0
7:50.0, ,8-12,Defensive rebound by P. Banchero,,1,8,12,-4,250.0
7:49.0, ,8-12,Turnover by F. Wagner (traveling),,1,8,12,-4,251.0
7:26.0,T. Herro makes 2-pt jump shot from 12 ft,10-12, ,,1,10,12,-2,274.0
7:10.0, ,10-14,W. Carter makes 2-pt dunk from 2 ft (assist by F. Wagner),,1,10,14,-4,290.0
7:00.0,Turnover by B. Adebayo (bad pass; steal by F. Wagner),10-14, ,,1,10,14,-4,300.0
6:54.0, ,10-17,M. Fultz makes 3-pt jump shot from 25 ft (assist by F. Wagner),,1,10,17,-7,306.0
6:38.0,Turnover by J. Butler (step out of bounds),10-17, ,,1,10,17,-7,322.0
6:38.0, ,10-17,Orlando full timeout,,1,10,17,-7,322.0
6:38.0,M. Strus enters the game for T. Herro,10-17, ,,1,10,17,-7,322.0
6:17.0, ,10-17,W. Carter misses 2-pt jump shot from 11 ft,,1,10,17,-7,343.0
6:15.0,Defensive rebound by B. Adebayo,10-17, ,,1,10,17,-7,345.0
6:05.0,Turnover by M. Strus (bad pass; steal by G. Harris),10-17, ,,1,10,17,-7,355.0
5:54.0, ,10-17,Shooting foul by G. Vincent (drawn by M. Fultz),,1,10,17,-7,366.0
5:54.0, ,10-18,M. Fultz makes free throw 1 of 2,,1,10,18,-8,366.0
5:54.0, ,10-18,J. Isaac enters the game for F. Wagner,,1,10,18,-8,366.0
5:54.0, ,10-19,M. Fultz makes free throw 2 of 2,,1,10,19,-9,366.0
5:42.0, ,10-19,Violation by Team (kicked ball),,1,10,19,-9,378.0
5:35.0,M. Strus misses 3-pt jump shot from 27 ft,10-19, ,,1,10,19,-9,385.0
5:33.0, ,10-19,Defensive rebound by P. Banchero,,1,10,19,-9,387.0
5:19.0, ,10-19,M. Fultz misses 2-pt jump shot from 14 ft,,1,10,19,-9,401.0
5:16.0,Defensive rebound by J. Butler,10-19, ,,1,10,19,-9,404.0
5:08.0,G. Vincent makes 3-pt jump shot from 23 ft (assist by M. Strus),13-19, ,,1,13,19,-6,412.0
4:46.0, ,13-19,Turnover by P. Banchero (bad pass; steal by C. Martin),,1,13,19,-6,434.0
4:44.0,Turnover by B. Adebayo (step out of bounds),13-19, ,,1,13,19,-6,436.0
4:44.0,T. Herro enters the game for J. Butler,13-19, ,,1,13,19,-6,436.0
4:44.0,H. Highsmith enters the game for C. Martin,13-19, ,,1,13,19,-6,436.0
4:44.0, ,13-19,J. Suggs enters the game for G. Harris,,1,13,19,-6,436.0
4:42.0, ,13-19,J. Suggs misses 2-pt jump shot from 17 ft,,1,13,19,-6,438.0
4:38.0,Defensive rebound by B. Adebayo,13-19, ,,1,13,19,-6,442.0
4:38.0,B. Adebayo misses 2-pt layup from 5 ft (block by J. Suggs),13-19, ,,1,13,19,-6,442.0
4:37.0,Offensive rebound by Team,13-19, ,,1,13,19,-6,443.0
4:18.0,T. Herro makes 3-pt jump shot from 25 ft (assist by M. Strus),16-19, ,,1,16,19,-3,462.0
3:57.0, ,16-19,P. Banchero misses 3-pt jump shot from 25 ft,,1,16,19,-3,483.0
3:55.0, ,16-19,Offensive rebound by P. Banchero,,1,16,19,-3,485.0
3:53.0, ,16-21,P. Banchero makes 2-pt jump shot from 5 ft,,1,16,21,-5,487.0
3:45.0,Miami full timeout,16-21, ,,1,16,21,-5,495.0
3:35.0,Turnover by T. Herro (bad pass; steal by J. Suggs),16-21, ,,1,16,21,-5,505.0
3:31.0, ,16-23,M. Fultz makes 2-pt layup from 2 ft,,1,16,23,-7,509.0
3:11.0,G. Vincent makes 2-pt jump shot from 13 ft,18-23, ,,1,18,23,-5,529.0
2:53.0, ,18-23,P. Banchero misses 2-pt layup from 4 ft,,1,18,23,-5,547.0
2:51.0, ,18-23,Offensive rebound by P. Banchero,,1,18,23,-5,549.0
2:47.0, ,18-23,J. Isaac misses 2-pt jump shot from 14 ft,,1,18,23,-5,553.0
2:43.0,Defensive rebound by B. Adebayo,18-23, ,,1,18,23,-5,557.0
2:34.0,T. Herro misses 3-pt jump shot from 25 ft,18-23, ,,1,18,23,-5,566.0
2:31.0, ,18-23,Defensive rebound by J. Isaac,,1,18,23,-5,569.0
2:22.0, ,18-26,W. Carter makes 3-pt jump shot from 23 ft (assist by J. Suggs),,1,18,26,-8,578.0
2:08.0,T. Herro misses 2-pt layup from 2 ft,18-26, ,,1,18,26,-8,592.0
2:05.0, ,18-26,Defensive rebound by P. Banchero,,1,18,26,-8,595.0
2:05.0,J. Bouyea enters the game for B. Adebayo,18-26, ,,1,18,26,-8,595.0
2:05.0,O. Robinson enters the game for G. Vincent,18-26, ,,1,18,26,-8,595.0
2:05.0, ,18-26,C. Anthony enters the game for P. Banchero,,1,18,26,-8,595.0
2:05.0, ,18-26,B. Bol enters the game for W. Carter,,1,18,26,-8,595.0
2:05.0, ,18-26,M. Wagner enters the game for M. Fultz,,1,18,26,-8,595.0
1:46.0, ,18-26,Offensive foul by B. Bol (drawn by M. Strus),,1,18,26,-8,614.0
1:46.0, ,18-26,Turnover by B. Bol (offensive foul),,1,18,26,-8,614.0
1:21.0,T. Herro misses 2-pt jump shot from 12 ft,18-26, ,,1,18,26,-8,639.0
1:17.0, ,18-26,Defensive rebound by C. Anthony,,1,18,26,-8,643.0
1:10.0, ,18-26,M. Wagner misses 3-pt jump shot from 25 ft,,1,18,26,-8,650.0
1:06.0,Defensive rebound by H. Highsmith,18-26, ,,1,18,26,-8,654.0
0:51.0,M. Strus misses 2-pt layup from 10 ft,18-26, ,,1,18,26,-8,669.0
0:50.0,Offensive rebound by Team,18-26, ,,1,18,26,-8,670.0
0:45.0,T. Herro misses 3-pt jump shot from 23 ft (block by M. Wagner),18-26, ,,1,18,26,-8,675.0
0:42.0, ,18-26,Defensive rebound by C. Anthony,,1,18,26,-8,678.0
0:39.0, ,18-29,J. Suggs makes 3-pt jump shot from 24 ft (assist by C. Anthony),,1,18,29,-11,681.0
0:31.0,Shooting foul by M. Wagner (drawn by O. Robinson),18-29, ,,1,18,29,-11,689.0
0:31.0,C. Martin enters the game for J. Bouyea,18-29, ,,1,18,29,-11,689.0
0:31.0,O. Robinson makes free throw 1 of 2,19-29, ,,1,19,29,-10,689.0
0:31.0,O. Robinson misses free throw 2 of 2,19-29, ,,1,19,29,-10,689.0
0:28.0, ,19-29,Defensive rebound by B. Bol,,1,19,29,-10,692.0
0:09.0, ,19-29,C. Anthony misses 3-pt jump shot from 25 ft,,1,19,29,-10,711.0
0:07.0, ,19-29,Offensive rebound by M. Wagner,,1,19,29,-10,713.0
0:00.0, ,19-29,C. Anthony misses 2-pt jump shot from 10 ft (block by H. Highsmith),,1,19,29,-10,720.0
0:00.0, ,19-29,Offensive rebound by Team,,1,19,29,-10,720.0
0:00.0,End of 1st quarter,19-29,,,1,19,29,-10,720.0
12:00.0,Start of 2nd quarter,19-29,,,2,19,29,-10,720.0
11:40.0, ,19-31,M. Wagner makes 2-pt layup from 2 ft (assist by J. Suggs),,2,19,31,-12,740.0
11:18.0,H. Highsmith makes 3-pt jump shot from 23 ft (assist by M. Strus),22-31, ,,2,22,31,-9,762.0
10:52.0, ,22-31,Shooting foul by H. Highsmith (drawn by F. Wagner),,2,22,31,-9,788.0
10:52.0, ,22-32,F. Wagner makes free throw 1 of 2,,2,22,32,-10,788.0
10:52.0, ,22-33,F. Wagner makes free throw 2 of 2,,2,22,33,-11,788.0
10:35.0,T. Herro misses 3-pt jump shot from 26 ft,22-33, ,,2,22,33,-11,805.0
10:33.0,Offensive rebound by H. Highsmith,22-33, ,,2,22,33,-11,807.0
10:32.0,H. Highsmith misses 2-pt layup from 14 ft (block by C. Anthony),22-33, ,,2,22,33,-11,808.0
10:30.0, ,22-33,Defensive rebound by C. Anthony,,2,22,33,-11,810.0
10:28.0, ,22-33,C. Anthony misses 2-pt layup from 3 ft (block by J. Bouyea),,2,22,33,-11,812.0
10:25.0,Defensive rebound by O. Robinson,22-33, ,,2,22,33,-11,815.0
10:19.0,Offensive foul by J. Bouyea (drawn by J. Suggs),22-33, ,,2,22,33,-11,821.0
10:19.0,Turnover by J. Bouyea (offensive foul),22-33, ,,2,22,33,-11,821.0
10:07.0, ,22-35,J. Suggs makes 2-pt layup from 3 ft (assist by F. Wagner),,2,22,35,-13,833.0
9:52.0,Turnover by O. Robinson (bad pass; steal by M. Wagner),22-35, ,,2,22,35,-13,848.0
9:39.0, ,22-35,Personal foul by M. Strus (drawn by F. Wagner),,2,22,35,-13,861.0
9:39.0,B. Adebayo enters the game for J. Bouyea,22-35, ,,2,22,35,-13,861.0
9:39.0,G. Vincent enters the game for O. Robinson,22-35, ,,2,22,35,-13,861.0
9:28.0, ,22-35,J. Suggs misses 3-pt jump shot from 26 ft,,2,22,35,-13,872.0
9:25.0,Defensive rebound by T. Herro,22-35, ,,2,22,35,-13,875.0
9:15.0,H. Highsmith makes 3-pt jump shot from 25 ft (assist by B. Adebayo),25-35, ,,2,25,35,-10,885.0
8:56.0, ,25-35,Offensive foul by F. Wagner (drawn by B. Adebayo),,2,25,35,-10,904.0
8:56.0, ,25-35,Turnover by F. Wagner (offensive foul),,2,25,35,-10,904.0
8:40.0,G. Vincent misses 3-pt jump shot from 26 ft,25-35, ,,2,25,35,-10,920.0
8:36.0,Offensive rebound by B. Adebayo,25-35, ,,2,25,35,-10,924.0
8:23.0,M. Strus misses 3-pt jump shot from 23 ft,25-35, ,,2,25,35,-10,937.0
8:23.0,Offensive rebound by Team,25-35, ,,2,25,35,-10,937.0
8:23.0,Turnover by Team (shot clock),25-35, ,,2,25,35,-10,937.0
8:12.0, ,25-38,J. Suggs makes 3-pt jump shot from 23 ft (assist by M. Wagner),,2,25,38,-13,948.0
7:53.0,M. Strus misses 3-pt jump shot from 30 ft,25-38, ,,2,25,38,-13,967.0
7:52.0,Offensive rebound by Team,25-38, ,,2,25,38,-13,968.0
7:52.0, ,25-38,Loose ball foul by M. Wagner (drawn by B. Adebayo),,2,25,38,-13,968.0
7:42.0,H. Highsmith misses 3-pt jump shot from 24 ft,25-38, ,,2,25,38,-13,978.0
7:38.0, ,25-38,Defensive rebound by F. Wagner,,2,25,38,-13,982.0
7:27.0, ,25-38,F. Wagner misses 2-pt jump shot from 3 ft,,2,25,38,-13,993.0
7:23.0,Defensive rebound by B. Adebayo,25-38, ,,2,25,38,-13,997.0
7:22.0,Personal foul by F. Wagner (drawn by B. Adebayo),25-38, ,,2,25,38,-13,998.0
7:22.0,J. Butler enters the game for T. Herro,25-38, ,,2,25,38,-13,998.0
7:22.0,C. Martin enters the game for H. Highsmith,25-38, ,,2,25,38,-13,998.0
7:10.0,C. Martin makes 2-pt jump shot from 8 ft,27-38, ,,2,27,38,-11,1010.0
6:56.0, ,27-41,J. Suggs makes 3-pt jump shot from 25 ft (assist by M. Wagner),,2,27,41,-14,1024.0
6:34.0,Turnover by M. Strus (bad pass; steal by J. Suggs),27-41, ,,2,27,41,-14,1046.0
6:30.0, ,27-43,J. Suggs makes 2-pt layup from 3 ft,,2,27,43,-16,1050.0
6:30.0,Miami full timeout,27-43, ,,2,27,43,-16,1050.0
6:30.0, ,27-43,P. Banchero enters the game for B. Bol,,2,27,43,-16,1050.0
6:30.0, ,27-43,W. Carter enters the game for M. Wagner,,2,27,43,-16,1050.0
6:16.0,J. Butler misses 2-pt layup from 4 ft (block by J. Suggs),27-43, ,,2,27,43,-16,1064.0
6:14.0,Offensive rebound by J. Butler,27-43, ,,2,27,43,-16,1066.0
6:14.0,Shooting foul by P. Banchero (drawn by J. Butler),27-43, ,,2,27,43,-16,1066.0
6:14.0,J. Butler makes free throw 1 of 2,28-43, ,,2,28,43,-15,1066.0
6:14.0,J. Butler makes free throw 2 of 2,29-43, ,,2,29,43,-14,1066.0
6:00.0, ,29-45,W. Carter makes 2-pt layup from 2 ft,,2,29,45,-16,1080.0
5:45.0,M. Strus misses 3-pt jump shot from 27 ft,29-45, ,,2,29,45,-16,1095.0
5:41.0, ,29-45,Defensive rebound by P. Banchero,,2,29,45,-16,1099.0
5:20.0, ,29-45,F. Wagner misses 3-pt jump shot from 26 ft,,2,29,45,-16,1120.0
5:18.0,Defensive rebound by C. Martin,29-45, ,,2,29,45,-16,1122.0
5:14.0,Shooting foul by P. Banchero (drawn by J. Butler),29-45, ,,2,29,45,-16,1126.0
5:14.0,J. Butler makes free throw 1 of 2,30-45, ,,2,30,45,-15,1126.0
5:14.0,T. Herro enters the game for B. Adebayo,30-45, ,,2,30,45,-15,1126.0
5:14.0,O. Robinson enters the game for M. Strus,30-45, ,,2,30,45,-15,1126.0
5:14.0, ,30-45,M. Fultz enters the game for C. Anthony,,2,30,45,-15,1126.0
5:14.0, ,30-45,G. Harris enters the game for J. Suggs,,2,30,45,-15,1126.0
5:14.0,J. Butler makes free throw 2 of 2,31-45, ,,2,31,45,-14,1126.0
4:56.0, ,31-45,Personal foul by C. Martin (drawn by F. Wagner),,2,31,45,-14,1144.0
4:49.0, ,31-45,F. Wagner misses 2-pt layup from 4 ft,,2,31,45,-14,1151.0
4:47.0,Defensive rebound by O. Robinson,31-45, ,,2,31,45,-14,1153.0
4:26.0,J. Butler misses 2-pt jump shot from 22 ft,31-45, ,,2,31,45,-14,1174.0
4:22.0,Offensive rebound by O. Robinson,31-45, ,,2,31,45,-14,1178.0
4:18.0,G. Vincent misses 3-pt jump shot from 26 ft,31-45, ,,2,31,45,-14,1182.0
4:15.0,Offensive rebound by O. Robinson,31-45, ,,2,31,45,-14,1185.0
4:13.0,O. Robinson makes 2-pt dunk from 1 ft,33-45, ,,2,33,45,-12,1187.0
4:02.0, ,33-45,Flagrant foul type 1 by G. Vincent (drawn by W. Carter),,2,33,45,-12,1198.0
4:02.0, ,33-45,Instant Replay (Request: Ruling Stands),,2,33,45,-12,1198.0
4:02.0, ,33-46,W. Carter makes flagrant free throw 1 of 2,,2,33,46,-13,1198.0
4:02.0, ,33-47,W. Carter makes flagrant free throw 2 of 2,,2,33,47,-14,1198.0
3:43.0, ,33-50,G. Harris makes 3-pt jump shot from 26 ft (assist by F. Wagner),,2,33,50,-17,1217.0
3:37.0,Personal foul by M. Fultz (drawn by G. Vincent),33-50, ,,2,33,50,-17,1223.0
3:37.0,G. Vincent makes free throw 1 of 2,34-50, ,,2,34,50,-16,1223.0
3:37.0,B. Adebayo enters the game for O. Robinson,34-50, ,,2,34,50,-16,1223.0
3:37.0,G. Vincent makes free throw 2 of 2,35-50, ,,2,35,50,-15,1223.0
3:24.0, ,35-52,P. Banchero makes 2-pt layup from 1 ft (assist by W. Carter),,2,35,52,-17,1236.0
3:04.0,C. Martin misses 3-pt jump shot from 26 ft,35-52, ,,2,35,52,-17,1256.0
3:00.0, ,35-52,Defensive rebound by W. Carter,,2,35,52,-17,1260.0
2:55.0, ,35-52,Turnover by W. Carter (traveling),,2,35,52,-17,1265.0
2:55.0, ,35-52,Orlando full timeout,,2,35,52,-17,1265.0
2:55.0, ,35-52,J. Suggs enters the game for F. Wagner,,2,35,52,-17,1265.0
2:41.0,J. Butler misses 2-pt jump shot from 11 ft,35-52, ,,2,35,52,-17,1279.0
2:39.0, ,35-52,Defensive rebound by W. Carter,,2,35,52,-17,1281.0
2:20.0, ,35-52,Turnover by W. Carter (bad pass; steal by B. Adebayo),,2,35,52,-17,1300.0
2:11.0,G. Vincent misses 3-pt jump shot from 27 ft,35-52, ,,2,35,52,-17,1309.0
2:09.0,Offensive rebound by C. Martin,35-52, ,,2,35,52,-17,1311.0
2:06.0,T. Herro misses 3-pt jump shot from 26 ft,35-52, ,,2,35,52,-17,1314.0
2:06.0,Offensive rebound by C. Martin,35-52, ,,2,35,52,-17,1314.0
2:06.0,Shooting foul by G. Harris (drawn by C. Martin),35-52, ,,2,35,52,-17,1314.0
2:06.0,C. Martin makes free throw 1 of 2,36-52, ,,2,36,52,-16,1314.0
2:06.0,C. Martin makes free throw 2 of 2,37-52, ,,2,37,52,-15,1314.0
1:55.0, ,37-52,Offensive foul by M. Fultz (drawn by B. Adebayo),,2,37,52,-15,1325.0
1:55.0, ,37-52,Turnover by M. Fultz (offensive foul),,2,37,52,-15,1325.0
1:34.0,J. Butler makes 2-pt layup from 3 ft (assist by B. Adebayo),39-52, ,,2,39,52,-13,1346.0
1:14.0, ,39-52,P. Banchero misses 3-pt jump shot from 25 ft,,2,39,52,-13,1366.0
1:10.0,Defensive rebound by C. Martin,39-52, ,,2,39,52,-13,1370.0
1:07.0,Personal foul by P. Banchero (drawn by J. Butler),39-52, ,,2,39,52,-13,1373.0
1:07.0,J. Butler makes free throw 1 of 2,40-52, ,,2,40,52,-12,1373.0
1:07.0,M. Strus enters the game for C. Martin,40-52, ,,2,40,52,-12,1373.0
1:07.0, ,40-52,B. Bol enters the game for P. Banchero,,2,40,52,-12,1373.0
1:07.0,J. Butler makes free throw 2 of 2,41-52, ,,2,41,52,-11,1373.0
0:47.0, ,41-52,G. Harris misses 2-pt jump shot from 7 ft,,2,41,52,-11,1393.0
0:46.0, ,41-52,Offensive rebound by W. Carter,,2,41,52,-11,1394.0
0:46.0, ,41-52,Shooting foul by G. Vincent (drawn by W. Carter),,2,41,52,-11,1394.0
0:46.0, ,41-53,W. Carter makes free throw 1 of 2,,2,41,53,-12,1394.0
0:46.0,C. Martin enters the game for G. Vincent,41-53, ,,2,41,53,-12,1394.0
0:46.0, ,41-54,W. Carter makes free throw 2 of 2,,2,41,54,-13,1394.0
0:32.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by J. Butler),43-54, ,,2,43,54,-11,1408.0
0:12.0, ,43-54,M. Fultz misses 2-pt layup from 3 ft (block by C. Martin),,2,43,54,-11,1428.0
0:09.0,Defensive rebound by J. Butler,43-54, ,,2,43,54,-11,1431.0
0:02.0,M. Strus makes 3-pt jump shot from 26 ft (assist by J. Butler),46-54, ,,2,46,54,-8,1438.0
0:01.0, ,46-54,M. Fultz misses 3-pt jump shot from 42 ft,,2,46,54,-8,1439.0
0:01.0, ,46-54,Offensive rebound by Team,,2,46,54,-8,1439.0
0:00.0,End of 2nd quarter,46-54,,,2,46,54,-8,1440.0
12:00.0,Start of 3rd quarter,46-54,,,3,46,54,-8,1440.0
11:49.0, ,46-56,M. Fultz makes 2-pt jump shot from 16 ft,,3,46,56,-10,1451.0
11:22.0,C. Martin makes 2-pt layup from 3 ft (assist by J. Butler),48-56, ,,3,48,56,-8,1478.0
11:05.0, ,48-56,Turnover by F. Wagner (lost ball; steal by C. Martin),,3,48,56,-8,1495.0
10:51.0,Offensive foul by B. Adebayo (drawn by F. Wagner),48-56, ,,3,48,56,-8,1509.0
10:51.0,Turnover by B. Adebayo (offensive foul),48-56, ,,3,48,56,-8,1509.0
10:36.0, ,48-56,P. Banchero misses 2-pt jump shot from 7 ft,,3,48,56,-8,1524.0
10:32.0,Defensive rebound by J. Butler,48-56, ,,3,48,56,-8,1528.0
10:20.0,J. Butler misses 2-pt layup from 4 ft,48-56, ,,3,48,56,-8,1540.0
10:17.0,Offensive rebound by J. Butler,48-56, ,,3,48,56,-8,1543.0
10:17.0,J. Butler makes 2-pt layup from 1 ft,50-56, ,,3,50,56,-6,1543.0
10:03.0, ,50-56,M. Fultz misses 2-pt jump shot from 13 ft,,3,50,56,-6,1557.0
9:57.0,Defensive rebound by J. Butler,50-56, ,,3,50,56,-6,1563.0
9:54.0,J. Butler misses 2-pt layup from 5 ft,50-56, ,,3,50,56,-6,1566.0
9:51.0, ,50-56,Defensive rebound by M. Fultz,,3,50,56,-6,1569.0
9:49.0, ,50-56,Turnover by P. Banchero (lost ball; steal by G. Vincent),,3,50,56,-6,1571.0
9:43.0,T. Herro misses 3-pt jump shot from 25 ft,50-56, ,,3,50,56,-6,1577.0
9:39.0, ,50-56,Defensive rebound by W. Carter,,3,50,56,-6,1581.0
9:35.0, ,50-56,P. Banchero misses 3-pt jump shot from 23 ft,,3,50,56,-6,1585.0
