Time,Atlanta,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:24.0, ,53-58,Turnover by J. Giddey (offensive foul),,3,53,58,-5,1476.0
11:14.0,J. Johnson misses 3-pt jump shot from 23 ft,53-58, ,,3,53,58,-5,1486.0
11:10.0, ,53-58,Defensive rebound by S. Gilgeous-Alexander,,3,53,58,-5,1490.0
11:07.0, ,53-58,J. Williams misses 3-pt jump shot from 25 ft,,3,53,58,-5,1493.0
11:03.0,Defensive rebound by C. Capela,53-58, ,,3,53,58,-5,1497.0
10:42.0,T. Young misses 3-pt jump shot from 29 ft,53-58, ,,3,53,58,-5,1518.0
10:40.0, ,53-58,Defensive rebound by J. Williams,,3,53,58,-5,1520.0
10:36.0, ,53-60,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by L. Dort),,3,53,60,-7,1524.0
10:20.0,C. Capela makes 2-pt dunk from 3 ft (assist by T. Young),55-60, ,,3,55,60,-5,1540.0
10:08.0, ,55-62,C. Holmgren makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),,3,55,62,-7,1552.0
9:48.0,T. Young misses 2-pt jump shot from 17 ft (block by L. Dort),55-62, ,,3,55,62,-7,1572.0
9:46.0, ,55-62,Defensive rebound by L. Dort,,3,55,62,-7,1574.0
9:45.0, ,55-62,Turnover by L. Dort (bad pass; steal by T. Young),,3,55,62,-7,1575.0
9:38.0,Personal foul by J. Giddey (drawn by D. Hunter),55-62, ,,3,55,62,-7,1582.0
9:29.0,D. Murray misses 2-pt jump shot from 16 ft,55-62, ,,3,55,62,-7,1591.0
9:26.0,Offensive rebound by C. Capela,55-62, ,,3,55,62,-7,1594.0
9:26.0,Turnover by C. Capela (traveling),55-62, ,,3,55,62,-7,1594.0
9:11.0, ,55-62,Shooting foul by C. Capela (drawn by C. Holmgren),,3,55,62,-7,1609.0
9:11.0, ,55-63,C. Holmgren makes free throw 1 of 2,,3,55,63,-8,1609.0
9:11.0, ,55-64,C. Holmgren makes free throw 2 of 2,,3,55,64,-9,1609.0
9:00.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),58-64, ,,3,58,64,-6,1620.0
8:35.0, ,58-64,Turnover by J. Giddey (lost ball; steal by J. Johnson),,3,58,64,-6,1645.0
8:30.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),60-64, ,,3,60,64,-4,1650.0
8:13.0, ,60-64,C. Holmgren misses 2-pt dunk from 4 ft,,3,60,64,-4,1667.0
8:13.0,Defensive rebound by Team,60-64, ,,3,60,64,-4,1667.0
8:08.0,D. Hunter misses 3-pt jump shot from 25 ft,60-64, ,,3,60,64,-4,1672.0
8:08.0,Offensive rebound by D. Murray,60-64, ,,3,60,64,-4,1672.0
8:00.0,D. Murray misses 3-pt jump shot from 23 ft,60-64, ,,3,60,64,-4,1680.0
7:58.0, ,60-64,Defensive rebound by C. Holmgren,,3,60,64,-4,1682.0
7:52.0, ,60-64,L. Dort misses 3-pt jump shot from 26 ft,,3,60,64,-4,1688.0
7:48.0, ,60-64,Offensive rebound by J. Giddey,,3,60,64,-4,1692.0
7:48.0, ,60-66,J. Giddey makes 2-pt layup from 2 ft,,3,60,66,-6,1692.0
7:33.0,Turnover by T. Young (bad pass),60-66, ,,3,60,66,-6,1707.0
7:28.0, ,60-68,L. Dort makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),,3,60,68,-8,1712.0
7:15.0,Shooting foul by J. Williams (drawn by T. Young),60-68, ,,3,60,68,-8,1725.0
7:15.0,T. Young makes free throw 1 of 2,61-68, ,,3,61,68,-7,1725.0
7:15.0,T. Young makes free throw 2 of 2,62-68, ,,3,62,68,-6,1725.0
7:07.0, ,62-70,J. Giddey makes 2-pt layup from 4 ft (assist by J. Williams),,3,62,70,-8,1733.0
6:54.0,D. Murray misses 2-pt layup from 5 ft (block by C. Holmgren),62-70, ,,3,62,70,-8,1746.0
6:52.0, ,62-70,Defensive rebound by J. Giddey,,3,62,70,-8,1748.0
6:48.0, ,62-73,S. Gilgeous-Alexander makes 3-pt jump shot from 23 ft (assist by J. Giddey),,3,62,73,-11,1752.0
6:47.0,Atlanta full timeout,62-73, ,,3,62,73,-11,1753.0
6:47.0,S. Bey enters the game for J. Johnson,62-73, ,,3,62,73,-11,1753.0
6:47.0,B. Bogdanović enters the game for T. Young,62-73, ,,3,62,73,-11,1753.0
6:34.0,D. Hunter misses 2-pt jump shot from 14 ft,62-73, ,,3,62,73,-11,1766.0
6:33.0, ,62-73,Defensive rebound by L. Dort,,3,62,73,-11,1767.0
6:24.0, ,62-73,Shooting foul by B. Bogdanović (drawn by L. Dort),,3,62,73,-11,1776.0
6:24.0, ,62-74,L. Dort makes free throw 1 of 2,,3,62,74,-12,1776.0
6:24.0, ,62-75,L. Dort makes free throw 2 of 2,,3,62,75,-13,1776.0
6:11.0,S. Bey makes 3-pt jump shot from 25 ft (assist by D. Murray),65-75, ,,3,65,75,-10,1789.0
5:56.0, ,65-75,Shooting foul by S. Bey (drawn by S. Gilgeous-Alexander),,3,65,75,-10,1804.0
5:56.0, ,65-76,S. Gilgeous-Alexander makes free throw 1 of 2,,3,65,76,-11,1804.0
5:56.0, ,65-77,S. Gilgeous-Alexander makes free throw 2 of 2,,3,65,77,-12,1804.0
5:56.0,Turnover by D. Murray (lost ball),65-77, ,,3,65,77,-12,1804.0
5:46.0,Loose ball foul by D. Murray (drawn by J. Williams),65-77, ,,3,65,77,-12,1814.0
5:32.0, ,65-77,J. Giddey misses 2-pt layup from 4 ft,,3,65,77,-12,1828.0
5:28.0,Defensive rebound by C. Capela,65-77, ,,3,65,77,-12,1832.0
5:26.0,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),68-77, ,,3,68,77,-9,1834.0
5:11.0, ,68-79,S. Gilgeous-Alexander makes 2-pt jump shot from 6 ft,,3,68,79,-11,1849.0
4:56.0,Turnover by S. Bey (bad pass),68-79, ,,3,68,79,-11,1864.0
4:56.0,O. Okongwu enters the game for C. Capela,68-79, ,,3,68,79,-11,1864.0
4:56.0, ,68-79,I. Joe enters the game for J. Giddey,,3,68,79,-11,1864.0
4:56.0, ,68-79,J. Williams enters the game for C. Holmgren,,3,68,79,-11,1864.0
4:42.0, ,68-79,Turnover by J. Williams (off goaltending),,3,68,79,-11,1878.0
4:30.0,D. Murray makes 3-pt jump shot from 27 ft,71-79, ,,3,71,79,-8,1890.0
4:13.0, ,71-82,I. Joe makes 3-pt jump shot from 26 ft (assist by L. Dort),,3,71,82,-11,1907.0
3:59.0,O. Okongwu makes 2-pt layup from 4 ft (assist by D. Murray),73-82, ,,3,73,82,-9,1921.0
3:45.0, ,73-85,I. Joe makes 3-pt jump shot from 25 ft (assist by J. Williams),,3,73,85,-12,1935.0
3:33.0,Personal foul by I. Joe (drawn by B. Bogdanović),73-85, ,,3,73,85,-12,1947.0
3:33.0,J. Johnson enters the game for D. Hunter,73-85, ,,3,73,85,-12,1947.0
3:33.0,T. Young enters the game for D. Murray,73-85, ,,3,73,85,-12,1947.0
3:33.0, ,73-85,C. Wallace enters the game for L. Dort,,3,73,85,-12,1947.0
3:33.0, ,73-85,A. Wiggins enters the game for J. Williams,,3,73,85,-12,1947.0
3:26.0,Turnover by T. Young (bad pass; steal by C. Wallace),73-85, ,,3,73,85,-12,1954.0
3:23.0, ,73-88,I. Joe makes 3-pt jump shot from 26 ft (assist by C. Wallace),,3,73,88,-15,1957.0
3:20.0,Atlanta full timeout,73-88, ,,3,73,88,-15,1960.0
3:08.0,J. Johnson misses 2-pt layup from 3 ft (block by J. Williams),73-88, ,,3,73,88,-15,1972.0
3:03.0, ,73-88,Defensive rebound by J. Williams,,3,73,88,-15,1977.0
2:48.0, ,73-88,J. Williams misses 3-pt jump shot from 28 ft,,3,73,88,-15,1992.0
2:43.0, ,73-88,Offensive rebound by A. Wiggins,,3,73,88,-15,1997.0
2:39.0, ,73-90,S. Gilgeous-Alexander makes 2-pt jump shot from 15 ft,,3,73,90,-17,2001.0
2:20.0,B. Bogdanović misses 3-pt jump shot from 24 ft,73-90, ,,3,73,90,-17,2020.0
2:18.0, ,73-90,Defensive rebound by I. Joe,,3,73,90,-17,2022.0
2:03.0, ,73-90,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,3,73,90,-17,2037.0
2:00.0,Defensive rebound by O. Okongwu,73-90, ,,3,73,90,-17,2040.0
1:56.0,Turnover by T. Young (bad pass; steal by C. Wallace),73-90, ,,3,73,90,-17,2044.0
1:50.0, ,73-90,I. Joe misses 3-pt jump shot from 22 ft,,3,73,90,-17,2050.0
1:47.0,Defensive rebound by O. Okongwu,73-90, ,,3,73,90,-17,2053.0
1:36.0,B. Bogdanović makes 2-pt layup from 4 ft,75-90, ,,3,75,90,-15,2064.0
1:09.0, ,75-92,J. Williams makes 2-pt jump shot from 21 ft (assist by I. Joe),,3,75,92,-17,2091.0
0:45.0,T. Young misses 3-pt jump shot from 27 ft,75-92, ,,3,75,92,-17,2115.0
0:42.0, ,75-92,Defensive rebound by S. Gilgeous-Alexander,,3,75,92,-17,2118.0
0:40.0, ,75-94,C. Wallace makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),,3,75,94,-19,2120.0
0:28.0,Turnover by T. Young (bad pass; steal by C. Wallace),75-94, ,,3,75,94,-19,2132.0
0:10.0, ,75-94,S. Gilgeous-Alexander misses 2-pt jump shot from 20 ft,,3,75,94,-19,2150.0
0:07.0,Defensive rebound by S. Bey,75-94, ,,3,75,94,-19,2153.0
0:04.0,J. Johnson makes 2-pt dunk from 3 ft (assist by S. Bey),77-94, ,,3,77,94,-17,2156.0
0:04.0, ,77-94,Oklahoma City full timeout,,3,77,94,-17,2156.0
0:04.0, ,77-94,J. Giddey enters the game for C. Wallace,,3,77,94,-17,2156.0
0:04.0, ,77-94,C. Holmgren enters the game for A. Wiggins,,3,77,94,-17,2156.0
0:04.0, ,77-94,J. Williams enters the game for J. Williams,,3,77,94,-17,2156.0
0:00.0, ,77-96,J. Williams makes 2-pt jump shot from 21 ft,,3,77,96,-19,2160.0
0:00.0, ,77-96,Instant Replay (Request: Ruling Stands),,3,77,96,-19,2160.0
0:00.0,End of 3rd quarter,77-96,,,3,77,96,-19,2160.0
12:00.0,Start of 4th quarter,77-96,,,4,77,96,-19,2160.0
11:38.0, ,77-96,O. Dieng misses 3-pt jump shot from 24 ft,,4,77,96,-19,2182.0
11:36.0,Defensive rebound by Team,77-96, ,,4,77,96,-19,2184.0
11:36.0, ,77-96,Loose ball foul by J. Giddey (drawn by J. Johnson),,4,77,96,-19,2184.0
11:26.0,B. Bogdanović misses 3-pt jump shot from 26 ft,77-96, ,,4,77,96,-19,2194.0
11:23.0,Offensive rebound by O. Okongwu,77-96, ,,4,77,96,-19,2197.0
11:23.0,O. Okongwu makes 2-pt layup from 3 ft,79-96, ,,4,79,96,-17,2197.0
11:23.0,Shooting foul by J. Williams (drawn by O. Okongwu),79-96, ,,4,79,96,-17,2197.0
11:23.0,O. Okongwu makes free throw 1 of 1,80-96, ,,4,80,96,-16,2197.0
11:10.0, ,80-96,C. Wallace misses 3-pt jump shot from 24 ft,,4,80,96,-16,2210.0
11:06.0,Defensive rebound by S. Bey,80-96, ,,4,80,96,-16,2214.0
10:58.0,Shooting foul by J. Williams (drawn by T. Young),80-96, ,,4,80,96,-16,2222.0
10:58.0, ,80-96,Oklahoma City full timeout,,4,80,96,-16,2222.0
10:58.0, ,80-96,Instant Replay (Challenge: Ruling Stands),,4,80,96,-16,2222.0
10:58.0,T. Young makes free throw 1 of 2,81-96, ,,4,81,96,-15,2222.0
10:58.0,T. Young makes free throw 2 of 2,82-96, ,,4,82,96,-14,2222.0
10:44.0, ,82-99,J. Williams makes 3-pt jump shot from 25 ft (assist by J. Giddey),,4,82,99,-17,2236.0
10:27.0,J. Johnson makes 2-pt layup from 2 ft (assist by B. Bogdanović),84-99, ,,4,84,99,-15,2253.0
10:08.0, ,84-101,J. Williams makes 2-pt layup from 3 ft (assist by C. Wallace),,4,84,101,-17,2272.0
9:55.0,T. Young misses 2-pt layup from 2 ft,84-101, ,,4,84,101,-17,2285.0
9:53.0,Offensive rebound by O. Okongwu,84-101, ,,4,84,101,-17,2287.0
9:53.0,O. Okongwu misses 2-pt layup at rim,84-101, ,,4,84,101,-17,2287.0
9:53.0,Turnover by O. Okongwu (traveling),84-101, ,,4,84,101,-17,2287.0
9:53.0,Violation by Team (delay of game),84-101, ,,4,84,101,-17,2287.0
9:37.0, ,84-101,J. Williams misses 2-pt jump shot from 9 ft,,4,84,101,-17,2303.0
9:33.0,Defensive rebound by O. Okongwu,84-101, ,,4,84,101,-17,2307.0
9:29.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by T. Young),86-101, ,,4,86,101,-15,2311.0
9:14.0, ,86-101,Turnover by C. Holmgren (bad pass),,4,86,101,-15,2326.0
9:10.0,Offensive foul by O. Okongwu (drawn by C. Wallace),86-101, ,,4,86,101,-15,2330.0
9:10.0,Turnover by O. Okongwu (offensive foul),86-101, ,,4,86,101,-15,2330.0
8:50.0, ,86-101,Turnover by O. Dieng (lost ball; steal by J. Johnson),,4,86,101,-15,2350.0
8:47.0,S. Bey makes 2-pt dunk from 1 ft,88-101, ,,4,88,101,-13,2353.0
8:47.0, ,88-101,Oklahoma City full timeout,,4,88,101,-13,2353.0
8:47.0, ,88-101,L. Dort enters the game for O. Dieng,,4,88,101,-13,2353.0
8:30.0, ,88-101,J. Giddey misses 2-pt jump shot from 5 ft,,4,88,101,-13,2370.0
8:29.0, ,88-101,Offensive rebound by J. Giddey,,4,88,101,-13,2371.0
8:29.0,Atlanta full timeout,88-101, ,,4,88,101,-13,2371.0
8:29.0,Instant Replay (Challenge: Ruling Stands),88-101, ,,4,88,101,-13,2371.0
8:22.0, ,88-101,L. Dort misses 3-pt jump shot from 23 ft,,4,88,101,-13,2378.0
8:19.0,Defensive rebound by O. Okongwu,88-101, ,,4,88,101,-13,2381.0
8:12.0,S. Bey misses 3-pt jump shot from 26 ft,88-101, ,,4,88,101,-13,2388.0
8:08.0, ,88-101,Defensive rebound by J. Giddey,,4,88,101,-13,2392.0
8:02.0, ,88-101,C. Holmgren misses 2-pt jump shot from 23 ft,,4,88,101,-13,2398.0
7:59.0,Defensive rebound by B. Bogdanović,88-101, ,,4,88,101,-13,2401.0
7:51.0,O. Okongwu misses 2-pt layup from 3 ft,88-101, ,,4,88,101,-13,2409.0
7:51.0,Offensive rebound by Team,88-101, ,,4,88,101,-13,2409.0
7:51.0,D. Hunter enters the game for J. Johnson,88-101, ,,4,88,101,-13,2409.0
7:51.0,D. Murray enters the game for T. Young,88-101, ,,4,88,101,-13,2409.0
7:51.0, ,88-101,S. Gilgeous-Alexander enters the game for J. Giddey,,4,88,101,-13,2409.0
7:51.0, ,88-101,I. Joe enters the game for J. Williams,,4,88,101,-13,2409.0
7:40.0,B. Bogdanović misses 3-pt jump shot from 27 ft,88-101, ,,4,88,101,-13,2420.0
7:36.0,Offensive rebound by S. Bey,88-101, ,,4,88,101,-13,2424.0
7:33.0,S. Bey makes 2-pt dunk from 3 ft,90-101, ,,4,90,101,-11,2427.0
7:17.0, ,90-101,C. Holmgren misses 2-pt layup from 2 ft,,4,90,101,-11,2443.0
7:17.0,Defensive rebound by Team,90-101, ,,4,90,101,-11,2443.0
7:17.0, ,90-101,Loose ball foul by C. Wallace (drawn by D. Hunter),,4,90,101,-11,2443.0
7:17.0, ,90-101,J. Williams enters the game for C. Holmgren,,4,90,101,-11,2443.0
6:56.0,D. Murray misses 3-pt jump shot from 26 ft,90-101, ,,4,90,101,-11,2464.0
6:50.0, ,90-101,Defensive rebound by L. Dort,,4,90,101,-11,2470.0
6:45.0, ,90-103,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,,4,90,103,-13,2475.0
6:28.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by D. Murray),93-103, ,,4,93,103,-10,2492.0
6:11.0, ,93-105,S. Gilgeous-Alexander makes 2-pt layup from 5 ft (assist by C. Wallace),,4,93,105,-12,2509.0
6:00.0,Personal foul by S. Gilgeous-Alexander (drawn by D. Murray),93-105, ,,4,93,105,-12,2520.0
6:00.0,D. Murray makes free throw 1 of 2,94-105, ,,4,94,105,-11,2520.0
6:00.0,J. Johnson enters the game for B. Bogdanović,94-105, ,,4,94,105,-11,2520.0
6:00.0,T. Young enters the game for O. Okongwu,94-105, ,,4,94,105,-11,2520.0
6:00.0,D. Murray makes free throw 2 of 2,95-105, ,,4,95,105,-10,2520.0
5:45.0, ,95-107,J. Williams makes 2-pt jump shot from 6 ft,,4,95,107,-12,2535.0
5:37.0,S. Bey misses 3-pt jump shot from 23 ft,95-107, ,,4,95,107,-12,2543.0
5:34.0, ,95-107,Defensive rebound by C. Wallace,,4,95,107,-12,2546.0
5:31.0, ,95-107,Personal foul by J. Johnson (drawn by S. Gilgeous-Alexander),,4,95,107,-12,2549.0
5:20.0, ,95-107,S. Gilgeous-Alexander misses 3-pt jump shot from 30 ft,,4,95,107,-12,2560.0
5:17.0,Defensive rebound by J. Johnson,95-107, ,,4,95,107,-12,2563.0
5:07.0,J. Johnson makes 2-pt dunk from 3 ft (assist by T. Young),97-107, ,,4,97,107,-10,2573.0
4:52.0, ,97-109,L. Dort makes 2-pt dunk from 2 ft (assist by J. Williams),,4,97,109,-12,2588.0
4:41.0,Personal foul by J. Williams (drawn by T. Young),97-109, ,,4,97,109,-12,2599.0
4:41.0,T. Young makes free throw 1 of 2,98-109, ,,4,98,109,-11,2599.0
4:41.0,O. Okongwu enters the game for S. Bey,98-109, ,,4,98,109,-11,2599.0
4:41.0, ,98-109,J. Williams enters the game for C. Wallace,,4,98,109,-11,2599.0
4:41.0,T. Young makes free throw 2 of 2,99-109, ,,4,99,109,-10,2599.0
4:28.0, ,99-109,Shooting foul by D. Murray (drawn by J. Williams),,4,99,109,-10,2612.0
4:28.0, ,99-110,J. Williams makes free throw 1 of 2,,4,99,110,-11,2612.0
4:28.0, ,99-111,J. Williams makes free throw 2 of 2,,4,99,111,-12,2612.0
4:21.0,Personal foul by J. Williams (drawn by T. Young),99-111, ,,4,99,111,-12,2619.0
4:21.0,T. Young makes free throw 1 of 2,100-111, ,,4,100,111,-11,2619.0
4:21.0,T. Young makes free throw 2 of 2,101-111, ,,4,101,111,-10,2619.0
4:05.0, ,101-111,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,4,101,111,-10,2635.0
4:00.0,Defensive rebound by O. Okongwu,101-111, ,,4,101,111,-10,2640.0
3:55.0,Personal foul by J. Williams (drawn by D. Murray),101-111, ,,4,101,111,-10,2645.0
3:55.0,D. Murray misses free throw 1 of 2,101-111, ,,4,101,111,-10,2645.0
3:55.0,Offensive rebound by Team,101-111, ,,4,101,111,-10,2645.0
3:55.0, ,101-111,C. Holmgren enters the game for J. Williams,,4,101,111,-10,2645.0
3:55.0,D. Murray makes free throw 2 of 2,102-111, ,,4,102,111,-9,2645.0
3:40.0, ,102-111,I. Joe misses 3-pt jump shot from 27 ft,,4,102,111,-9,2660.0
3:36.0,Defensive rebound by J. Johnson,102-111, ,,4,102,111,-9,2664.0
3:30.0,T. Young misses 2-pt jump shot from 13 ft,102-111, ,,4,102,111,-9,2670.0
3:29.0, ,102-111,Defensive rebound by Team,,4,102,111,-9,2671.0
3:17.0, ,102-111,Personal foul by D. Hunter (drawn by S. Gilgeous-Alexander),,4,102,111,-9,2683.0
3:08.0, ,102-111,I. Joe misses 3-pt jump shot from 26 ft,,4,102,111,-9,2692.0
3:05.0,Defensive rebound by O. Okongwu,102-111, ,,4,102,111,-9,2695.0
2:59.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),105-111, ,,4,105,111,-6,2701.0
2:35.0, ,105-114,I. Joe makes 3-pt jump shot from 23 ft (assist by C. Holmgren),,4,105,114,-9,2725.0
2:24.0,T. Young makes 2-pt jump shot from 8 ft,107-114, ,,4,107,114,-7,2736.0
2:06.0, ,107-114,J. Williams misses 3-pt jump shot from 23 ft,,4,107,114,-7,2754.0
2:04.0, ,107-114,Offensive rebound by L. Dort,,4,107,114,-7,2756.0
2:04.0, ,107-114,Turnover by L. Dort (step out of bounds),,4,107,114,-7,2756.0
2:04.0, ,107-114,J. Giddey enters the game for I. Joe,,4,107,114,-7,2756.0
1:59.0,T. Young misses 2-pt jump shot from 11 ft,107-114, ,,4,107,114,-7,2761.0
1:55.0,Offensive rebound by O. Okongwu,107-114, ,,4,107,114,-7,2765.0
1:55.0,O. Okongwu misses 2-pt layup at rim,107-114, ,,4,107,114,-7,2765.0
1:55.0,O. Okongwu makes 2-pt layup from 3 ft,109-114, ,,4,109,114,-5,2765.0
1:40.0, ,109-116,J. Williams makes 2-pt layup from 5 ft,,4,109,116,-7,2780.0
1:30.0,T. Young misses 2-pt jump shot from 24 ft (block by L. Dort),109-116, ,,4,109,116,-7,2790.0
1:26.0, ,109-116,Defensive rebound by L. Dort,,4,109,116,-7,2794.0
1:25.0, ,109-118,J. Williams makes 2-pt dunk from 3 ft (assist by S. Gilgeous-Alexander),,4,109,118,-9,2795.0
1:19.0,Shooting foul by S. Gilgeous-Alexander (drawn by D. Murray),109-118, ,,4,109,118,-9,2801.0
1:19.0,D. Murray makes free throw 1 of 2,110-118, ,,4,110,118,-8,2801.0
1:19.0,D. Murray makes free throw 2 of 2,111-118, ,,4,111,118,-7,2801.0
1:11.0, ,111-118,Personal foul by D. Murray (drawn by S. Gilgeous-Alexander),,4,111,118,-7,2809.0
1:00.0, ,111-118,C. Holmgren misses 2-pt jump shot from 8 ft,,4,111,118,-7,2820.0
1:00.0,Defensive rebound by Team,111-118, ,,4,111,118,-7,2820.0
1:00.0, ,111-118,Loose ball foul by C. Holmgren (drawn by J. Johnson),,4,111,118,-7,2820.0
1:00.0,J. Johnson misses free throw 1 of 2,111-118, ,,4,111,118,-7,2820.0
1:00.0,Offensive rebound by Team,111-118, ,,4,111,118,-7,2820.0
1:00.0, ,111-118,I. Joe enters the game for J. Giddey,,4,111,118,-7,2820.0
1:00.0,J. Johnson makes free throw 2 of 2,112-118, ,,4,112,118,-6,2820.0
0:37.0, ,112-118,S. Gilgeous-Alexander misses 3-pt jump shot from 24 ft,,4,112,118,-6,2843.0
0:34.0, ,112-118,Offensive rebound by C. Holmgren,,4,112,118,-6,2846.0
0:33.0, ,112-120,C. Holmgren makes 2-pt layup from 3 ft,,4,112,120,-8,2847.0
0:33.0, ,112-120,Shooting foul by O. Okongwu (drawn by C. Holmgren),,4,112,120,-8,2847.0
0:33.0, ,112-120,C. Wallace enters the game for I. Joe,,4,112,120,-8,2847.0
0:33.0, ,112-121,C. Holmgren makes free throw 1 of 1,,4,112,121,-9,2847.0
0:27.0,T. Young misses 2-pt layup from 4 ft,112-121, ,,4,112,121,-9,2853.0
0:25.0, ,112-121,Defensive rebound by C. Holmgren,,4,112,121,-9,2855.0
0:23.0, ,112-121,Personal take foul by D. Hunter (drawn by S. Gilgeous-Alexander),,4,112,121,-9,2857.0
0:23.0, ,112-122,S. Gilgeous-Alexander makes free throw 1 of 2,,4,112,122,-10,2857.0
0:23.0, ,112-123,S. Gilgeous-Alexander makes free throw 2 of 2,,4,112,123,-11,2857.0
0:17.0,D. Murray makes 3-pt jump shot from 25 ft (assist by T. Young),115-123, ,,4,115,123,-8,2863.0
0:14.0, ,115-123,Personal take foul by D. Murray (drawn by S. Gilgeous-Alexander),,4,115,123,-8,2866.0
0:14.0, ,115-124,S. Gilgeous-Alexander makes free throw 1 of 2,,4,115,124,-9,2866.0
0:14.0, ,115-124,S. Gilgeous-Alexander misses free throw 2 of 2,,4,115,124,-9,2866.0
0:12.0, ,115-124,Offensive rebound by S. Gilgeous-Alexander,,4,115,124,-9,2868.0
0:12.0, ,115-126,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,,4,115,126,-11,2868.0
0:07.0,T. Young makes 2-pt layup from 3 ft (assist by J. Johnson),117-126, ,,4,117,126,-9,2873.0
0:00.0,End of 4th quarter,117-126,,,4,117,126,-9,2880.0
