Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: D. Sabonis vs. C. Capela (S. Bey gains possession),0-0,,,1,0,0,0,0.0
11:35.0, ,0-2,S. Bey makes 2-pt dunk from 1 ft (assist by T. Young),,1,2,0,2,25.0
11:19.0,D. Sabonis misses 2-pt hook shot from 7 ft,0-2, ,,1,2,0,2,41.0
11:16.0, ,0-2,Defensive rebound by J. Johnson,,1,2,0,2,44.0
11:01.0, ,0-2,Turnover by C. Capela (bad pass; steal by D. Fox),,1,2,0,2,59.0
10:49.0,K. Huerter misses 3-pt jump shot from 25 ft,0-2, ,,1,2,0,2,71.0
10:44.0, ,0-2,Defensive rebound by C. Capela,,1,2,0,2,76.0
10:35.0, ,0-2,J. Johnson misses 3-pt jump shot from 26 ft,,1,2,0,2,85.0
10:30.0,Defensive rebound by K. Huerter,0-2, ,,1,2,0,2,90.0
10:26.0,D. Fox misses 2-pt layup from 3 ft,0-2, ,,1,2,0,2,94.0
10:25.0, ,0-2,Defensive rebound by Team,,1,2,0,2,95.0
10:15.0, ,0-5,T. Young makes 3-pt jump shot from 26 ft,,1,5,0,5,105.0
9:58.0,H. Barnes misses 3-pt jump shot from 25 ft,0-5, ,,1,5,0,5,122.0
9:54.0, ,0-5,Defensive rebound by J. Johnson,,1,5,0,5,126.0
9:43.0, ,0-5,S. Bey misses 3-pt jump shot from 23 ft,,1,5,0,5,137.0
9:40.0, ,0-5,Offensive rebound by C. Capela,,1,5,0,5,140.0
9:34.0, ,0-8,D. Murray makes 3-pt jump shot from 25 ft,,1,8,0,8,146.0
9:12.0,D. Fox makes 2-pt jump shot from 12 ft (assist by D. Sabonis),2-8, ,,1,8,2,6,168.0
9:00.0, ,2-10,C. Capela makes 2-pt layup from 4 ft (assist by T. Young),,1,10,2,8,180.0
9:00.0, ,2-10,Shooting foul by K. Murray (drawn by C. Capela),,1,10,2,8,180.0
9:00.0, ,2-11,C. Capela makes free throw 1 of 1,,1,11,2,9,180.0
8:47.0,K. Huerter makes 2-pt jump shot from 13 ft (assist by D. Sabonis),4-11, ,,1,11,4,7,193.0
8:35.0, ,4-13,D. Murray makes 2-pt layup from 2 ft (assist by T. Young),,1,13,4,9,205.0
8:28.0,K. Huerter misses 3-pt jump shot from 26 ft,4-13, ,,1,13,4,9,212.0
8:24.0,Offensive rebound by D. Fox,4-13, ,,1,13,4,9,216.0
8:22.0,D. Fox misses 3-pt jump shot from 25 ft,4-13, ,,1,13,4,9,218.0
8:19.0, ,4-13,Defensive rebound by C. Capela,,1,13,4,9,221.0
8:08.0, ,4-13,S. Bey misses 3-pt jump shot from 25 ft,,1,13,4,9,232.0
8:07.0,Defensive rebound by Team,4-13, ,,1,13,4,9,233.0
7:49.0,H. Barnes misses 3-pt jump shot from 23 ft,4-13, ,,1,13,4,9,251.0
7:45.0, ,4-13,Defensive rebound by J. Johnson,,1,13,4,9,255.0
7:37.0, ,4-13,Shooting foul by D. Fox (drawn by C. Capela),,1,13,4,9,263.0
7:37.0, ,4-13,C. Capela misses free throw 1 of 2,,1,13,4,9,263.0
7:37.0, ,4-13,Offensive rebound by Team,,1,13,4,9,263.0
7:37.0, ,4-13,C. Capela misses free throw 2 of 2,,1,13,4,9,263.0
7:36.0, ,4-13,Offensive rebound by Team,,1,13,4,9,264.0
7:33.0, ,4-13,D. Murray misses 3-pt jump shot from 23 ft,,1,13,4,9,267.0
7:29.0,Defensive rebound by K. Huerter,4-13, ,,1,13,4,9,271.0
7:25.0,D. Sabonis makes 2-pt layup from 1 ft (assist by K. Huerter),6-13, ,,1,13,6,7,275.0
7:13.0, ,6-15,C. Capela makes 2-pt dunk from 1 ft (assist by T. Young),,1,15,6,9,287.0
7:13.0, ,6-15,Shooting foul by D. Sabonis (drawn by C. Capela),,1,15,6,9,287.0
7:13.0, ,6-16,C. Capela makes free throw 1 of 1,,1,16,6,10,287.0
7:04.0,D. Sabonis misses 2-pt layup from 2 ft (block by C. Capela),6-16, ,,1,16,6,10,296.0
7:00.0, ,6-16,Defensive rebound by S. Bey,,1,16,6,10,300.0
6:55.0, ,6-18,C. Capela makes 2-pt layup from 1 ft (assist by D. Murray),,1,18,6,12,305.0
6:55.0,Sacramento full timeout,6-18, ,,1,18,6,12,305.0
6:55.0,T. Lyles enters the game for H. Barnes,6-18, ,,1,18,6,12,305.0
6:55.0,M. Monk enters the game for K. Huerter,6-18, ,,1,18,6,12,305.0
6:55.0, ,6-18,B. Bogdanović enters the game for J. Johnson,,1,18,6,12,305.0
6:55.0, ,6-18,G. Mathews enters the game for T. Young,,1,18,6,12,305.0
6:32.0,M. Monk misses 3-pt jump shot from 23 ft,6-18, ,,1,18,6,12,328.0
6:27.0, ,6-18,Defensive rebound by C. Capela,,1,18,6,12,333.0
6:15.0, ,6-21,S. Bey makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,1,21,6,15,345.0
6:01.0,K. Murray makes 2-pt dunk at rim (assist by D. Sabonis),8-21, ,,1,21,8,13,359.0
5:41.0, ,8-21,B. Bogdanović misses 2-pt layup from 3 ft (block by K. Murray),,1,21,8,13,379.0
5:37.0, ,8-21,Offensive rebound by C. Capela,,1,21,8,13,383.0
5:36.0, ,8-24,G. Mathews makes 3-pt jump shot from 25 ft (assist by C. Capela),,1,24,8,16,384.0
5:31.0,Turnover by M. Monk (bad pass),8-24, ,,1,24,8,16,389.0
5:31.0,C. Duarte enters the game for D. Fox,8-24, ,,1,24,8,16,389.0
5:31.0, ,8-24,O. Okongwu enters the game for C. Capela,,1,24,8,16,389.0
5:19.0, ,8-26,B. Bogdanović makes 2-pt jump shot from 7 ft (assist by D. Murray),,1,26,8,18,401.0
5:04.0,K. Murray misses 3-pt jump shot from 22 ft,8-26, ,,1,26,8,18,416.0
5:01.0, ,8-26,Defensive rebound by D. Murray,,1,26,8,18,419.0
4:55.0, ,8-26,Turnover by D. Murray (bad pass; steal by C. Duarte),,1,26,8,18,425.0
4:52.0,Turnover by T. Lyles (bad pass; steal by G. Mathews),8-26, ,,1,26,8,18,428.0
4:45.0, ,8-26,Shooting foul by T. Lyles (drawn by S. Bey),,1,26,8,18,435.0
4:45.0, ,8-27,S. Bey makes free throw 1 of 2,,1,27,8,19,435.0
4:45.0, ,8-28,S. Bey makes free throw 2 of 2,,1,28,8,20,435.0
4:30.0,K. Murray misses 3-pt jump shot from 25 ft,8-28, ,,1,28,8,20,450.0
4:25.0, ,8-28,Defensive rebound by D. Murray,,1,28,8,20,455.0
4:17.0, ,8-28,S. Bey misses 2-pt layup from 4 ft,,1,28,8,20,463.0
4:16.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,464.0
4:16.0, ,8-28,S. Bey misses 2-pt layup from 3 ft,,1,28,8,20,464.0
4:15.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,465.0
4:15.0, ,8-28,S. Bey misses 2-pt layup from 1 ft,,1,28,8,20,465.0
4:14.0, ,8-28,Offensive rebound by S. Bey,,1,28,8,20,466.0
4:14.0, ,8-28,S. Bey misses 2-pt layup at rim,,1,28,8,20,466.0
4:13.0,Defensive rebound by M. Monk,8-28, ,,1,28,8,20,467.0
4:02.0,M. Monk misses 2-pt layup from 1 ft,8-28, ,,1,28,8,20,478.0
4:01.0, ,8-28,Defensive rebound by D. Murray,,1,28,8,20,479.0
3:46.0, ,8-31,D. Murray makes 3-pt jump shot from 26 ft (assist by S. Bey),,1,31,8,23,494.0
3:44.0,Sacramento full timeout,8-31, ,,1,31,8,23,496.0
3:44.0,D. Fox enters the game for K. Murray,8-31, ,,1,31,8,23,496.0
3:44.0,A. Len enters the game for D. Sabonis,8-31, ,,1,31,8,23,496.0
3:33.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by D. Fox),11-31, ,,1,31,11,20,507.0
3:15.0, ,11-31,O. Okongwu misses 2-pt layup from 1 ft,,1,31,11,20,525.0
3:12.0,Defensive rebound by T. Lyles,11-31, ,,1,31,11,20,528.0
2:54.0,A. Len makes 2-pt layup from 1 ft (assist by C. Duarte),13-31, ,,1,31,13,18,546.0
2:36.0, ,13-31,Personal foul by T. Lyles (drawn by O. Okongwu),,1,31,13,18,564.0
2:36.0, ,13-31,O. Okongwu misses free throw 1 of 2,,1,31,13,18,564.0
2:36.0, ,13-31,Offensive rebound by Team,,1,31,13,18,564.0
2:36.0, ,13-31,J. Johnson enters the game for S. Bey,,1,31,13,18,564.0
2:36.0, ,13-31,T. Young enters the game for D. Murray,,1,31,13,18,564.0
2:36.0, ,13-32,O. Okongwu makes free throw 2 of 2,,1,32,13,19,564.0
2:25.0,Shooting foul by G. Mathews (drawn by D. Fox),13-32, ,,1,32,13,19,575.0
2:25.0,D. Fox misses free throw 1 of 2,13-32, ,,1,32,13,19,575.0
2:25.0,Offensive rebound by Team,13-32, ,,1,32,13,19,575.0
2:25.0,D. Fox misses free throw 2 of 2,13-32, ,,1,32,13,19,575.0
2:23.0, ,13-32,Defensive rebound by J. Johnson,,1,32,13,19,577.0
2:06.0, ,13-32,J. Johnson misses 2-pt layup from 1 ft,,1,32,13,19,594.0
2:02.0,Defensive rebound by A. Len,13-32, ,,1,32,13,19,598.0
1:58.0,M. Monk makes 2-pt dunk from 1 ft (assist by D. Fox),15-32, ,,1,32,15,17,602.0
1:48.0, ,15-32,Turnover by T. Young (bad pass; steal by M. Monk),,1,32,15,17,612.0
1:45.0,M. Monk makes 2-pt layup from 1 ft,17-32, ,,1,32,17,15,615.0
1:35.0, ,17-32,Personal foul by C. Duarte (drawn by T. Young),,1,32,17,15,625.0
1:35.0, ,17-33,T. Young makes free throw 1 of 2,,1,33,17,16,625.0
1:35.0, ,17-34,T. Young makes free throw 2 of 2,,1,34,17,17,625.0
1:23.0,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Fox),20-34, ,,1,34,20,14,637.0
0:57.0, ,20-34,G. Mathews misses 3-pt jump shot from 26 ft,,1,34,20,14,663.0
0:55.0, ,20-34,Offensive rebound by B. Bogdanović,,1,34,20,14,665.0
0:55.0, ,20-34,Shooting foul by M. Monk (drawn by B. Bogdanović),,1,34,20,14,665.0
0:55.0, ,20-35,B. Bogdanović makes free throw 1 of 2,,1,35,20,15,665.0
0:55.0, ,20-35,P. Mills enters the game for G. Mathews,,1,35,20,15,665.0
0:55.0, ,20-36,B. Bogdanović makes free throw 2 of 2,,1,36,20,16,665.0
0:35.0,T. Lyles makes 2-pt layup from 1 ft (assist by A. Len),22-36, ,,1,36,22,14,685.0
0:35.0,Shooting foul by B. Bogdanović (drawn by T. Lyles),22-36, ,,1,36,22,14,685.0
0:35.0,T. Lyles makes free throw 1 of 1,23-36, ,,1,36,23,13,685.0
0:29.0, ,23-36,T. Young misses 2-pt jump shot from 9 ft,,1,36,23,13,691.0
0:25.0,Defensive rebound by T. Lyles,23-36, ,,1,36,23,13,695.0
0:04.0,T. Lyles misses 3-pt jump shot from 24 ft,23-36, ,,1,36,23,13,716.0
0:02.0, ,23-36,Defensive rebound by T. Young,,1,36,23,13,718.0
0:00.0,End of 1st quarter,23-36,,,1,36,23,13,720.0
12:00.0,Start of 2nd quarter,23-36,,,2,36,23,13,720.0
11:45.0,D. Fox makes 3-pt jump shot from 25 ft (assist by A. Len),26-36, ,,2,36,26,10,735.0
11:27.0, ,26-36,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,36,26,10,753.0
11:24.0,Defensive rebound by A. Len,26-36, ,,2,36,26,10,756.0
11:18.0,A. Len misses 2-pt dunk from 3 ft (block by O. Okongwu),26-36, ,,2,36,26,10,762.0
11:15.0, ,26-36,Defensive rebound by C. Capela,,2,36,26,10,765.0
11:02.0, ,26-38,O. Okongwu makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,2,38,26,12,778.0
10:46.0,T. Lyles makes 3-pt jump shot from 22 ft (assist by C. Duarte),29-38, ,,2,38,29,9,794.0
10:33.0, ,29-38,T. Young misses 3-pt jump shot from 26 ft,,2,38,29,9,807.0
10:28.0, ,29-38,Offensive rebound by O. Okongwu,,2,38,29,9,812.0
10:25.0, ,29-38,B. Bogdanović misses 3-pt jump shot from 25 ft,,2,38,29,9,815.0
10:21.0,Defensive rebound by A. Len,29-38, ,,2,38,29,9,819.0
10:12.0,C. Duarte misses 3-pt jump shot from 25 ft,29-38, ,,2,38,29,9,828.0
10:08.0, ,29-38,Defensive rebound by O. Okongwu,,2,38,29,9,832.0
10:02.0, ,29-41,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Young),,2,41,29,12,838.0
9:48.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by M. Monk),32-41, ,,2,41,32,9,852.0
9:38.0, ,32-44,P. Mills makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,2,44,32,12,862.0
9:26.0,T. Lyles misses 3-pt jump shot from 25 ft,32-44, ,,2,44,32,12,874.0
9:22.0,Offensive rebound by A. Len,32-44, ,,2,44,32,12,878.0
9:17.0,M. Monk makes 3-pt jump shot from 25 ft,35-44, ,,2,44,35,9,883.0
9:04.0, ,35-44,T. Young misses 2-pt jump shot from 9 ft,,2,44,35,9,896.0
9:02.0, ,35-44,Offensive rebound by C. Capela,,2,44,35,9,898.0
9:02.0, ,35-46,C. Capela makes 2-pt layup at rim,,2,46,35,11,898.0
9:02.0,Sacramento full timeout,35-46, ,,2,46,35,11,898.0
9:02.0,D. Mitchell enters the game for C. Duarte,35-46, ,,2,46,35,11,898.0
9:02.0,K. Murray enters the game for D. Fox,35-46, ,,2,46,35,11,898.0
9:02.0,D. Sabonis enters the game for A. Len,35-46, ,,2,46,35,11,898.0
9:02.0, ,35-46,J. Johnson enters the game for C. Capela,,2,46,35,11,898.0
9:02.0, ,35-46,D. Murray enters the game for T. Young,,2,46,35,11,898.0
8:40.0,Shooting foul by O. Okongwu (drawn by D. Sabonis),35-46, ,,2,46,35,11,920.0
8:40.0,D. Sabonis misses free throw 1 of 2,35-46, ,,2,46,35,11,920.0
8:40.0,Offensive rebound by Team,35-46, ,,2,46,35,11,920.0
8:40.0,D. Sabonis misses free throw 2 of 2,35-46, ,,2,46,35,11,920.0
8:36.0, ,35-46,Defensive rebound by O. Okongwu,,2,46,35,11,924.0
8:26.0, ,35-46,O. Okongwu misses 2-pt layup from 1 ft,,2,46,35,11,934.0
8:23.0,Defensive rebound by D. Sabonis,35-46, ,,2,46,35,11,937.0
8:10.0,M. Monk makes 2-pt layup from 1 ft,37-46, ,,2,46,37,9,950.0
7:49.0, ,37-46,D. Murray misses 2-pt jump shot from 11 ft,,2,46,37,9,971.0
7:45.0,Defensive rebound by K. Murray,37-46, ,,2,46,37,9,975.0
7:33.0,K. Murray misses 3-pt jump shot from 26 ft,37-46, ,,2,46,37,9,987.0
7:30.0, ,37-46,Defensive rebound by J. Johnson,,2,46,37,9,990.0
7:21.0, ,37-46,J. Johnson misses 2-pt jump shot from 11 ft,,2,46,37,9,999.0
7:20.0,Defensive rebound by Team,37-46, ,,2,46,37,9,1000.0
7:20.0, ,37-46,Loose ball foul by O. Okongwu (drawn by D. Sabonis),,2,46,37,9,1000.0
7:20.0, ,37-46,S. Bey enters the game for P. Mills,,2,46,37,9,1000.0
7:05.0,Def 3 sec tech foul by Team,37-46, ,,2,46,37,9,1015.0
7:05.0,M. Monk makes technical free throw,38-46, ,,2,46,38,8,1015.0
6:53.0,D. Sabonis makes 2-pt layup from 1 ft,40-46, ,,2,46,40,6,1027.0
6:38.0, ,40-48,B. Bogdanović makes 2-pt jump shot from 6 ft,,2,48,40,8,1042.0
6:28.0,K. Murray makes 3-pt jump shot from 26 ft (assist by D. Mitchell),43-48, ,,2,48,43,5,1052.0
6:12.0, ,43-48,D. Murray misses 2-pt layup from 2 ft (block by M. Monk),,2,48,43,5,1068.0
6:08.0,Defensive rebound by K. Murray,43-48, ,,2,48,43,5,1072.0
6:06.0,T. Lyles misses 3-pt jump shot from 22 ft,43-48, ,,2,48,43,5,1074.0
6:06.0, ,43-48,Defensive rebound by Team,,2,48,43,5,1074.0
6:06.0, ,43-48,C. Capela enters the game for B. Bogdanović,,2,48,43,5,1074.0
6:06.0, ,43-48,T. Young enters the game for O. Okongwu,,2,48,43,5,1074.0
5:57.0, ,43-48,Shooting foul by D. Mitchell (drawn by J. Johnson),,2,48,43,5,1083.0
5:57.0, ,43-48,J. Johnson misses free throw 1 of 2,,2,48,43,5,1083.0
5:57.0, ,43-48,Offensive rebound by Team,,2,48,43,5,1083.0
5:57.0,D. Fox enters the game for M. Monk,43-48, ,,2,48,43,5,1083.0
5:57.0, ,43-49,J. Johnson makes free throw 2 of 2,,2,49,43,6,1083.0
5:44.0,D. Fox misses 3-pt jump shot from 25 ft,43-49, ,,2,49,43,6,1096.0
5:40.0,Offensive rebound by D. Mitchell,43-49, ,,2,49,43,6,1100.0
5:38.0,D. Mitchell misses 3-pt jump shot from 24 ft,43-49, ,,2,49,43,6,1102.0
5:38.0, ,43-49,Defensive rebound by J. Johnson,,2,49,43,6,1102.0
5:25.0, ,43-51,D. Murray makes 2-pt layup from 3 ft (assist by J. Johnson),,2,51,43,8,1115.0
5:08.0,D. Sabonis misses 2-pt layup from 1 ft,43-51, ,,2,51,43,8,1132.0
5:05.0, ,43-51,Defensive rebound by J. Johnson,,2,51,43,8,1135.0
5:01.0, ,43-53,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,2,53,43,10,1139.0
4:36.0,D. Sabonis makes 2-pt jump shot from 14 ft (assist by T. Lyles),45-53, ,,2,53,45,8,1164.0
4:21.0, ,45-53,S. Bey misses 2-pt layup from 2 ft (block by K. Murray),,2,53,45,8,1179.0
4:19.0, ,45-53,Offensive rebound by S. Bey,,2,53,45,8,1181.0
4:18.0, ,45-56,D. Murray makes 3-pt jump shot from 26 ft (assist by S. Bey),,2,56,45,11,1182.0
4:10.0,Personal foul by C. Capela (drawn by D. Sabonis),45-56, ,,2,56,45,11,1190.0
4:10.0,C. Duarte enters the game for T. Lyles,45-56, ,,2,56,45,11,1190.0
4:10.0,M. Monk enters the game for D. Mitchell,45-56, ,,2,56,45,11,1190.0
3:57.0,C. Duarte makes 2-pt dunk at rim (assist by D. Fox),47-56, ,,2,56,47,9,1203.0
3:41.0, ,47-56,Personal foul by M. Monk (drawn by J. Johnson),,2,56,47,9,1219.0
3:28.0, ,47-56,T. Young misses 3-pt jump shot from 26 ft,,2,56,47,9,1232.0
3:25.0, ,47-56,Offensive rebound by C. Capela,,2,56,47,9,1235.0
3:23.0, ,47-59,D. Murray makes 3-pt jump shot from 23 ft (assist by C. Capela),,2,59,47,12,1237.0
3:05.0,Personal foul by J. Johnson (drawn by C. Duarte),47-59, ,,2,59,47,12,1255.0
2:58.0,Turnover by D. Fox (bad pass; steal by T. Young),47-59, ,,2,59,47,12,1262.0
2:50.0, ,47-59,Turnover by T. Young (bad pass; steal by D. Fox),,2,59,47,12,1270.0
2:43.0,D. Fox misses 3-pt jump shot from 25 ft,47-59, ,,2,59,47,12,1277.0
2:40.0,Offensive rebound by D. Sabonis,47-59, ,,2,59,47,12,1280.0
2:38.0,D. Sabonis makes 2-pt layup from 1 ft,49-59, ,,2,59,49,10,1282.0
2:32.0, ,49-59,Atlanta full timeout,,2,59,49,10,1288.0
2:25.0, ,49-59,Shooting foul by K. Murray (drawn by J. Johnson),,2,59,49,10,1295.0
2:25.0, ,49-60,J. Johnson makes free throw 1 of 2,,2,60,49,11,1295.0
2:25.0, ,49-61,J. Johnson makes free throw 2 of 2,,2,61,49,12,1295.0
2:13.0,Turnover by M. Monk (bad pass; steal by T. Young),49-61, ,,2,61,49,12,1307.0
2:09.0, ,49-63,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,2,63,49,14,1311.0
2:01.0,Turnover by M. Monk (lost ball; steal by T. Young),49-63, ,,2,63,49,14,1319.0
1:56.0, ,49-63,S. Bey misses 3-pt jump shot from 24 ft,,2,63,49,14,1324.0
1:52.0,Defensive rebound by K. Murray,49-63, ,,2,63,49,14,1328.0
1:40.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Duarte),51-63, ,,2,63,51,12,1340.0
1:26.0, ,51-63,D. Murray misses 2-pt layup from 1 ft,,2,63,51,12,1354.0
1:24.0,Defensive rebound by D. Sabonis,51-63, ,,2,63,51,12,1356.0
1:16.0,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Duarte),53-63, ,,2,63,53,10,1364.0
0:53.0, ,53-66,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Murray),,2,66,53,13,1387.0
0:34.0,Turnover by D. Fox (bad pass; steal by C. Capela),53-66, ,,2,66,53,13,1406.0
0:31.0, ,53-68,J. Johnson makes 2-pt dunk from 1 ft (assist by C. Capela),,2,68,53,15,1409.0
0:08.0,K. Murray misses 3-pt jump shot from 23 ft,53-68, ,,2,68,53,15,1432.0
0:05.0, ,53-68,Defensive rebound by J. Johnson,,2,68,53,15,1435.0
0:00.0, ,53-70,T. Young makes 2-pt layup from 3 ft,,2,70,53,17,1440.0
0:00.0, ,53-70,Shooting foul by M. Monk (drawn by T. Young),,2,70,53,17,1440.0
0:00.0, ,53-71,T. Young makes free throw 1 of 1,,2,71,53,18,1440.0
0:00.0,C. Duarte misses 3-pt jump shot from 40 ft,53-71, ,,2,71,53,18,1440.0
0:00.0,Offensive rebound by Team,53-71, ,,2,71,53,18,1440.0
0:00.0,End of 2nd quarter,53-71,,,2,71,53,18,1440.0
12:00.0,Start of 3rd quarter,53-71,,,3,71,53,18,1440.0
11:43.0,Personal foul by T. Young (drawn by H. Barnes),53-71, ,,3,71,53,18,1457.0
