Time,Sacramento,Score,Atlanta,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:35.0,D. Fox makes 3-pt jump shot from 22 ft (assist by D. Sabonis),56-71, ,,3,71,56,15,1465.0
11:13.0, ,56-73,T. Young makes 2-pt jump shot from 16 ft (assist by S. Bey),,3,73,56,17,1487.0
11:13.0, ,56-73,Shooting foul by D. Fox (drawn by T. Young),,3,73,56,17,1487.0
11:13.0, ,56-74,T. Young makes free throw 1 of 1,,3,74,56,18,1487.0
10:58.0,D. Sabonis makes 2-pt jump shot from 12 ft,58-74, ,,3,74,58,16,1502.0
10:39.0, ,58-74,Turnover by C. Capela (lost ball; steal by D. Fox),,3,74,58,16,1521.0
10:35.0,D. Fox misses 3-pt jump shot from 26 ft,58-74, ,,3,74,58,16,1525.0
10:32.0, ,58-74,Defensive rebound by D. Murray,,3,74,58,16,1528.0
10:26.0, ,58-74,D. Murray misses 2-pt jump shot from 5 ft,,3,74,58,16,1534.0
10:22.0,Defensive rebound by K. Murray,58-74, ,,3,74,58,16,1538.0
10:17.0,K. Huerter misses 2-pt layup from 2 ft,58-74, ,,3,74,58,16,1543.0
10:14.0,Offensive rebound by D. Sabonis,58-74, ,,3,74,58,16,1546.0
10:12.0,K. Huerter makes 3-pt jump shot from 24 ft (assist by D. Sabonis),61-74, ,,3,74,61,13,1548.0
9:49.0, ,61-76,D. Murray makes 2-pt jump shot from 8 ft (assist by S. Bey),,3,76,61,15,1571.0
9:29.0,K. Murray misses 2-pt jump shot from 20 ft,61-76, ,,3,76,61,15,1591.0
9:27.0, ,61-76,Defensive rebound by J. Johnson,,3,76,61,15,1593.0
9:24.0, ,61-76,Turnover by J. Johnson (lost ball; steal by K. Murray),,3,76,61,15,1596.0
9:17.0,D. Fox misses 3-pt jump shot from 25 ft,61-76, ,,3,76,61,15,1603.0
9:14.0, ,61-76,Defensive rebound by J. Johnson,,3,76,61,15,1606.0
9:07.0, ,61-76,D. Murray misses 2-pt layup from 4 ft,,3,76,61,15,1613.0
9:04.0,Defensive rebound by D. Sabonis,61-76, ,,3,76,61,15,1616.0
8:54.0,K. Murray misses 2-pt jump shot from 7 ft,61-76, ,,3,76,61,15,1626.0
8:51.0, ,61-76,Defensive rebound by S. Bey,,3,76,61,15,1629.0
8:43.0, ,61-78,J. Johnson makes 2-pt dunk from 1 ft (assist by T. Young),,3,78,61,17,1637.0
8:43.0,Sacramento full timeout,61-78, ,,3,78,61,17,1637.0
8:29.0,K. Huerter makes 2-pt jump shot from 11 ft (assist by D. Sabonis),63-78, ,,3,78,63,15,1651.0
8:15.0, ,63-78,Turnover by J. Johnson (traveling),,3,78,63,15,1665.0
8:05.0,D. Fox misses 2-pt jump shot from 18 ft,63-78, ,,3,78,63,15,1675.0
8:01.0, ,63-78,Defensive rebound by C. Capela,,3,78,63,15,1679.0
7:53.0, ,63-78,S. Bey misses 3-pt jump shot from 23 ft,,3,78,63,15,1687.0
7:50.0,Defensive rebound by K. Huerter,63-78, ,,3,78,63,15,1690.0
7:43.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Fox),65-78, ,,3,78,65,13,1697.0
7:26.0, ,65-78,T. Young misses 3-pt jump shot from 26 ft,,3,78,65,13,1714.0
7:22.0,Defensive rebound by K. Murray,65-78, ,,3,78,65,13,1718.0
7:20.0,Shooting foul by T. Young (drawn by H. Barnes),65-78, ,,3,78,65,13,1720.0
7:20.0,H. Barnes makes free throw 1 of 2,66-78, ,,3,78,66,12,1720.0
7:20.0,M. Monk enters the game for K. Huerter,66-78, ,,3,78,66,12,1720.0
7:20.0,H. Barnes makes free throw 2 of 2,67-78, ,,3,78,67,11,1720.0
7:07.0, ,67-78,C. Capela misses 2-pt hook shot from 4 ft,,3,78,67,11,1733.0
7:02.0,Defensive rebound by D. Fox,67-78, ,,3,78,67,11,1738.0
6:57.0,K. Murray misses 3-pt jump shot from 22 ft,67-78, ,,3,78,67,11,1743.0
6:56.0, ,67-78,Defensive rebound by Team,,3,78,67,11,1744.0
6:56.0,Loose ball foul by H. Barnes (drawn by T. Young),67-78, ,,3,78,67,11,1744.0
6:43.0, ,67-78,C. Capela misses 2-pt layup from 8 ft,,3,78,67,11,1757.0
6:42.0, ,67-78,Offensive rebound by Team,,3,78,67,11,1758.0
6:40.0, ,67-78,D. Murray misses 3-pt jump shot from 23 ft,,3,78,67,11,1760.0
6:37.0,Defensive rebound by D. Sabonis,67-78, ,,3,78,67,11,1763.0
6:34.0,Shooting foul by J. Johnson (drawn by D. Fox),67-78, ,,3,78,67,11,1766.0
6:34.0,D. Fox makes free throw 1 of 2,68-78, ,,3,78,68,10,1766.0
6:34.0, ,68-78,B. Bogdanović enters the game for J. Johnson,,3,78,68,10,1766.0
6:34.0, ,68-78,G. Mathews enters the game for T. Young,,3,78,68,10,1766.0
6:34.0,D. Fox makes free throw 2 of 2,69-78, ,,3,78,69,9,1766.0
6:22.0, ,69-78,Turnover by D. Murray (bad pass; steal by D. Fox),,3,78,69,9,1778.0
6:16.0,D. Fox makes 2-pt layup from 1 ft,71-78, ,,3,78,71,7,1784.0
6:16.0,Shooting foul by D. Murray (drawn by D. Fox),71-78, ,,3,78,71,7,1784.0
6:16.0, ,71-78,Atlanta full timeout,,3,78,71,7,1784.0
6:16.0, ,71-78,O. Okongwu enters the game for C. Capela,,3,78,71,7,1784.0
6:16.0,D. Fox misses free throw 1 of 1,71-78, ,,3,78,71,7,1784.0
6:12.0, ,71-78,Defensive rebound by B. Bogdanović,,3,78,71,7,1788.0
6:09.0, ,71-78,Personal foul by D. Sabonis (drawn by O. Okongwu),,3,78,71,7,1791.0
5:51.0, ,71-81,S. Bey makes 3-pt jump shot from 23 ft (assist by O. Okongwu),,3,81,71,10,1809.0
5:32.0,D. Sabonis misses 2-pt layup from 2 ft,71-81, ,,3,81,71,10,1828.0
5:29.0, ,71-81,Defensive rebound by B. Bogdanović,,3,81,71,10,1831.0
5:26.0, ,71-81,Turnover by B. Bogdanović (bad pass),,3,81,71,10,1834.0
5:17.0,M. Monk misses 3-pt jump shot from 25 ft,71-81, ,,3,81,71,10,1843.0
5:15.0,Offensive rebound by Team,71-81, ,,3,81,71,10,1845.0
5:15.0,T. Lyles enters the game for H. Barnes,71-81, ,,3,81,71,10,1845.0
5:15.0,D. Mitchell enters the game for D. Fox,71-81, ,,3,81,71,10,1845.0
5:05.0,D. Sabonis misses 2-pt layup at rim,71-81, ,,3,81,71,10,1855.0
5:00.0, ,71-81,Defensive rebound by G. Mathews,,3,81,71,10,1860.0
4:56.0, ,71-81,Offensive foul by S. Bey (drawn by D. Mitchell),,3,81,71,10,1864.0
4:56.0, ,71-81,Turnover by S. Bey (offensive foul),,3,81,71,10,1864.0
4:44.0,Turnover by D. Sabonis (out of bounds lost ball),71-81, ,,3,81,71,10,1876.0
4:31.0, ,71-81,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,81,71,10,1889.0
4:27.0,Defensive rebound by T. Lyles,71-81, ,,3,81,71,10,1893.0
4:22.0,Turnover by M. Monk (bad pass; steal by S. Bey),71-81, ,,3,81,71,10,1898.0
4:20.0, ,71-81,Shooting foul by T. Lyles (drawn by S. Bey),,3,81,71,10,1900.0
4:20.0, ,71-82,S. Bey makes free throw 1 of 2,,3,82,71,11,1900.0
4:20.0, ,71-82,T. Young enters the game for G. Mathews,,3,82,71,11,1900.0
4:20.0, ,71-83,S. Bey makes free throw 2 of 2,,3,83,71,12,1900.0
3:59.0,K. Murray makes 2-pt jump shot from 19 ft (assist by M. Monk),73-83, ,,3,83,73,10,1921.0
3:45.0, ,73-83,Turnover by D. Murray (lost ball; steal by K. Murray),,3,83,73,10,1935.0
3:43.0,Turnover by T. Lyles (bad pass; steal by T. Young),73-83, ,,3,83,73,10,1937.0
3:37.0, ,73-83,D. Murray misses 3-pt jump shot from 23 ft,,3,83,73,10,1943.0
3:33.0, ,73-83,Offensive rebound by B. Bogdanović,,3,83,73,10,1947.0
3:28.0, ,73-85,T. Young makes 2-pt jump shot from 11 ft,,3,85,73,12,1952.0
3:15.0,Turnover by M. Monk (bad pass; steal by O. Okongwu),73-85, ,,3,85,73,12,1965.0
3:11.0, ,73-85,B. Bogdanović misses 3-pt jump shot from 26 ft,,3,85,73,12,1969.0
3:06.0,Defensive rebound by D. Sabonis,73-85, ,,3,85,73,12,1974.0
2:54.0,D. Sabonis makes 2-pt jump shot from 12 ft (assist by M. Monk),75-85, ,,3,85,75,10,1986.0
2:53.0, ,75-85,Atlanta full timeout,,3,85,75,10,1987.0
2:53.0,D. Fox enters the game for M. Monk,75-85, ,,3,85,75,10,1987.0
2:53.0,A. Len enters the game for D. Sabonis,75-85, ,,3,85,75,10,1987.0
2:53.0, ,75-85,J. Johnson enters the game for S. Bey,,3,85,75,10,1987.0
2:53.0, ,75-85,P. Mills enters the game for D. Murray,,3,85,75,10,1987.0
2:38.0, ,75-87,O. Okongwu makes 2-pt layup from 1 ft (assist by J. Johnson),,3,87,75,12,2002.0
2:20.0,D. Fox makes 3-pt jump shot from 25 ft (assist by A. Len),78-87, ,,3,87,78,9,2020.0
2:09.0, ,78-87,Personal foul by D. Mitchell (drawn by T. Young),,3,87,78,9,2031.0
2:09.0, ,78-88,T. Young makes free throw 1 of 2,,3,88,78,10,2031.0
2:09.0, ,78-89,T. Young makes free throw 2 of 2,,3,89,78,11,2031.0
1:53.0,K. Murray misses 2-pt layup from 6 ft (block by J. Johnson),78-89, ,,3,89,78,11,2047.0
1:51.0,Offensive rebound by Team,78-89, ,,3,89,78,11,2049.0
1:51.0,Jump ball: K. Murray vs. J. Johnson (D. Fox gains possession),78-89,,,3,89,78,11,2049.0
1:43.0,D. Fox makes 3-pt jump shot from 26 ft,81-89, ,,3,89,81,8,2057.0
1:33.0, ,81-89,O. Okongwu misses 2-pt dunk from 2 ft,,3,89,81,8,2067.0
1:29.0,Defensive rebound by T. Lyles,81-89, ,,3,89,81,8,2071.0
1:21.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by D. Fox),84-89, ,,3,89,84,5,2079.0
1:09.0, ,84-89,J. Johnson misses 3-pt jump shot from 25 ft,,3,89,84,5,2091.0
1:06.0,Defensive rebound by D. Fox,84-89, ,,3,89,84,5,2094.0
0:58.0,D. Fox misses 3-pt jump shot from 27 ft,84-89, ,,3,89,84,5,2102.0
0:55.0, ,84-89,Defensive rebound by J. Johnson,,3,89,84,5,2105.0
0:49.0, ,84-89,Shooting foul by K. Murray (drawn by J. Johnson),,3,89,84,5,2111.0
0:49.0, ,84-90,J. Johnson makes free throw 1 of 2,,3,90,84,6,2111.0
0:49.0, ,84-91,J. Johnson makes free throw 2 of 2,,3,91,84,7,2111.0
0:33.0,D. Mitchell makes 2-pt layup from 1 ft (assist by A. Len),86-91, ,,3,91,86,5,2127.0
0:23.0, ,86-91,Offensive foul by T. Young (drawn by D. Mitchell),,3,91,86,5,2137.0
0:23.0, ,86-91,Turnover by T. Young (offensive foul),,3,91,86,5,2137.0
0:23.0,M. Monk enters the game for D. Mitchell,86-91, ,,3,91,86,5,2137.0
0:05.0,T. Lyles misses 3-pt jump shot from 23 ft,86-91, ,,3,91,86,5,2155.0
0:01.0, ,86-91,Defensive rebound by T. Young,,3,91,86,5,2159.0
0:00.0, ,86-91,T. Young misses 3-pt jump shot from 44 ft,,3,91,86,5,2160.0
0:00.0, ,86-91,Offensive rebound by Team,,3,91,86,5,2160.0
0:00.0,End of 3rd quarter,86-91,,,3,91,86,5,2160.0
12:00.0,Start of 4th quarter,86-91,,,4,91,86,5,2160.0
11:47.0, ,86-91,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,91,86,5,2173.0
11:43.0,Defensive rebound by T. Lyles,86-91, ,,4,91,86,5,2177.0
11:21.0,D. Fox makes 3-pt jump shot from 25 ft,89-91, ,,4,91,89,2,2199.0
11:07.0, ,89-91,T. Young misses 2-pt jump shot from 7 ft,,4,91,89,2,2213.0
11:03.0, ,89-91,Offensive rebound by T. Young,,4,91,89,2,2217.0
11:00.0, ,89-94,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,4,94,89,5,2220.0
10:40.0,T. Lyles makes 2-pt layup from 1 ft (assist by D. Mitchell),91-94, ,,4,94,91,3,2240.0
10:28.0, ,91-94,J. Johnson misses 2-pt layup from 3 ft,,4,94,91,3,2252.0
10:26.0,Defensive rebound by D. Fox,91-94, ,,4,94,91,3,2254.0
10:22.0,T. Lyles misses 3-pt jump shot from 26 ft,91-94, ,,4,94,91,3,2258.0
10:17.0, ,91-94,Defensive rebound by J. Johnson,,4,94,91,3,2263.0
10:09.0, ,91-94,J. Johnson misses 3-pt jump shot from 23 ft,,4,94,91,3,2271.0
10:06.0,Defensive rebound by T. Lyles,91-94, ,,4,94,91,3,2274.0
10:00.0,D. Mitchell misses 2-pt layup from 4 ft,91-94, ,,4,94,91,3,2280.0
9:58.0, ,91-94,Defensive rebound by J. Johnson,,4,94,91,3,2282.0
9:48.0, ,91-94,J. Johnson misses 2-pt layup from 4 ft,,4,94,91,3,2292.0
9:46.0, ,91-94,Offensive rebound by J. Johnson,,4,94,91,3,2294.0
9:43.0, ,91-97,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by J. Johnson),,4,97,91,6,2297.0
9:17.0,Offensive foul by D. Fox (drawn by P. Mills),91-97, ,,4,97,91,6,2323.0
9:17.0,Turnover by D. Fox (offensive foul),91-97, ,,4,97,91,6,2323.0
9:17.0, ,91-97,D. Murray enters the game for P. Mills,,4,97,91,6,2323.0
9:07.0, ,91-99,O. Okongwu makes 2-pt dunk from 1 ft (assist by J. Johnson),,4,99,91,8,2333.0
8:50.0,Turnover by C. Duarte (bad pass; steal by D. Murray),91-99, ,,4,99,91,8,2350.0
8:45.0, ,91-102,T. Young makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,4,102,91,11,2355.0
8:43.0,Sacramento full timeout,91-102, ,,4,102,91,11,2357.0
8:43.0,M. Monk enters the game for A. Len,91-102, ,,4,102,91,11,2357.0
8:43.0,D. Sabonis enters the game for D. Mitchell,91-102, ,,4,102,91,11,2357.0
8:43.0, ,91-102,S. Bey enters the game for J. Johnson,,4,102,91,11,2357.0
8:39.0,T. Lyles makes 2-pt dunk at rim (assist by D. Fox),93-102, ,,4,102,93,9,2361.0
8:39.0, ,93-102,Violation by Team (def goaltending),,4,102,93,9,2361.0
8:16.0, ,93-105,S. Bey makes 3-pt jump shot from 23 ft (assist by T. Young),,4,105,93,12,2384.0
8:00.0,D. Fox makes 3-pt jump shot from 26 ft (assist by D. Sabonis),96-105, ,,4,105,96,9,2400.0
7:36.0, ,96-105,S. Bey misses 3-pt jump shot from 25 ft,,4,105,96,9,2424.0
7:33.0, ,96-105,Offensive rebound by D. Murray,,4,105,96,9,2427.0
7:31.0, ,96-105,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,105,96,9,2429.0
7:31.0,Defensive rebound by D. Sabonis,96-105, ,,4,105,96,9,2429.0
7:16.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by M. Monk),98-105, ,,4,105,98,7,2444.0
6:59.0, ,98-105,B. Bogdanović misses 3-pt jump shot from 26 ft,,4,105,98,7,2461.0
6:58.0,Defensive rebound by Team,98-105, ,,4,105,98,7,2462.0
6:58.0,K. Murray enters the game for T. Lyles,98-105, ,,4,105,98,7,2462.0
6:58.0, ,98-105,C. Capela enters the game for O. Okongwu,,4,105,98,7,2462.0
6:46.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Fox),100-105, ,,4,105,100,5,2474.0
6:45.0, ,100-105,Atlanta full timeout,,4,105,100,5,2475.0
6:45.0, ,100-105,J. Johnson enters the game for B. Bogdanović,,4,105,100,5,2475.0
6:31.0, ,100-105,D. Murray misses 2-pt jump shot from 14 ft,,4,105,100,5,2489.0
6:28.0,Defensive rebound by D. Fox,100-105, ,,4,105,100,5,2492.0
6:18.0,D. Fox makes 3-pt jump shot from 26 ft,103-105, ,,4,105,103,2,2502.0
6:04.0, ,103-105,Turnover by J. Johnson (traveling),,4,105,103,2,2516.0
5:48.0,D. Fox makes 3-pt jump shot from 23 ft (assist by M. Monk),106-105, ,Lead change,4,105,106,-1,2532.0
5:30.0, ,106-105,T. Young misses 3-pt jump shot from 26 ft,,4,105,106,-1,2550.0
5:26.0, ,106-105,Offensive rebound by S. Bey,,4,105,106,-1,2554.0
5:20.0, ,106-105,D. Murray misses 2-pt layup from 2 ft,,4,105,106,-1,2560.0
5:14.0, ,106-105,Offensive rebound by C. Capela,,4,105,106,-1,2566.0
5:14.0, ,106-107,C. Capela makes 2-pt layup at rim,Lead change,4,107,106,1,2566.0
5:14.0, ,106-107,Violation by Team (delay of game),,4,107,106,1,2566.0
4:59.0,D. Sabonis makes 2-pt dunk from 1 ft (assist by M. Monk),108-107, ,Lead change,4,107,108,-1,2581.0
4:45.0, ,108-109,T. Young makes 2-pt jump shot from 12 ft,Lead change,4,109,108,1,2595.0
4:45.0, ,108-109,Shooting foul by K. Murray (drawn by T. Young),,4,109,108,1,2595.0
4:45.0, ,108-110,T. Young makes free throw 1 of 1,,4,110,108,2,2595.0
4:39.0, ,108-110,Violation by Team (kicked ball),,4,110,108,2,2601.0
4:32.0,M. Monk makes 2-pt layup from 2 ft,110-110, ,Tie,4,110,110,0,2608.0
4:20.0, ,110-110,Personal foul by K. Murray (drawn by T. Young),,4,110,110,0,2620.0
4:20.0, ,110-110,Atlanta full timeout,,4,110,110,0,2620.0
4:08.0, ,110-110,D. Murray misses 2-pt jump shot from 13 ft,,4,110,110,0,2632.0
4:05.0,Defensive rebound by D. Sabonis,110-110, ,,4,110,110,0,2635.0
3:56.0,M. Monk misses 3-pt jump shot from 26 ft,110-110, ,,4,110,110,0,2644.0
3:54.0, ,110-110,Defensive rebound by Team,,4,110,110,0,2646.0
3:38.0, ,110-110,T. Young misses 3-pt jump shot from 28 ft,,4,110,110,0,2662.0
3:34.0,Defensive rebound by M. Monk,110-110, ,,4,110,110,0,2666.0
3:27.0,C. Duarte makes 3-pt jump shot from 22 ft (assist by M. Monk),113-110, ,Lead change,4,110,113,-3,2673.0
3:09.0, ,113-110,T. Young misses 2-pt jump shot from 14 ft,,4,110,113,-3,2691.0
3:05.0,Defensive rebound by M. Monk,113-110, ,,4,110,113,-3,2695.0
2:51.0,D. Fox misses 3-pt jump shot from 23 ft,113-110, ,,4,110,113,-3,2709.0
2:47.0, ,113-110,Defensive rebound by D. Murray,,4,110,113,-3,2713.0
2:35.0, ,113-110,D. Murray misses 2-pt jump shot from 10 ft,,4,110,113,-3,2725.0
2:30.0,Defensive rebound by D. Sabonis,113-110, ,,4,110,113,-3,2730.0
2:16.0,Shooting foul by S. Bey (drawn by D. Sabonis),113-110, ,,4,110,113,-3,2744.0
2:16.0,D. Sabonis misses free throw 1 of 2,113-110, ,,4,110,113,-3,2744.0
2:16.0,Offensive rebound by Team,113-110, ,,4,110,113,-3,2744.0
2:16.0,D. Sabonis makes free throw 2 of 2,114-110, ,,4,110,114,-4,2744.0
2:05.0, ,114-110,Offensive foul by T. Young (drawn by C. Duarte),,4,110,114,-4,2755.0
2:05.0, ,114-110,Turnover by T. Young (offensive foul),,4,110,114,-4,2755.0
2:05.0,Sacramento full timeout,114-110, ,,4,110,114,-4,2755.0
2:05.0,Instant Replay (Challenge: Ruling Stands),114-110, ,,4,110,114,-4,2755.0
2:05.0, ,114-110,B. Bogdanović enters the game for S. Bey,,4,110,114,-4,2755.0
1:54.0,D. Fox misses 3-pt jump shot from 26 ft,114-110, ,,4,110,114,-4,2766.0
1:52.0,Offensive rebound by Team,114-110, ,,4,110,114,-4,2768.0
1:44.0, ,114-110,Violation by Team (kicked ball),,4,110,114,-4,2776.0
1:32.0,C. Duarte misses 2-pt layup from 2 ft (block by C. Capela),114-110, ,,4,110,114,-4,2788.0
1:31.0, ,114-110,Defensive rebound by Team,,4,110,114,-4,2789.0
1:15.0, ,114-110,D. Murray misses 3-pt jump shot from 23 ft,,4,110,114,-4,2805.0
1:13.0,Defensive rebound by Team,114-110, ,,4,110,114,-4,2807.0
0:49.0,K. Murray makes 2-pt jump shot from 7 ft (assist by M. Monk),116-110, ,,4,110,116,-6,2831.0
0:32.0, ,116-110,B. Bogdanović misses 3-pt jump shot from 24 ft,,4,110,116,-6,2848.0
0:29.0, ,116-110,Offensive rebound by C. Capela,,4,110,116,-6,2851.0
0:26.0, ,116-110,B. Bogdanović misses 2-pt jump shot from 12 ft,,4,110,116,-6,2854.0
0:24.0,Defensive rebound by M. Monk,116-110, ,,4,110,116,-6,2856.0
0:19.0,Personal take foul by D. Murray (drawn by M. Monk),116-110, ,,4,110,116,-6,2861.0
0:18.0,Personal foul by D. Murray (drawn by D. Fox),116-110, ,,4,110,116,-6,2862.0
0:18.0,D. Fox makes free throw 1 of 2,117-110, ,,4,110,117,-7,2862.0
0:18.0,D. Fox misses free throw 2 of 2,117-110, ,,4,110,117,-7,2862.0
0:17.0, ,117-110,Defensive rebound by C. Capela,,4,110,117,-7,2863.0
0:16.0, ,117-110,Atlanta full timeout,,4,110,117,-7,2864.0
0:12.0, ,117-110,T. Young misses 3-pt jump shot from 24 ft,,4,110,117,-7,2868.0
0:07.0, ,117-110,Offensive rebound by J. Johnson,,4,110,117,-7,2873.0
0:06.0, ,117-110,Turnover by J. Johnson (bad pass; steal by D. Fox),,4,110,117,-7,2874.0
0:00.0,End of 4th quarter,117-110,,,4,110,117,-7,2880.0
