Time,Atlanta,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:29.0,D. Hunter misses 2-pt jump shot from 13 ft,47-56, ,,3,47,56,-9,1471.0
11:25.0, ,47-56,Defensive rebound by A. Edwards,,3,47,56,-9,1475.0
11:19.0, ,47-56,K. Towns misses 3-pt jump shot from 26 ft,,3,47,56,-9,1481.0
11:16.0, ,47-56,Offensive rebound by M. Conley,,3,47,56,-9,1484.0
11:12.0, ,47-56,A. Edwards misses 3-pt jump shot from 25 ft,,3,47,56,-9,1488.0
11:06.0,Defensive rebound by C. Capela,47-56, ,,3,47,56,-9,1494.0
10:52.0,B. Bogdanović makes 3-pt jump shot from 24 ft,50-56, ,,3,50,56,-6,1508.0
10:35.0, ,50-59,J. McDaniels makes 3-pt jump shot from 25 ft (assist by K. Towns),,3,50,59,-9,1525.0
10:14.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by D. Murray),53-59, ,,3,53,59,-6,1546.0
9:50.0, ,53-61,R. Gobert makes 2-pt hook shot from 7 ft (assist by K. Towns),,3,53,61,-8,1570.0
9:30.0,D. Murray makes 2-pt jump shot from 16 ft (assist by T. Young),55-61, ,,3,55,61,-6,1590.0
9:08.0, ,55-64,J. McDaniels makes 3-pt jump shot from 24 ft (assist by K. Towns),,3,55,64,-9,1612.0
8:54.0,D. Hunter misses 3-pt jump shot from 25 ft,55-64, ,,3,55,64,-9,1626.0
8:53.0, ,55-64,Defensive rebound by A. Edwards,,3,55,64,-9,1627.0
8:41.0, ,55-66,M. Conley makes 2-pt jump shot from 12 ft (assist by K. Towns),,3,55,66,-11,1639.0
8:41.0, ,55-66,Shooting foul by D. Hunter (drawn by M. Conley),,3,55,66,-11,1639.0
8:41.0, ,55-67,M. Conley makes free throw 1 of 1,,3,55,67,-12,1639.0
8:30.0,D. Hunter makes 2-pt layup from 5 ft (assist by T. Young),57-67, ,,3,57,67,-10,1650.0
8:18.0, ,57-67,J. McDaniels misses 2-pt jump shot from 5 ft,,3,57,67,-10,1662.0
8:17.0, ,57-67,Offensive rebound by R. Gobert,,3,57,67,-10,1663.0
8:16.0, ,57-67,Shooting foul by C. Capela (drawn by R. Gobert),,3,57,67,-10,1664.0
8:16.0, ,57-68,R. Gobert makes free throw 1 of 2,,3,57,68,-11,1664.0
8:16.0, ,57-69,R. Gobert makes free throw 2 of 2,,3,57,69,-12,1664.0
7:55.0,T. Young misses 3-pt jump shot from 24 ft,57-69, ,,3,57,69,-12,1685.0
7:53.0,Offensive rebound by C. Capela,57-69, ,,3,57,69,-12,1687.0
7:51.0,D. Murray misses 3-pt jump shot from 24 ft,57-69, ,,3,57,69,-12,1689.0
7:48.0,Offensive rebound by D. Hunter,57-69, ,,3,57,69,-12,1692.0
7:47.0,D. Hunter misses 2-pt layup from 3 ft (block by R. Gobert),57-69, ,,3,57,69,-12,1693.0
7:45.0, ,57-69,Defensive rebound by A. Edwards,,3,57,69,-12,1695.0
7:40.0, ,57-72,M. Conley makes 3-pt jump shot from 25 ft (assist by J. McDaniels),,3,57,72,-15,1700.0
7:39.0,Atlanta full timeout,57-72, ,,3,57,72,-15,1701.0
7:39.0,G. Mathews enters the game for T. Young,57-72, ,,3,57,72,-15,1701.0
7:23.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by C. Capela),59-72, ,,3,59,72,-13,1717.0
7:02.0, ,59-72,Shooting foul by G. Mathews (drawn by A. Edwards),,3,59,72,-13,1738.0
7:02.0, ,59-73,A. Edwards makes free throw 1 of 2,,3,59,73,-14,1738.0
7:02.0, ,59-73,K. Anderson enters the game for M. Conley,,3,59,73,-14,1738.0
7:02.0, ,59-74,A. Edwards makes free throw 2 of 2,,3,59,74,-15,1738.0
6:49.0,D. Murray misses 2-pt jump shot from 19 ft,59-74, ,,3,59,74,-15,1751.0
6:46.0, ,59-74,Defensive rebound by R. Gobert,,3,59,74,-15,1754.0
6:36.0, ,59-76,A. Edwards makes 2-pt jump shot from 15 ft,,3,59,76,-17,1764.0
6:21.0,D. Murray misses 2-pt jump shot from 16 ft,59-76, ,,3,59,76,-17,1779.0
6:17.0,Offensive rebound by D. Murray,59-76, ,,3,59,76,-17,1783.0
6:16.0,Shooting foul by J. McDaniels (drawn by B. Bogdanović),59-76, ,,3,59,76,-17,1784.0
6:16.0,B. Bogdanović makes free throw 1 of 2,60-76, ,,3,60,76,-16,1784.0
6:16.0, ,60-76,N. Reid enters the game for K. Towns,,3,60,76,-16,1784.0
6:16.0,B. Bogdanović makes free throw 2 of 2,61-76, ,,3,61,76,-15,1784.0
5:59.0, ,61-76,K. Anderson misses 2-pt jump shot from 7 ft,,3,61,76,-15,1801.0
5:58.0,Defensive rebound by C. Capela,61-76, ,,3,61,76,-15,1802.0
5:54.0,Personal foul by N. Reid (drawn by D. Hunter),61-76, ,,3,61,76,-15,1806.0
5:52.0,G. Mathews misses 3-pt jump shot from 24 ft (block by K. Anderson),61-76, ,,3,61,76,-15,1808.0
5:49.0, ,61-76,Defensive rebound by A. Edwards,,3,61,76,-15,1811.0
5:46.0, ,61-76,A. Edwards misses 3-pt jump shot from 25 ft,,3,61,76,-15,1814.0
5:44.0,Defensive rebound by Team,61-76, ,,3,61,76,-15,1816.0
5:35.0,C. Capela makes 2-pt hook shot from 5 ft (assist by D. Hunter),63-76, ,,3,63,76,-13,1825.0
5:14.0, ,63-76,J. McDaniels misses 2-pt jump shot from 7 ft,,3,63,76,-13,1846.0
5:12.0,Defensive rebound by C. Capela,63-76, ,,3,63,76,-13,1848.0
5:08.0,D. Hunter misses 3-pt jump shot from 24 ft,63-76, ,,3,63,76,-13,1852.0
5:05.0, ,63-76,Defensive rebound by R. Gobert,,3,63,76,-13,1855.0
5:04.0, ,63-76,Personal foul by C. Capela (drawn by A. Edwards),,3,63,76,-13,1856.0
5:04.0,T. Young enters the game for B. Bogdanović,63-76, ,,3,63,76,-13,1856.0
4:49.0, ,63-76,N. Reid misses 2-pt jump shot from 7 ft (block by C. Capela),,3,63,76,-13,1871.0
4:46.0,Defensive rebound by C. Capela,63-76, ,,3,63,76,-13,1874.0
4:37.0,G. Mathews misses 3-pt jump shot from 27 ft,63-76, ,,3,63,76,-13,1883.0
4:33.0, ,63-76,Defensive rebound by J. McDaniels,,3,63,76,-13,1887.0
4:28.0, ,63-76,Offensive foul by K. Anderson (drawn by C. Capela),,3,63,76,-13,1892.0
4:28.0, ,63-76,Turnover by K. Anderson (offensive foul),,3,63,76,-13,1892.0
4:28.0, ,63-76,N. Alexander-Walker enters the game for J. McDaniels,,3,63,76,-13,1892.0
4:09.0,C. Capela makes 2-pt hook shot from 6 ft,65-76, ,,3,65,76,-11,1911.0
3:55.0, ,65-76,A. Edwards misses 3-pt jump shot from 28 ft,,3,65,76,-11,1925.0
3:53.0,Defensive rebound by G. Mathews,65-76, ,,3,65,76,-11,1927.0
3:43.0,T. Young misses 2-pt layup from 5 ft (block by K. Anderson),65-76, ,,3,65,76,-11,1937.0
3:42.0, ,65-76,Defensive rebound by Team,,3,65,76,-11,1938.0
3:42.0, ,65-76,K. Towns enters the game for R. Gobert,,3,65,76,-11,1938.0
3:42.0, ,65-76,Minnesota full timeout,,3,65,76,-11,1938.0
3:42.0, ,65-76,R. Gobert enters the game for K. Towns,,3,65,76,-11,1938.0
3:42.0, ,65-76,Instant Replay (Challenge: Ruling Stands),,3,65,76,-11,1938.0
3:23.0, ,65-76,K. Towns misses 2-pt layup from 4 ft,,3,65,76,-11,1957.0
3:20.0,Defensive rebound by D. Hunter,65-76, ,,3,65,76,-11,1960.0
3:19.0,Personal foul by K. Anderson (drawn by T. Young),65-76, ,,3,65,76,-11,1961.0
3:19.0, ,65-76,M. Conley enters the game for A. Edwards,,3,65,76,-11,1961.0
3:07.0,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),68-76, ,,3,68,76,-8,1973.0
2:47.0, ,68-76,K. Towns misses 3-pt jump shot from 26 ft,,3,68,76,-8,1993.0
2:45.0,Defensive rebound by D. Murray,68-76, ,,3,68,76,-8,1995.0
2:38.0,D. Murray makes 2-pt jump shot from 11 ft,70-76, ,,3,70,76,-6,2002.0
2:12.0, ,70-76,N. Alexander-Walker misses 3-pt jump shot from 26 ft,,3,70,76,-6,2028.0
2:11.0,Defensive rebound by Team,70-76, ,,3,70,76,-6,2029.0
2:11.0, ,70-76,Loose ball foul by M. Conley (drawn by T. Young),,3,70,76,-6,2029.0
2:11.0,M. Gueye enters the game for G. Mathews,70-76, ,,3,70,76,-6,2029.0
1:58.0,T. Young makes 3-pt jump shot from 25 ft (assist by D. Murray),73-76, ,,3,73,76,-3,2042.0
1:38.0, ,73-78,N. Alexander-Walker makes 2-pt jump shot from 8 ft,,3,73,78,-5,2062.0
1:28.0,T. Young makes 3-pt jump shot from 29 ft,76-78, ,,3,76,78,-2,2072.0
1:11.0, ,76-80,N. Reid makes 2-pt hook shot from 5 ft (assist by K. Towns),,3,76,80,-4,2089.0
0:57.0,Shooting foul by N. Reid (drawn by D. Murray),76-80, ,,3,76,80,-4,2103.0
0:57.0,D. Murray misses free throw 1 of 2,76-80, ,,3,76,80,-4,2103.0
0:57.0,Offensive rebound by Team,76-80, ,,3,76,80,-4,2103.0
0:57.0,D. Murray makes free throw 2 of 2,77-80, ,,3,77,80,-3,2103.0
0:43.0, ,77-80,N. Alexander-Walker misses 3-pt jump shot from 26 ft,,3,77,80,-3,2117.0
0:38.0,Defensive rebound by C. Capela,77-80, ,,3,77,80,-3,2122.0
0:31.0,Personal foul by N. Alexander-Walker (drawn by T. Young),77-80, ,,3,77,80,-3,2129.0
0:31.0,T. Young makes free throw 1 of 2,78-80, ,,3,78,80,-2,2129.0
0:31.0,T. Young makes free throw 2 of 2,79-80, ,,3,79,80,-1,2129.0
0:12.0, ,79-80,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,3,79,80,-1,2148.0
0:08.0, ,79-80,Offensive rebound by Team,,3,79,80,-1,2152.0
0:04.0, ,79-80,M. Conley misses 3-pt jump shot from 24 ft,,3,79,80,-1,2156.0
0:01.0,Defensive rebound by C. Capela,79-80, ,,3,79,80,-1,2159.0
0:01.0,Personal foul by N. Alexander-Walker (drawn by C. Capela),79-80, ,,3,79,80,-1,2159.0
0:01.0,C. Capela makes free throw 1 of 2,80-80, ,Tie,3,80,80,0,2159.0
0:01.0,M. Gueye misses 2-pt layup from 5 ft,80-80, ,,3,80,80,0,2159.0
0:00.0, ,80-80,Defensive rebound by N. Alexander-Walker,,3,80,80,0,2160.0
0:01.0,C. Capela misses free throw 2 of 2,80-80, ,,3,80,80,0,2159.0
0:01.0,Offensive rebound by M. Gueye,80-80, ,,3,80,80,0,2159.0
0:00.0,End of 3rd quarter,80-80,,,3,80,80,0,2160.0
12:00.0,Start of 4th quarter,80-80,,,4,80,80,0,2160.0
11:52.0,Turnover by T. Young (bad pass; steal by M. Conley),80-80, ,,4,80,80,0,2168.0
11:49.0, ,80-82,M. Conley makes 2-pt layup from 4 ft,,4,80,82,-2,2171.0
11:27.0,B. Fernando makes 2-pt layup from 4 ft (assist by T. Young),82-82, ,Tie,4,82,82,0,2193.0
10:59.0, ,82-82,N. Reid misses 2-pt jump shot from 7 ft,,4,82,82,0,2221.0
10:57.0,Defensive rebound by M. Gueye,82-82, ,,4,82,82,0,2223.0
10:50.0,T. Young makes 3-pt jump shot from 25 ft,85-82, ,Lead change,4,85,82,3,2230.0
10:41.0, ,85-82,Offensive foul by J. McLaughlin (drawn by T. Young),,4,85,82,3,2239.0
10:41.0, ,85-82,Turnover by J. McLaughlin (offensive foul),,4,85,82,3,2239.0
10:21.0,B. Bogdanović misses 2-pt jump shot from 6 ft,85-82, ,,4,85,82,3,2259.0
10:19.0, ,85-82,Defensive rebound by R. Gobert,,4,85,82,3,2261.0
10:08.0, ,85-82,M. Conley misses 2-pt layup from 5 ft,,4,85,82,3,2272.0
10:06.0,Defensive rebound by B. Fernando,85-82, ,,4,85,82,3,2274.0
9:50.0,T. Young misses 3-pt jump shot from 25 ft,85-82, ,,4,85,82,3,2290.0
9:47.0, ,85-82,Defensive rebound by M. Conley,,4,85,82,3,2293.0
9:44.0, ,85-84,J. McLaughlin makes 2-pt layup from 3 ft (assist by M. Conley),,4,85,84,1,2296.0
9:44.0,Atlanta full timeout,85-84, ,,4,85,84,1,2296.0
9:44.0,K. Bufkin enters the game for T. Young,85-84, ,,4,85,84,1,2296.0
9:33.0,Offensive foul by B. Fernando (drawn by N. Alexander-Walker),85-84, ,,4,85,84,1,2307.0
9:33.0,Turnover by B. Fernando (offensive foul),85-84, ,,4,85,84,1,2307.0
9:22.0, ,85-86,R. Gobert makes 2-pt dunk from 2 ft (assist by M. Conley),Lead change,4,85,86,-1,2318.0
9:14.0,Turnover by K. Bufkin (bad pass; steal by R. Gobert),85-86, ,,4,85,86,-1,2326.0
9:09.0, ,85-86,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,4,85,86,-1,2331.0
9:06.0,Defensive rebound by K. Bufkin,85-86, ,,4,85,86,-1,2334.0
8:57.0,B. Bogdanović misses 3-pt jump shot from 26 ft,85-86, ,,4,85,86,-1,2343.0
8:52.0,Offensive rebound by B. Fernando,85-86, ,,4,85,86,-1,2348.0
8:40.0,K. Bufkin misses 2-pt jump shot from 24 ft,85-86, ,,4,85,86,-1,2360.0
8:39.0, ,85-86,Defensive rebound by R. Gobert,,4,85,86,-1,2361.0
8:23.0, ,85-86,N. Reid misses 3-pt jump shot from 25 ft,,4,85,86,-1,2377.0
8:21.0,Defensive rebound by B. Bogdanović,85-86, ,,4,85,86,-1,2379.0
8:17.0,B. Bogdanović misses 2-pt jump shot from 6 ft,85-86, ,,4,85,86,-1,2383.0
8:14.0, ,85-86,Defensive rebound by N. Reid,,4,85,86,-1,2386.0
8:03.0, ,85-88,N. Alexander-Walker makes 2-pt jump shot from 12 ft (assist by M. Conley),,4,85,88,-3,2397.0
7:47.0,B. Fernando makes 2-pt jump shot from 10 ft (assist by A. Griffin),87-88, ,,4,87,88,-1,2413.0
7:47.0,Shooting foul by R. Gobert (drawn by B. Fernando),87-88, ,,4,87,88,-1,2413.0
7:47.0,V. Krejci enters the game for B. Bogdanović,87-88, ,,4,87,88,-1,2413.0
7:47.0,G. Mathews enters the game for M. Gueye,87-88, ,,4,87,88,-1,2413.0
7:47.0, ,87-88,J. McDaniels enters the game for N. Alexander-Walker,,4,87,88,-1,2413.0
7:47.0,B. Fernando makes free throw 1 of 1,88-88, ,Tie,4,88,88,0,2413.0
7:36.0, ,88-90,R. Gobert makes 2-pt dunk at rim (assist by M. Conley),,4,88,90,-2,2424.0
7:23.0,A. Griffin misses 2-pt layup from 4 ft,88-90, ,,4,88,90,-2,2437.0
7:20.0, ,88-90,Defensive rebound by R. Gobert,,4,88,90,-2,2440.0
7:10.0, ,88-92,R. Gobert makes 2-pt dunk from 1 ft (assist by M. Conley),,4,88,92,-4,2450.0
6:46.0,A. Griffin misses 2-pt jump shot from 6 ft (block by J. McDaniels),88-92, ,,4,88,92,-4,2474.0
6:46.0,Offensive rebound by Team,88-92, ,,4,88,92,-4,2474.0
6:46.0, ,88-92,A. Edwards enters the game for M. Conley,,4,88,92,-4,2474.0
6:43.0,K. Bufkin misses 3-pt jump shot from 24 ft (block by N. Reid),88-92, ,,4,88,92,-4,2477.0
6:43.0,Offensive rebound by Team,88-92, ,,4,88,92,-4,2477.0
6:43.0,Turnover by Team (shot clock),88-92, ,,4,88,92,-4,2477.0
6:29.0, ,88-92,J. McLaughlin misses 3-pt jump shot from 26 ft,,4,88,92,-4,2491.0
6:26.0,Defensive rebound by A. Griffin,88-92, ,,4,88,92,-4,2494.0
6:21.0,A. Griffin makes 3-pt jump shot from 25 ft,91-92, ,,4,91,92,-1,2499.0
6:01.0, ,91-94,N. Reid makes 2-pt layup from 3 ft,,4,91,94,-3,2519.0
5:56.0,Turnover by V. Krejci (bad pass; steal by J. McLaughlin),91-94, ,,4,91,94,-3,2524.0
5:54.0, ,91-96,R. Gobert makes 2-pt dunk from 2 ft (assist by J. McLaughlin),,4,91,96,-5,2526.0
5:54.0,Atlanta full timeout,91-96, ,,4,91,96,-5,2526.0
5:43.0,V. Krejci makes 2-pt layup from 4 ft,93-96, ,,4,93,96,-3,2537.0
5:26.0, ,93-96,Turnover by N. Reid (out of bounds lost ball),,4,93,96,-3,2554.0
5:13.0,B. Fernando makes 2-pt jump shot from 6 ft (assist by V. Krejci),95-96, ,,4,95,96,-1,2567.0
4:49.0, ,95-96,Turnover by A. Edwards (bad pass),,4,95,96,-1,2591.0
4:39.0,V. Krejci makes 3-pt jump shot from 26 ft,98-96, ,Lead change,4,98,96,2,2601.0
4:22.0, ,98-96,A. Edwards misses 2-pt jump shot from 13 ft,,4,98,96,2,2618.0
4:20.0,Defensive rebound by K. Bufkin,98-96, ,,4,98,96,2,2620.0
3:57.0,B. Fernando misses 2-pt jump shot from 8 ft,98-96, ,,4,98,96,2,2643.0
3:55.0, ,98-96,Defensive rebound by J. McDaniels,,4,98,96,2,2645.0
3:55.0, ,98-96,M. Conley enters the game for J. McLaughlin,,4,98,96,2,2645.0
3:46.0,Jump ball: N. Reid vs. K. Bufkin (A. Edwards gains possession),98-96,,,4,98,96,2,2654.0
3:41.0, ,98-96,Shooting foul by G. Mathews (drawn by A. Edwards),,4,98,96,2,2659.0
3:41.0, ,98-97,A. Edwards makes free throw 1 of 2,,4,98,97,1,2659.0
3:41.0, ,98-97,K. Towns enters the game for N. Reid,,4,98,97,1,2659.0
3:41.0, ,98-98,A. Edwards makes free throw 2 of 2,Tie,4,98,98,0,2659.0
3:30.0,K. Bufkin makes 2-pt jump shot from 10 ft,100-98, ,,4,100,98,2,2670.0
3:30.0, ,100-98,Minnesota full timeout,,4,100,98,2,2670.0
3:30.0,M. Gueye enters the game for A. Griffin,100-98, ,,4,100,98,2,2670.0
3:15.0, ,100-98,Shooting foul by B. Fernando (drawn by R. Gobert),,4,100,98,2,2685.0
3:15.0, ,100-98,R. Gobert misses free throw 1 of 2,,4,100,98,2,2685.0
3:15.0, ,100-98,Offensive rebound by Team,,4,100,98,2,2685.0
3:15.0, ,100-98,R. Gobert misses free throw 2 of 2,,4,100,98,2,2685.0
3:15.0,Defensive rebound by Team,100-98, ,,4,100,98,2,2685.0
3:05.0,V. Krejci misses 3-pt jump shot from 27 ft,100-98, ,,4,100,98,2,2695.0
3:01.0, ,100-98,Defensive rebound by M. Conley,,4,100,98,2,2699.0
2:47.0, ,100-98,Turnover by R. Gobert (lost ball; steal by G. Mathews),,4,100,98,2,2713.0
2:43.0,Turnover by B. Fernando (bad pass),100-98, ,,4,100,98,2,2717.0
2:29.0, ,100-101,K. Towns makes 3-pt jump shot from 24 ft (assist by A. Edwards),Lead change,4,100,101,-1,2731.0
2:09.0,V. Krejci misses 2-pt layup from 2 ft (block by R. Gobert),100-101, ,,4,100,101,-1,2751.0
2:07.0, ,100-101,Defensive rebound by J. McDaniels,,4,100,101,-1,2753.0
1:56.0, ,100-103,A. Edwards makes 2-pt jump shot from 11 ft,,4,100,103,-3,2764.0
1:47.0,K. Bufkin makes 2-pt layup from 1 ft,102-103, ,,4,102,103,-1,2773.0
1:28.0, ,102-103,A. Edwards misses 3-pt jump shot from 26 ft,,4,102,103,-1,2792.0
1:28.0,Defensive rebound by Team,102-103, ,,4,102,103,-1,2792.0
1:08.0,B. Fernando misses 2-pt hook shot from 6 ft,102-103, ,,4,102,103,-1,2812.0
1:05.0, ,102-103,Defensive rebound by R. Gobert,,4,102,103,-1,2815.0
0:49.0, ,102-105,A. Edwards makes 2-pt jump shot from 13 ft,,4,102,105,-3,2831.0
0:49.0,Atlanta full timeout,102-105, ,,4,102,105,-3,2831.0
0:49.0, ,102-105,N. Alexander-Walker enters the game for M. Conley,,4,102,105,-3,2831.0
0:49.0, ,102-105,K. Anderson enters the game for K. Towns,,4,102,105,-3,2831.0
0:39.0,Turnover by V. Krejci (out of bounds lost ball),102-105, ,,4,102,105,-3,2841.0
0:39.0, ,102-105,Minnesota full timeout,,4,102,105,-3,2841.0
0:39.0, ,102-105,Instant Replay (Challenge: Ruling Stands),,4,102,105,-3,2841.0
0:39.0, ,102-105,M. Conley enters the game for N. Alexander-Walker,,4,102,105,-3,2841.0
0:39.0, ,102-105,K. Towns enters the game for K. Anderson,,4,102,105,-3,2841.0
0:25.0, ,102-105,Turnover by A. Edwards (lost ball; steal by M. Gueye),,4,102,105,-3,2855.0
0:21.0,B. Fernando makes 2-pt dunk from 2 ft (assist by V. Krejci),104-105, ,,4,104,105,-1,2859.0
0:21.0, ,104-105,Personal take foul by K. Bufkin (drawn by A. Edwards),,4,104,105,-1,2859.0
0:21.0, ,104-105,K. Anderson enters the game for J. McDaniels,,4,104,105,-1,2859.0
0:18.0, ,104-105,Personal take foul by K. Bufkin (drawn by A. Edwards),,4,104,105,-1,2862.0
0:18.0, ,104-106,A. Edwards makes free throw 1 of 2,,4,104,106,-2,2862.0
0:18.0, ,104-106,N. Alexander-Walker enters the game for M. Conley,,4,104,106,-2,2862.0
0:18.0, ,104-106,J. McDaniels enters the game for K. Towns,,4,104,106,-2,2862.0
0:18.0, ,104-107,A. Edwards makes free throw 2 of 2,,4,104,107,-3,2862.0
0:18.0,Atlanta full timeout,104-107, ,,4,104,107,-3,2862.0
0:16.0,V. Krejci misses 3-pt jump shot from 28 ft,104-107, ,,4,104,107,-3,2864.0
0:12.0, ,104-107,Defensive rebound by R. Gobert,,4,104,107,-3,2868.0
0:11.0, ,104-107,Personal take foul by M. Gueye (drawn by R. Gobert),,4,104,107,-3,2869.0
0:11.0, ,104-108,R. Gobert makes free throw 1 of 2,,4,104,108,-4,2869.0
0:11.0, ,104-109,R. Gobert makes free throw 2 of 2,,4,104,109,-5,2869.0
0:05.0,V. Krejci misses 2-pt layup from 3 ft (block by R. Gobert),104-109, ,,4,104,109,-5,2875.0
0:04.0,Offensive rebound by K. Bufkin,104-109, ,,4,104,109,-5,2876.0
0:04.0,K. Bufkin makes 2-pt layup at rim,106-109, ,,4,106,109,-3,2876.0
0:03.0, ,106-109,Personal take foul by V. Krejci (drawn by K. Anderson),,4,106,109,-3,2877.0
0:03.0, ,106-109,K. Anderson misses free throw 1 of 2,,4,106,109,-3,2877.0
0:03.0, ,106-109,Offensive rebound by Team,,4,106,109,-3,2877.0
0:03.0, ,106-109,K. Anderson misses free throw 2 of 2,,4,106,109,-3,2877.0
0:00.0, ,106-109,Offensive rebound by R. Gobert,,4,106,109,-3,2880.0
0:00.0,End of 4th quarter,106-109,,,4,106,109,-3,2880.0
