Time,Boston,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Porziņģis vs. J. Allen (D. White gains possession),0-0,,,1,0,0,0,0.0
11:42.0,J. Brown misses 3-pt jump shot from 24 ft,0-0, ,,1,0,0,0,18.0
11:40.0,Offensive rebound by D. White,0-0, ,,1,0,0,0,20.0
11:37.0,J. Holiday misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,23.0
11:34.0, ,0-0,Defensive rebound by I. Okoro,,1,0,0,0,26.0
11:20.0, ,0-0,D. Garland misses 2-pt layup at rim,,1,0,0,0,40.0
11:15.0, ,0-0,Offensive rebound by J. Allen,,1,0,0,0,45.0
11:15.0, ,0-2,J. Allen makes 2-pt layup at rim,,1,0,2,-2,45.0
11:02.0,D. White misses 3-pt jump shot from 26 ft,0-2, ,,1,0,2,-2,58.0
10:59.0, ,0-2,Defensive rebound by E. Mobley,,1,0,2,-2,61.0
10:52.0, ,0-2,E. Mobley misses 2-pt layup from 1 ft,,1,0,2,-2,68.0
10:48.0,Defensive rebound by K. Porziņģis,0-2, ,,1,0,2,-2,72.0
10:45.0,J. Brown makes 3-pt jump shot from 25 ft,3-2, ,Lead change,1,3,2,1,75.0
10:24.0, ,3-4,J. Allen makes 2-pt jump shot from 14 ft (assist by D. Garland),Lead change,1,3,4,-1,96.0
10:11.0,J. Tatum makes 3-pt jump shot from 25 ft,6-4, ,Lead change,1,6,4,2,109.0
9:57.0, ,6-6,D. Garland makes 2-pt jump shot from 17 ft,Tie,1,6,6,0,123.0
9:44.0,J. Brown misses 3-pt jump shot from 23 ft,6-6, ,,1,6,6,0,136.0
9:40.0,Offensive rebound by K. Porziņģis,6-6, ,,1,6,6,0,140.0
9:39.0,K. Porziņģis misses 2-pt layup from 2 ft,6-6, ,,1,6,6,0,141.0
9:36.0, ,6-6,Defensive rebound by S. Merrill,,1,6,6,0,144.0
9:31.0, ,6-6,D. Garland misses 3-pt jump shot from 25 ft,,1,6,6,0,149.0
9:28.0, ,6-6,Offensive rebound by E. Mobley,,1,6,6,0,152.0
9:26.0, ,6-9,I. Okoro makes 3-pt jump shot from 24 ft (assist by E. Mobley),Lead change,1,6,9,-3,154.0
9:01.0,J. Tatum misses 2-pt dunk from 2 ft,6-9, ,,1,6,9,-3,179.0
9:00.0,Offensive rebound by K. Porziņģis,6-9, ,,1,6,9,-3,180.0
8:57.0,J. Brown misses 3-pt jump shot from 27 ft,6-9, ,,1,6,9,-3,183.0
8:53.0, ,6-9,Defensive rebound by J. Allen,,1,6,9,-3,187.0
8:44.0, ,6-9,D. Garland misses 3-pt jump shot from 25 ft,,1,6,9,-3,196.0
8:40.0,Defensive rebound by J. Tatum,6-9, ,,1,6,9,-3,200.0
8:31.0,J. Holiday misses 3-pt jump shot from 23 ft,6-9, ,,1,6,9,-3,209.0
8:28.0, ,6-9,Defensive rebound by E. Mobley,,1,6,9,-3,212.0
8:26.0, ,6-9,Turnover by E. Mobley (bad pass; steal by J. Holiday),,1,6,9,-3,214.0
8:15.0,J. Tatum makes 3-pt jump shot from 31 ft,9-9, ,Tie,1,9,9,0,225.0
7:51.0, ,9-9,D. Garland misses 2-pt jump shot from 10 ft,,1,9,9,0,249.0
7:50.0,Defensive rebound by K. Porziņģis,9-9, ,,1,9,9,0,250.0
7:41.0,J. Brown misses 2-pt layup from 2 ft,9-9, ,,1,9,9,0,259.0
7:37.0, ,9-9,Defensive rebound by I. Okoro,,1,9,9,0,263.0
7:36.0, ,9-9,E. Mobley misses 2-pt layup from 1 ft (block by K. Porziņģis),,1,9,9,0,264.0
7:36.0,Defensive rebound by Team,9-9, ,,1,9,9,0,264.0
7:36.0,Boston full timeout,9-9, ,,1,9,9,0,264.0
7:36.0,Instant Replay (Challenge: Ruling Stands),9-9, ,,1,9,9,0,264.0
7:16.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by J. Holiday),12-9, ,Lead change,1,12,9,3,284.0
6:54.0, ,12-9,E. Mobley misses 2-pt jump shot from 12 ft,,1,12,9,3,306.0
6:52.0,Defensive rebound by J. Tatum,12-9, ,,1,12,9,3,308.0
6:42.0,J. Tatum makes 2-pt layup at rim,14-9, ,,1,14,9,5,318.0
6:27.0, ,14-9,J. Allen misses 2-pt jump shot from 7 ft,,1,14,9,5,333.0
6:26.0, ,14-9,Offensive rebound by J. Allen,,1,14,9,5,334.0
6:26.0, ,14-9,J. Allen misses 2-pt layup at rim,,1,14,9,5,334.0
6:26.0,Defensive rebound by Team,14-9, ,,1,14,9,5,334.0
6:26.0, ,14-9,C. LeVert enters the game for S. Merrill,,1,14,9,5,334.0
6:26.0,Jump ball: K. Porziņģis vs. J. Allen (J. Tatum gains possession),14-9,,,1,14,9,5,334.0
6:17.0,J. Brown makes 2-pt layup from 1 ft (assist by J. Tatum),16-9, ,,1,16,9,7,343.0
6:02.0, ,16-9,E. Mobley misses 3-pt jump shot from 24 ft,,1,16,9,7,358.0
5:58.0,Defensive rebound by J. Holiday,16-9, ,,1,16,9,7,362.0
5:49.0,J. Holiday makes 2-pt jump shot from 11 ft (assist by D. White),18-9, ,,1,18,9,9,371.0
5:33.0, ,18-9,E. Mobley misses 2-pt hook shot from 6 ft,,1,18,9,9,387.0
5:30.0,Defensive rebound by J. Tatum,18-9, ,,1,18,9,9,390.0
5:23.0,K. Porziņģis misses 2-pt jump shot from 18 ft,18-9, ,,1,18,9,9,397.0
5:21.0, ,18-9,Defensive rebound by J. Allen,,1,18,9,9,399.0
5:08.0, ,18-9,D. Garland misses 3-pt jump shot from 26 ft,,1,18,9,9,412.0
5:04.0,Defensive rebound by J. Holiday,18-9, ,,1,18,9,9,416.0
4:54.0,J. Brown misses 2-pt jump shot from 13 ft,18-9, ,,1,18,9,9,426.0
4:52.0,Offensive rebound by D. White,18-9, ,,1,18,9,9,428.0
4:51.0,Shooting foul by C. LeVert (drawn by K. Porziņģis),18-9, ,,1,18,9,9,429.0
4:51.0,Instant Replay,18-9, ,,1,18,9,9,429.0
4:51.0,K. Porziņģis makes free throw 1 of 2,19-9, ,,1,19,9,10,429.0
4:51.0,S. Hauser enters the game for J. Holiday,19-9, ,,1,19,9,10,429.0
4:51.0,A. Horford enters the game for J. Tatum,19-9, ,,1,19,9,10,429.0
4:51.0, ,19-9,D. Wade enters the game for E. Mobley,,1,19,9,10,429.0
4:51.0,K. Porziņģis makes free throw 2 of 2,20-9, ,,1,20,9,11,429.0
4:35.0, ,20-11,J. Allen makes 2-pt dunk from 1 ft (assist by C. LeVert),,1,20,11,9,445.0
4:35.0, ,20-11,Shooting foul by K. Porziņģis (drawn by J. Allen),,1,20,11,9,445.0
4:35.0, ,20-11,G. Niang enters the game for I. Okoro,,1,20,11,9,445.0
4:35.0, ,20-12,J. Allen makes free throw 1 of 1,,1,20,12,8,445.0
4:17.0,Turnover by K. Porziņģis (bad pass; steal by D. Wade),20-12, ,,1,20,12,8,463.0
4:12.0, ,20-12,D. Wade misses 3-pt jump shot from 25 ft,,1,20,12,8,468.0
4:11.0, ,20-12,Offensive rebound by Team,,1,20,12,8,469.0
4:05.0, ,20-15,D. Garland makes 3-pt jump shot from 26 ft (assist by J. Allen),,1,20,15,5,475.0
3:40.0,S. Hauser makes 3-pt jump shot from 28 ft (assist by K. Porziņģis),23-15, ,,1,23,15,8,500.0
3:24.0, ,23-17,J. Allen makes 2-pt hook shot from 2 ft (assist by D. Garland),,1,23,17,6,516.0
3:07.0,A. Horford misses 2-pt layup from 3 ft (block by J. Allen),23-17, ,,1,23,17,6,533.0
3:05.0,Offensive rebound by A. Horford,23-17, ,,1,23,17,6,535.0
3:01.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by S. Hauser),25-17, ,,1,25,17,8,539.0
2:46.0, ,25-17,C. LeVert misses 3-pt jump shot from 28 ft,,1,25,17,8,554.0
2:46.0,Defensive rebound by A. Horford,25-17, ,,1,25,17,8,554.0
2:37.0,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by J. Brown),28-17, ,,1,28,17,11,563.0
2:14.0, ,28-17,D. Garland misses 2-pt layup from 1 ft (block by K. Porziņģis),,1,28,17,11,586.0
2:11.0,Defensive rebound by D. White,28-17, ,,1,28,17,11,589.0
2:09.0,J. Brown misses 2-pt layup from 4 ft,28-17, ,,1,28,17,11,591.0
2:08.0,Offensive rebound by S. Hauser,28-17, ,,1,28,17,11,592.0
2:07.0,S. Hauser misses 2-pt layup at rim,28-17, ,,1,28,17,11,593.0
2:05.0, ,28-17,Defensive rebound by D. Wade,,1,28,17,11,595.0
1:56.0, ,28-20,G. Niang makes 3-pt jump shot from 25 ft (assist by C. LeVert),,1,28,20,8,604.0
1:38.0,Turnover by D. White (bad pass),28-20, ,,1,28,20,8,622.0
1:38.0, ,28-20,Cleveland full timeout,,1,28,20,8,622.0
1:38.0,J. Holiday enters the game for J. Brown,28-20, ,,1,28,20,8,622.0
1:38.0,P. Pritchard enters the game for K. Porziņģis,28-20, ,,1,28,20,8,622.0
1:38.0,J. Tatum enters the game for D. White,28-20, ,,1,28,20,8,622.0
1:38.0, ,28-20,E. Mobley enters the game for J. Allen,,1,28,20,8,622.0
1:38.0, ,28-20,C. Porter enters the game for D. Garland,,1,28,20,8,622.0
1:25.0, ,28-20,G. Niang misses 3-pt jump shot from 26 ft,,1,28,20,8,635.0
1:22.0,Defensive rebound by S. Hauser,28-20, ,,1,28,20,8,638.0
1:09.0,Shooting foul by E. Mobley (drawn by J. Tatum),28-20, ,,1,28,20,8,651.0
1:09.0,J. Tatum makes free throw 1 of 2,29-20, ,,1,29,20,9,651.0
1:09.0,J. Tatum makes free throw 2 of 2,30-20, ,,1,30,20,10,651.0
0:54.0, ,30-23,D. Wade makes 3-pt jump shot from 26 ft (assist by C. Porter),,1,30,23,7,666.0
0:42.0,S. Hauser misses 3-pt jump shot from 32 ft,30-23, ,,1,30,23,7,678.0
0:39.0,Offensive rebound by J. Holiday,30-23, ,,1,30,23,7,681.0
0:33.0,Turnover by P. Pritchard (bad pass; steal by D. Wade),30-23, ,,1,30,23,7,687.0
0:26.0, ,30-23,C. LeVert misses 2-pt layup from 1 ft,,1,30,23,7,694.0
0:24.0, ,30-23,Offensive rebound by D. Wade,,1,30,23,7,696.0
0:19.0, ,30-25,C. LeVert makes 2-pt jump shot from 5 ft,,1,30,25,5,701.0
0:00.0,J. Tatum makes 3-pt jump shot from 26 ft,33-25, ,,1,33,25,8,720.0
0:00.0,End of 1st quarter,33-25,,,1,33,25,8,720.0
12:00.0,Start of 2nd quarter,33-25,,,2,33,25,8,720.0
11:44.0, ,33-25,C. Porter misses 3-pt jump shot from 26 ft,,2,33,25,8,736.0
11:41.0,Defensive rebound by P. Pritchard,33-25, ,,2,33,25,8,739.0
11:18.0,P. Pritchard misses 2-pt jump shot from 12 ft,33-25, ,,2,33,25,8,762.0
11:16.0, ,33-25,Defensive rebound by E. Mobley,,2,33,25,8,764.0
11:09.0, ,33-28,C. LeVert makes 3-pt jump shot from 26 ft,,2,33,28,5,771.0
10:55.0,P. Pritchard misses 3-pt jump shot from 25 ft,33-28, ,,2,33,28,5,785.0
10:53.0, ,33-28,Defensive rebound by E. Mobley,,2,33,28,5,787.0
10:36.0, ,33-28,S. Merrill misses 3-pt jump shot from 26 ft,,2,33,28,5,804.0
10:36.0,Defensive rebound by Team,33-28, ,,2,33,28,5,804.0
10:13.0,J. Holiday makes 3-pt jump shot from 24 ft (assist by J. Tatum),36-28, ,,2,36,28,8,827.0
9:53.0, ,36-28,C. Porter misses 2-pt layup from 1 ft,,2,36,28,8,847.0
9:52.0,Defensive rebound by J. Tatum,36-28, ,,2,36,28,8,848.0
9:48.0,A. Horford misses 3-pt jump shot from 25 ft,36-28, ,,2,36,28,8,852.0
9:45.0, ,36-28,Defensive rebound by C. Porter,,2,36,28,8,855.0
9:39.0, ,36-28,S. Merrill misses 3-pt jump shot from 23 ft,,2,36,28,8,861.0
9:37.0,Defensive rebound by L. Kornet,36-28, ,,2,36,28,8,863.0
9:34.0,Offensive foul by A. Horford (drawn by S. Merrill),36-28, ,,2,36,28,8,866.0
9:34.0,Turnover by A. Horford (offensive foul),36-28, ,,2,36,28,8,866.0
9:24.0, ,36-31,S. Merrill makes 3-pt jump shot from 26 ft (assist by C. Porter),,2,36,31,5,876.0
9:09.0,Turnover by J. Holiday (bad pass; steal by E. Mobley),36-31, ,,2,36,31,5,891.0
8:59.0, ,36-31,E. Mobley misses 2-pt layup from 2 ft (block by L. Kornet),,2,36,31,5,901.0
8:59.0,Defensive rebound by L. Kornet,36-31, ,,2,36,31,5,901.0
8:59.0,J. Brown enters the game for J. Holiday,36-31, ,,2,36,31,5,901.0
8:59.0,S. Hauser enters the game for A. Horford,36-31, ,,2,36,31,5,901.0
8:37.0,J. Tatum makes 2-pt layup from 1 ft (assist by L. Kornet),38-31, ,,2,38,31,7,923.0
8:25.0, ,38-31,C. LeVert misses 2-pt layup from 3 ft,,2,38,31,7,935.0
8:23.0,Defensive rebound by P. Pritchard,38-31, ,,2,38,31,7,937.0
8:18.0,J. Brown misses 2-pt layup from 3 ft,38-31, ,,2,38,31,7,942.0
8:16.0, ,38-31,Defensive rebound by G. Niang,,2,38,31,7,944.0
8:10.0, ,38-31,C. Porter misses 2-pt layup from 1 ft (block by L. Kornet),,2,38,31,7,950.0
8:06.0, ,38-31,Offensive rebound by C. Porter,,2,38,31,7,954.0
7:57.0, ,38-31,C. LeVert misses 2-pt layup from 1 ft,,2,38,31,7,963.0
7:56.0,Defensive rebound by S. Hauser,38-31, ,,2,38,31,7,964.0
7:43.0,J. Tatum makes 3-pt jump shot from 27 ft,41-31, ,,2,41,31,10,977.0
7:41.0, ,41-31,Cleveland full timeout,,2,41,31,10,979.0
7:41.0,D. White enters the game for P. Pritchard,41-31, ,,2,41,31,10,979.0
7:41.0, ,41-31,J. Allen enters the game for C. LeVert,,2,41,31,10,979.0
7:41.0, ,41-31,D. Garland enters the game for E. Mobley,,2,41,31,10,979.0
7:41.0, ,41-31,I. Okoro enters the game for C. Porter,,2,41,31,10,979.0
7:19.0, ,41-31,I. Okoro misses 2-pt hook shot from 5 ft,,2,41,31,10,1001.0
7:16.0, ,41-31,Offensive rebound by J. Allen,,2,41,31,10,1004.0
7:15.0, ,41-33,J. Allen makes 2-pt hook shot from 1 ft,,2,41,33,8,1005.0
7:01.0,Shooting foul by G. Niang (drawn by J. Tatum),41-33, ,,2,41,33,8,1019.0
7:01.0,J. Tatum misses free throw 1 of 2,41-33, ,,2,41,33,8,1019.0
7:01.0,Offensive rebound by Team,41-33, ,,2,41,33,8,1019.0
7:01.0, ,41-33,D. Wade enters the game for G. Niang,,2,41,33,8,1019.0
7:01.0,J. Tatum makes free throw 2 of 2,42-33, ,,2,42,33,9,1019.0
6:39.0, ,42-33,D. Garland misses 2-pt jump shot from 8 ft,,2,42,33,9,1041.0
6:37.0,Defensive rebound by J. Tatum,42-33, ,,2,42,33,9,1043.0
6:22.0,S. Hauser misses 3-pt jump shot from 23 ft,42-33, ,,2,42,33,9,1058.0
6:20.0,Offensive rebound by J. Brown,42-33, ,,2,42,33,9,1060.0
6:19.0,S. Hauser makes 2-pt layup from 2 ft (assist by J. Brown),44-33, ,,2,44,33,11,1061.0
6:06.0, ,44-33,D. Wade misses 3-pt jump shot from 27 ft,,2,44,33,11,1074.0
6:03.0,Defensive rebound by D. White,44-33, ,,2,44,33,11,1077.0
5:57.0,J. Brown misses 2-pt layup from 2 ft,44-33, ,,2,44,33,11,1083.0
5:55.0, ,44-33,Defensive rebound by S. Merrill,,2,44,33,11,1085.0
5:49.0, ,44-33,J. Allen misses 2-pt jump shot from 17 ft,,2,44,33,11,1091.0
5:47.0,Defensive rebound by J. Tatum,44-33, ,,2,44,33,11,1093.0
5:37.0,J. Brown makes 2-pt layup from 1 ft,46-33, ,,2,46,33,13,1103.0
5:18.0, ,46-33,D. Wade misses 3-pt jump shot from 26 ft,,2,46,33,13,1122.0
5:15.0,Defensive rebound by J. Tatum,46-33, ,,2,46,33,13,1125.0
5:09.0,D. White misses 2-pt layup from 5 ft (block by I. Okoro),46-33, ,,2,46,33,13,1131.0
5:06.0, ,46-33,Defensive rebound by D. Garland,,2,46,33,13,1134.0
5:06.0,J. Holiday enters the game for S. Hauser,46-33, ,,2,46,33,13,1134.0
5:06.0,K. Porziņģis enters the game for J. Tatum,46-33, ,,2,46,33,13,1134.0
4:58.0, ,46-35,J. Allen makes 2-pt dunk at rim (assist by D. Garland),,2,46,35,11,1142.0
4:36.0,K. Porziņģis misses 3-pt jump shot from 29 ft,46-35, ,,2,46,35,11,1164.0
4:32.0, ,46-35,Defensive rebound by S. Merrill,,2,46,35,11,1168.0
4:24.0, ,46-35,I. Okoro misses 3-pt jump shot from 27 ft,,2,46,35,11,1176.0
4:21.0,Defensive rebound by K. Porziņģis,46-35, ,,2,46,35,11,1179.0
4:17.0,J. Brown misses 2-pt jump shot from 14 ft,46-35, ,,2,46,35,11,1183.0
4:13.0, ,46-35,Defensive rebound by S. Merrill,,2,46,35,11,1187.0
4:02.0, ,46-35,J. Allen misses 2-pt hook shot from 8 ft,,2,46,35,11,1198.0
4:00.0,Defensive rebound by L. Kornet,46-35, ,,2,46,35,11,1200.0
3:52.0,K. Porziņģis misses 2-pt jump shot from 8 ft,46-35, ,,2,46,35,11,1208.0
3:50.0, ,46-35,Defensive rebound by J. Allen,,2,46,35,11,1210.0
3:44.0, ,46-35,S. Merrill misses 2-pt jump shot from 17 ft (block by D. White),,2,46,35,11,1216.0
3:41.0,Defensive rebound by D. White,46-35, ,,2,46,35,11,1219.0
3:28.0,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),48-35, ,,2,48,35,13,1232.0
3:26.0, ,48-35,Cleveland full timeout,,2,48,35,13,1234.0
3:26.0, ,48-35,C. LeVert enters the game for S. Merrill,,2,48,35,13,1234.0
3:08.0, ,48-35,Personal foul by J. Holiday (drawn by D. Garland),,2,48,35,13,1252.0
3:08.0,J. Tatum enters the game for L. Kornet,48-35, ,,2,48,35,13,1252.0
3:08.0, ,48-35,E. Mobley enters the game for D. Wade,,2,48,35,13,1252.0
2:53.0, ,48-38,C. LeVert makes 3-pt jump shot from 26 ft (assist by D. Garland),,2,48,38,10,1267.0
2:27.0,K. Porziņģis makes 2-pt jump shot from 7 ft,50-38, ,,2,50,38,12,1293.0
2:11.0, ,50-38,I. Okoro misses 2-pt jump shot from 5 ft,,2,50,38,12,1309.0
2:08.0,Defensive rebound by K. Porziņģis,50-38, ,,2,50,38,12,1312.0
2:06.0,Turnover by J. Tatum (bad pass; steal by C. LeVert),50-38, ,,2,50,38,12,1314.0
1:59.0, ,50-38,Turnover by E. Mobley (lost ball; steal by J. Holiday),,2,50,38,12,1321.0
1:54.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by J. Holiday),53-38, ,,2,53,38,15,1326.0
1:32.0, ,53-41,I. Okoro makes 3-pt jump shot from 24 ft (assist by D. Garland),,2,53,41,12,1348.0
1:11.0,K. Porziņģis misses 2-pt jump shot from 17 ft,53-41, ,,2,53,41,12,1369.0
1:09.0, ,53-41,Defensive rebound by I. Okoro,,2,53,41,12,1371.0
1:02.0, ,53-41,J. Allen misses 2-pt hook shot from 3 ft (block by D. White),,2,53,41,12,1378.0
1:00.0, ,53-41,Offensive rebound by J. Allen,,2,53,41,12,1380.0
0:57.0, ,53-41,J. Allen misses 2-pt jump shot from 9 ft,,2,53,41,12,1383.0
0:55.0,Defensive rebound by J. Tatum,53-41, ,,2,53,41,12,1385.0
0:48.0,J. Brown makes 2-pt hook shot from 6 ft,55-41, ,,2,55,41,14,1392.0
0:33.0, ,55-43,D. Garland makes 2-pt jump shot from 14 ft,,2,55,43,12,1407.0
0:28.0,J. Tatum misses 3-pt jump shot from 25 ft,55-43, ,,2,55,43,12,1412.0
