Time,Miami,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. D. Ayton (A. Simons gains possession),0-0,,,1,0,0,0,0.0
11:45.0, ,0-3,A. Simons makes 3-pt jump shot from 26 ft (assist by J. Grant),,1,0,3,-3,15.0
11:20.0,Offensive foul by B. Adebayo (drawn by J. Grant),0-3, ,,1,0,3,-3,40.0
11:20.0,Turnover by B. Adebayo (offensive foul),0-3, ,,1,0,3,-3,40.0
11:01.0, ,0-6,J. Grant makes 3-pt jump shot from 26 ft (assist by T. Camara),,1,0,6,-6,59.0
10:43.0,B. Adebayo misses 2-pt jump shot from 12 ft,0-6, ,,1,0,6,-6,77.0
10:42.0, ,0-6,Defensive rebound by K. Murray,,1,0,6,-6,78.0
10:35.0, ,0-6,Turnover by K. Murray (bad pass),,1,0,6,-6,85.0
10:25.0,Turnover by B. Adebayo (bad pass),0-6, ,,1,0,6,-6,95.0
10:08.0, ,0-6,Shooting foul by D. Robinson (drawn by T. Camara),,1,0,6,-6,112.0
10:08.0, ,0-7,T. Camara makes free throw 1 of 2,,1,0,7,-7,112.0
10:08.0, ,0-8,T. Camara makes free throw 2 of 2,,1,0,8,-8,112.0
9:54.0,D. Robinson misses 2-pt jump shot from 11 ft,0-8, ,,1,0,8,-8,126.0
9:51.0,Offensive rebound by B. Adebayo,0-8, ,,1,0,8,-8,129.0
9:49.0,N. Jović misses 3-pt jump shot from 26 ft,0-8, ,,1,0,8,-8,131.0
9:49.0, ,0-8,Defensive rebound by J. Grant,,1,0,8,-8,131.0
9:40.0, ,0-8,D. Ayton misses 2-pt dunk from 4 ft,,1,0,8,-8,140.0
9:36.0,Defensive rebound by B. Adebayo,0-8, ,,1,0,8,-8,144.0
9:33.0,T. Rozier misses 2-pt layup from 5 ft,0-8, ,,1,0,8,-8,147.0
9:31.0, ,0-8,Defensive rebound by J. Grant,,1,0,8,-8,149.0
9:25.0, ,0-8,K. Murray misses 3-pt jump shot from 22 ft (block by J. Butler),,1,0,8,-8,155.0
9:24.0,Defensive rebound by Team,0-8, ,,1,0,8,-8,156.0
9:07.0,T. Rozier makes 2-pt jump shot from 7 ft (assist by J. Butler),2-8, ,,1,2,8,-6,173.0
8:59.0, ,2-8,Shooting foul by N. Jović (drawn by J. Grant),,1,2,8,-6,181.0
8:59.0, ,2-9,J. Grant makes free throw 1 of 2,,1,2,9,-7,181.0
8:59.0, ,2-10,J. Grant makes free throw 2 of 2,,1,2,10,-8,181.0
8:43.0,B. Adebayo makes 2-pt dunk from 3 ft (assist by J. Butler),4-10, ,,1,4,10,-6,197.0
8:28.0, ,4-10,Turnover by J. Grant (lost ball; steal by J. Butler),,1,4,10,-6,212.0
8:21.0,Turnover by B. Adebayo (lost ball; steal by J. Grant),4-10, ,,1,4,10,-6,219.0
8:14.0, ,4-10,Turnover by K. Murray (bad pass; steal by D. Robinson),,1,4,10,-6,226.0
8:08.0,B. Adebayo makes 2-pt layup from 3 ft (assist by D. Robinson),6-10, ,,1,6,10,-4,232.0
7:58.0, ,6-10,Turnover by A. Simons (back court),,1,6,10,-4,242.0
7:49.0, ,6-10,Violation by Team (kicked ball),,1,6,10,-4,251.0
7:36.0,J. Butler misses 2-pt layup from 4 ft (block by D. Ayton),6-10, ,,1,6,10,-4,264.0
7:36.0, ,6-10,Defensive rebound by Team,,1,6,10,-4,264.0
7:27.0, ,6-12,D. Ayton makes 2-pt jump shot from 12 ft (assist by J. Grant),,1,6,12,-6,273.0
7:09.0,Turnover by B. Adebayo (lost ball; steal by K. Murray),6-12, ,,1,6,12,-6,291.0
7:05.0, ,6-12,T. Camara misses 2-pt layup from 4 ft,,1,6,12,-6,295.0
7:05.0, ,6-12,Offensive rebound by Team,,1,6,12,-6,295.0
7:01.0, ,6-15,J. Grant makes 3-pt jump shot from 25 ft (assist by D. Ayton),,1,6,15,-9,299.0
6:41.0,B. Adebayo misses 2-pt jump shot from 13 ft,6-15, ,,1,6,15,-9,319.0
6:39.0, ,6-15,Defensive rebound by D. Ayton,,1,6,15,-9,321.0
6:32.0, ,6-15,A. Simons misses 2-pt jump shot from 14 ft,,1,6,15,-9,328.0
6:29.0,Defensive rebound by B. Adebayo,6-15, ,,1,6,15,-9,331.0
6:25.0,Shooting foul by J. Grant (drawn by N. Jović),6-15, ,,1,6,15,-9,335.0
6:25.0, ,6-15,Portland full timeout,,1,6,15,-9,335.0
6:25.0, ,6-15,M. Thybulle enters the game for J. Grant,,1,6,15,-9,335.0
6:25.0,N. Jović misses free throw 1 of 2,6-15, ,,1,6,15,-9,335.0
6:25.0,Offensive rebound by Team,6-15, ,,1,6,15,-9,335.0
6:25.0,N. Jović misses free throw 2 of 2,6-15, ,,1,6,15,-9,335.0
6:22.0, ,6-15,Defensive rebound by D. Ayton,,1,6,15,-9,338.0
6:13.0, ,6-17,D. Ayton makes 2-pt dunk from 2 ft (assist by A. Simons),,1,6,17,-11,347.0
6:01.0,Def 3 sec tech foul by Team,6-17, ,,1,6,17,-11,359.0
6:01.0,J. Butler makes technical free throw,7-17, ,,1,7,17,-10,359.0
6:01.0,J. Jaquez enters the game for J. Butler,7-17, ,,1,7,17,-10,359.0
5:47.0,T. Rozier misses 2-pt jump shot from 11 ft,7-17, ,,1,7,17,-10,373.0
5:42.0, ,7-17,Defensive rebound by D. Ayton,,1,7,17,-10,378.0
5:35.0, ,7-19,D. Ayton makes 2-pt jump shot from 8 ft (assist by A. Simons),,1,7,19,-12,385.0
5:21.0,T. Rozier misses 2-pt jump shot from 8 ft,7-19, ,,1,7,19,-12,399.0
5:19.0, ,7-19,Defensive rebound by D. Ayton,,1,7,19,-12,401.0
5:12.0, ,7-19,K. Murray misses 3-pt jump shot from 23 ft,,1,7,19,-12,408.0
5:10.0, ,7-19,Offensive rebound by T. Camara,,1,7,19,-12,410.0
5:08.0, ,7-19,Shooting foul by J. Jaquez (drawn by M. Thybulle),,1,7,19,-12,412.0
5:08.0, ,7-19,M. Thybulle misses free throw 1 of 2,,1,7,19,-12,412.0
5:08.0, ,7-19,Offensive rebound by Team,,1,7,19,-12,412.0
5:08.0,C. Martin enters the game for N. Jović,7-19, ,,1,7,19,-12,412.0
5:08.0, ,7-20,M. Thybulle makes free throw 2 of 2,,1,7,20,-13,412.0
4:59.0,D. Robinson misses 3-pt jump shot from 28 ft,7-20, ,,1,7,20,-13,421.0
4:55.0, ,7-20,Defensive rebound by T. Camara,,1,7,20,-13,425.0
4:45.0, ,7-20,T. Camara misses 2-pt layup from 5 ft,,1,7,20,-13,435.0
4:43.0,Defensive rebound by B. Adebayo,7-20, ,,1,7,20,-13,437.0
4:29.0,Offensive foul by C. Martin (drawn by T. Camara),7-20, ,,1,7,20,-13,451.0
4:29.0,Turnover by C. Martin (offensive foul),7-20, ,,1,7,20,-13,451.0
4:29.0,D. Wright enters the game for T. Rozier,7-20, ,,1,7,20,-13,451.0
4:29.0, ,7-20,J. Walker enters the game for T. Camara,,1,7,20,-13,451.0
4:14.0, ,7-20,J. Walker misses 2-pt layup from 3 ft,,1,7,20,-13,466.0
4:10.0, ,7-20,Offensive rebound by D. Ayton,,1,7,20,-13,470.0
4:10.0, ,7-20,D. Ayton misses 2-pt layup at rim,,1,7,20,-13,470.0
4:09.0,Defensive rebound by J. Jaquez,7-20, ,,1,7,20,-13,471.0
4:06.0,Turnover by C. Martin (bad pass; steal by D. Ayton),7-20, ,,1,7,20,-13,474.0
3:56.0, ,7-22,A. Simons makes 2-pt jump shot from 18 ft,,1,7,22,-15,484.0
3:42.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by C. Martin),10-22, ,,1,10,22,-12,498.0
3:31.0, ,10-25,A. Simons makes 3-pt jump shot from 33 ft (assist by M. Thybulle),,1,10,25,-15,509.0
3:14.0,Personal foul by M. Thybulle (drawn by B. Adebayo),10-25, ,,1,10,25,-15,526.0
3:14.0,K. Love enters the game for B. Adebayo,10-25, ,,1,10,25,-15,526.0
3:09.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Love),13-25, ,,1,13,25,-12,531.0
2:58.0, ,13-25,Offensive foul by D. Ayton (drawn by K. Love),,1,13,25,-12,542.0
2:58.0, ,13-25,Turnover by D. Ayton (offensive foul),,1,13,25,-12,542.0
2:58.0,Miami full timeout,13-25, ,,1,13,25,-12,542.0
2:58.0, ,13-25,D. Banton enters the game for D. Ayton,,1,13,25,-12,542.0
2:58.0, ,13-25,J. Grant enters the game for K. Murray,,1,13,25,-12,542.0
2:58.0, ,13-25,D. Reath enters the game for A. Simons,,1,13,25,-12,542.0
2:40.0,C. Martin misses 2-pt jump shot from 16 ft,13-25, ,,1,13,25,-12,560.0
2:36.0, ,13-25,Defensive rebound by J. Walker,,1,13,25,-12,564.0
2:15.0, ,13-28,J. Grant makes 3-pt jump shot from 24 ft,,1,13,28,-15,585.0
2:04.0,K. Love misses 3-pt jump shot from 26 ft (block by M. Thybulle),13-28, ,,1,13,28,-15,596.0
2:00.0, ,13-28,Defensive rebound by J. Grant,,1,13,28,-15,600.0
1:48.0, ,13-28,D. Banton misses 3-pt jump shot from 23 ft,,1,13,28,-15,612.0
1:46.0, ,13-28,Offensive rebound by D. Reath,,1,13,28,-15,614.0
1:40.0, ,13-28,Turnover by J. Grant (out of bounds lost ball),,1,13,28,-15,620.0
1:40.0,J. Butler enters the game for D. Robinson,13-28, ,,1,13,28,-15,620.0
1:14.0,D. Wright misses 2-pt layup from 8 ft,13-28, ,,1,13,28,-15,646.0
1:12.0,Offensive rebound by K. Love,13-28, ,,1,13,28,-15,648.0
1:03.0,C. Martin misses 2-pt layup from 8 ft,13-28, ,,1,13,28,-15,657.0
1:00.0, ,13-28,Defensive rebound by D. Reath,,1,13,28,-15,660.0
0:54.0, ,13-28,Turnover by D. Reath (traveling),,1,13,28,-15,666.0
0:39.0,Personal foul by D. Reath (drawn by J. Butler),13-28, ,,1,13,28,-15,681.0
0:26.0,D. Wright misses 2-pt layup from 8 ft,13-28, ,,1,13,28,-15,694.0
0:24.0,Offensive rebound by J. Jaquez,13-28, ,,1,13,28,-15,696.0
0:22.0,C. Martin misses 2-pt layup from 3 ft,13-28, ,,1,13,28,-15,698.0
0:20.0,Offensive rebound by D. Wright,13-28, ,,1,13,28,-15,700.0
0:07.0,K. Love makes 2-pt layup from 3 ft (assist by J. Butler),15-28, ,,1,15,28,-13,713.0
0:00.0, ,15-28,D. Reath misses 3-pt jump shot from 27 ft,,1,15,28,-13,720.0
0:00.0, ,15-28,Offensive rebound by Team,,1,15,28,-13,720.0
0:00.0,End of 1st quarter,15-28,,,1,15,28,-13,720.0
12:00.0,Start of 2nd quarter,15-28,,,2,15,28,-13,720.0
11:43.0,K. Love makes 3-pt jump shot from 26 ft (assist by D. Wright),18-28, ,,2,18,28,-10,737.0
11:23.0, ,18-28,D. Reath misses 3-pt jump shot from 22 ft,,2,18,28,-10,757.0
11:20.0,Defensive rebound by C. Martin,18-28, ,,2,18,28,-10,760.0
11:18.0,Turnover by K. Love (bad pass; steal by J. Grant),18-28, ,,2,18,28,-10,762.0
11:15.0, ,18-30,J. Grant makes 2-pt dunk from 3 ft (assist by J. Walker),,2,18,30,-12,765.0
10:51.0,Shooting foul by D. Banton (drawn by J. Butler),18-30, ,,2,18,30,-12,789.0
10:51.0,J. Butler makes free throw 1 of 2,19-30, ,,2,19,30,-11,789.0
10:51.0,J. Butler makes free throw 2 of 2,20-30, ,,2,20,30,-10,789.0
10:35.0, ,20-33,M. Thybulle makes 3-pt jump shot from 25 ft (assist by D. Banton),,2,20,33,-13,805.0
10:18.0,J. Jaquez misses 2-pt hook shot from 8 ft,20-33, ,,2,20,33,-13,822.0
10:16.0,Offensive rebound by J. Butler,20-33, ,,2,20,33,-13,824.0
10:14.0,J. Butler misses 2-pt layup from 3 ft (block by D. Banton),20-33, ,,2,20,33,-13,826.0
10:14.0, ,20-33,Defensive rebound by J. Grant,,2,20,33,-13,826.0
10:07.0, ,20-33,D. Banton misses 3-pt jump shot from 27 ft,,2,20,33,-13,833.0
10:07.0,Defensive rebound by Team,20-33, ,,2,20,33,-13,833.0
9:54.0,J. Butler makes 2-pt layup from 2 ft (assist by D. Wright),22-33, ,,2,22,33,-11,846.0
9:54.0,Shooting foul by J. Grant (drawn by J. Butler),22-33, ,,2,22,33,-11,846.0
9:54.0, ,22-33,A. Simons enters the game for D. Banton,,2,22,33,-11,846.0
9:54.0,J. Butler makes free throw 1 of 1,23-33, ,,2,23,33,-10,846.0
9:43.0, ,23-33,A. Simons misses 2-pt layup from 4 ft,,2,23,33,-10,857.0
9:41.0,Defensive rebound by D. Wright,23-33, ,,2,23,33,-10,859.0
9:32.0,J. Butler makes 2-pt layup from 3 ft,25-33, ,,2,25,33,-8,868.0
9:32.0,Shooting foul by D. Reath (drawn by J. Butler),25-33, ,,2,25,33,-8,868.0
9:32.0, ,25-33,D. Ayton enters the game for D. Reath,,2,25,33,-8,868.0
9:32.0,J. Butler misses free throw 1 of 1,25-33, ,,2,25,33,-8,868.0
9:29.0, ,25-33,Defensive rebound by D. Ayton,,2,25,33,-8,871.0
9:09.0, ,25-33,J. Grant misses 2-pt layup from 3 ft,,2,25,33,-8,891.0
9:07.0,Defensive rebound by J. Butler,25-33, ,,2,25,33,-8,893.0
9:02.0,D. Wright makes 2-pt layup from 2 ft (assist by J. Butler),27-33, ,,2,27,33,-6,898.0
9:02.0, ,27-33,Portland full timeout,,2,27,33,-6,898.0
9:02.0, ,27-33,T. Camara enters the game for J. Walker,,2,27,33,-6,898.0
8:46.0, ,27-35,D. Ayton makes 2-pt dunk from 3 ft (assist by A. Simons),,2,27,35,-8,914.0
8:30.0,J. Butler makes 2-pt layup from 3 ft,29-35, ,,2,29,35,-6,930.0
8:16.0, ,29-38,A. Simons makes 3-pt jump shot from 25 ft (assist by J. Grant),,2,29,38,-9,944.0
7:52.0,K. Love misses 3-pt jump shot from 25 ft,29-38, ,,2,29,38,-9,968.0
7:50.0, ,29-38,Defensive rebound by D. Ayton,,2,29,38,-9,970.0
7:43.0, ,29-38,Personal foul by D. Wright (drawn by D. Ayton),,2,29,38,-9,977.0
7:43.0,B. Adebayo enters the game for K. Love,29-38, ,,2,29,38,-9,977.0
7:43.0, ,29-38,K. Murray enters the game for J. Grant,,2,29,38,-9,977.0
7:34.0, ,29-40,D. Ayton makes 2-pt hook shot from 8 ft (assist by K. Murray),,2,29,40,-11,986.0
7:26.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Jaquez),32-40, ,,2,32,40,-8,994.0
7:13.0, ,32-43,T. Camara makes 3-pt jump shot from 24 ft (assist by M. Thybulle),,2,32,43,-11,1007.0
7:01.0,Turnover by J. Jaquez (bad pass),32-43, ,,2,32,43,-11,1019.0
7:01.0,D. Robinson enters the game for D. Wright,32-43, ,,2,32,43,-11,1019.0
6:42.0, ,32-43,Turnover by D. Ayton (bad pass),,2,32,43,-11,1038.0
6:28.0,B. Adebayo makes 2-pt jump shot from 11 ft (assist by J. Butler),34-43, ,,2,34,43,-9,1052.0
6:14.0, ,34-43,A. Simons misses 2-pt layup from 7 ft (block by C. Martin),,2,34,43,-9,1066.0
6:14.0, ,34-43,Offensive rebound by Team,,2,34,43,-9,1066.0
6:14.0,T. Rozier enters the game for J. Butler,34-43, ,,2,34,43,-9,1066.0
6:14.0, ,34-43,J. Grant enters the game for M. Thybulle,,2,34,43,-9,1066.0
6:12.0, ,34-43,A. Simons misses 3-pt jump shot from 26 ft,,2,34,43,-9,1068.0
6:08.0, ,34-43,Offensive rebound by T. Camara,,2,34,43,-9,1072.0
6:03.0, ,34-43,A. Simons misses 2-pt jump shot from 13 ft,,2,34,43,-9,1077.0
5:59.0, ,34-43,Offensive rebound by D. Ayton,,2,34,43,-9,1081.0
5:59.0, ,34-45,D. Ayton makes 2-pt layup at rim,,2,34,45,-11,1081.0
5:53.0,Miami full timeout,34-45, ,,2,34,45,-11,1087.0
5:53.0,H. Highsmith enters the game for C. Martin,34-45, ,,2,34,45,-11,1087.0
5:33.0,Turnover by Team (shot clock),34-45, ,,2,34,45,-11,1107.0
5:17.0, ,34-45,K. Murray misses 2-pt jump shot from 11 ft,,2,34,45,-11,1123.0
5:15.0, ,34-45,Offensive rebound by D. Ayton,,2,34,45,-11,1125.0
5:12.0, ,34-47,T. Camara makes 2-pt layup from 4 ft (assist by D. Ayton),,2,34,47,-13,1128.0
5:12.0, ,34-47,Shooting foul by B. Adebayo (drawn by T. Camara),,2,34,47,-13,1128.0
5:12.0, ,34-48,T. Camara makes free throw 1 of 1,,2,34,48,-14,1128.0
4:51.0,T. Rozier misses 3-pt jump shot from 23 ft,34-48, ,,2,34,48,-14,1149.0
4:47.0,Offensive rebound by J. Jaquez,34-48, ,,2,34,48,-14,1153.0
4:47.0,J. Jaquez makes 2-pt layup at rim,36-48, ,,2,36,48,-12,1153.0
4:32.0, ,36-48,J. Grant misses 3-pt jump shot from 24 ft,,2,36,48,-12,1168.0
4:28.0,Defensive rebound by H. Highsmith,36-48, ,,2,36,48,-12,1172.0
4:16.0,B. Adebayo makes 2-pt jump shot from 8 ft (assist by T. Rozier),38-48, ,,2,38,48,-10,1184.0
3:57.0, ,38-50,A. Simons makes 2-pt layup from 7 ft,,2,38,50,-12,1203.0
3:46.0,Personal foul by T. Camara (drawn by T. Rozier),38-50, ,,2,38,50,-12,1214.0
3:28.0,B. Adebayo misses 2-pt jump shot from 12 ft,38-50, ,,2,38,50,-12,1232.0
3:25.0, ,38-50,Defensive rebound by J. Grant,,2,38,50,-12,1235.0
3:20.0, ,38-50,D. Ayton misses 2-pt jump shot from 15 ft,,2,38,50,-12,1240.0
3:16.0,Defensive rebound by B. Adebayo,38-50, ,,2,38,50,-12,1244.0
3:07.0,Turnover by T. Rozier (bad pass; steal by K. Murray),38-50, ,,2,38,50,-12,1253.0
3:01.0, ,38-50,A. Simons misses 3-pt jump shot from 27 ft,,2,38,50,-12,1259.0
2:59.0, ,38-50,Offensive rebound by Team,,2,38,50,-12,1261.0
2:59.0,Loose ball foul by H. Highsmith (drawn by D. Ayton),38-50, ,,2,38,50,-12,1261.0
2:59.0,J. Butler enters the game for J. Jaquez,38-50, ,,2,38,50,-12,1261.0
2:47.0, ,38-50,A. Simons misses 3-pt jump shot from 28 ft (block by H. Highsmith),,2,38,50,-12,1273.0
2:43.0, ,38-50,Offensive rebound by T. Camara,,2,38,50,-12,1277.0
2:42.0, ,38-50,T. Camara misses 2-pt layup from 4 ft,,2,38,50,-12,1278.0
2:40.0,Defensive rebound by D. Robinson,38-50, ,,2,38,50,-12,1280.0
2:25.0,H. Highsmith makes 2-pt layup from 9 ft (assist by J. Butler),40-50, ,,2,40,50,-10,1295.0
2:11.0, ,40-50,Shooting foul by H. Highsmith (drawn by J. Grant),,2,40,50,-10,1309.0
2:11.0, ,40-51,J. Grant makes free throw 1 of 2,,2,40,51,-11,1309.0
2:11.0, ,40-51,J. Grant misses free throw 2 of 2,,2,40,51,-11,1309.0
2:08.0,Defensive rebound by H. Highsmith,40-51, ,,2,40,51,-11,1312.0
1:54.0,Turnover by H. Highsmith (bad pass; steal by D. Ayton),40-51, ,,2,40,51,-11,1326.0
1:45.0, ,40-51,J. Grant misses 2-pt jump shot from 13 ft,,2,40,51,-11,1335.0
1:42.0,Defensive rebound by T. Rozier,40-51, ,,2,40,51,-11,1338.0
1:40.0,T. Rozier makes 2-pt layup from 2 ft,42-51, ,,2,42,51,-9,1340.0
1:40.0,Shooting foul by A. Simons (drawn by T. Rozier),42-51, ,,2,42,51,-9,1340.0
1:40.0,T. Rozier makes free throw 1 of 1,43-51, ,,2,43,51,-8,1340.0
1:22.0, ,43-53,J. Grant makes 2-pt layup from 3 ft (assist by T. Camara),,2,43,53,-10,1358.0
1:11.0,T. Rozier makes 3-pt jump shot from 25 ft,46-53, ,,2,46,53,-7,1369.0
0:57.0, ,46-53,Turnover by A. Simons (bad pass; steal by J. Butler),,2,46,53,-7,1383.0
0:53.0,H. Highsmith misses 3-pt jump shot from 26 ft,46-53, ,,2,46,53,-7,1387.0
0:49.0, ,46-53,Defensive rebound by K. Murray,,2,46,53,-7,1391.0
0:30.0, ,46-56,T. Camara makes 3-pt jump shot from 25 ft (assist by J. Grant),,2,46,56,-10,1410.0
